case_id,scenario_label,method,comparison_group,target_id,target_snr_config_dB,target_fd_truth_hz,target_row_truth,target_range_bin_truth,fa_ctr_hz,dynamic_support_row_start,dynamic_support_row_end,target_support_edge_signed_rows,target_clutter_center_offset_hz,target_motion_ve_mps,target_motion_vn_mps,channel_dropped_pulses,channel_valid_pulses,channel_valid_fraction,target_bin_bytes,background_bin_bytes,target_input_sha256,background_input_sha256,runtime_ms,CA_dB,CSR_dB,input_SCNR_dB,output_SCNR_dB,SCNR_improvement_dB,target_loss_dB,background_residual_p95_power,background_residual_p99_power,background_residual_p95_dB_over_input_median,background_residual_p99_dB_over_input_median,high_energy_residual_points,high_energy_residual_fraction,high_energy_threshold_dB_over_input_median,background_power_before_roi,background_power_after_roi,target_signal_power_before,target_signal_power_after,Pd,target_cfar_candidate_cells,target_peak_power,false_alarm_count,background_false_alarm_count,background_Pfa,cfar_test_cells,cfar_alpha,MDV_mps,MDV_detected_row,MDV_sweep_points
baseline_ideal_uniform_20260921,Ideal / uniform clutter,Current legacy CSI,F1/F2 strict,BL_T01_IDEAL,10.0,-53.2468982695,60,2200,0.1869459725706979,42,88,18,-53.4338442420707,-0.5,0.5,0,130,1.0,49204480,49204480,fafae5d78a4c0856fb0d660b655b6732f854285d20c54ea086d45b3801ba9703,c49404fcd4e3750d9566353ef139a52b50b4fd66bed5234c4e2b07f8191f7e2a,13.568402006058022,20.33158797809471,20.33158797809471,4.119998113710412,24.654249207888846,20.534251094178433,-6.9334278513086804,27277.368823426703,67621.28696564038,9.216299675380254,13.159109235877724,1995.0,0.003747534516765286,15.0,7999515.469220895,14331.636618683846,20656821.368568227,4185243.290156008,1.0,1172.0,74825567.76557843,1165.0,1165.0,0.0022094522834167803,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_ideal_uniform_20260921,Ideal / uniform clutter,Phase-only CSI (DPCA-class),F1/F2 strict,BL_T01_IDEAL,10.0,-53.2468982695,60,2200,0.1869459725706979,42,88,18,-53.4338442420707,-0.5,0.5,0,130,1.0,49204480,49204480,fafae5d78a4c0856fb0d660b655b6732f854285d20c54ea086d45b3801ba9703,c49404fcd4e3750d9566353ef139a52b50b4fd66bed5234c4e2b07f8191f7e2a,10.32384199788794,18.59302701479021,18.59302701479021,4.119998113710412,19.775454090648218,15.655455976937805,-6.701711601435532,40281.746430189945,101671.64510683087,10.909357828936217,14.930273423573336,5129.0,0.009634638865408097,15.0,7999515.469220895,46488.648928398594,20656821.368568227,4414609.909249658,1.0,306.0,74838576.00062759,285.0,285.0,0.0005405097860719162,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_ideal_uniform_20260921,Ideal / uniform clutter,Row complex LS / Wiener,F1/F2 strict,BL_T01_IDEAL,10.0,-53.2468982695,60,2200,0.1869459725706979,42,88,18,-53.4338442420707,-0.5,0.5,0,130,1.0,49204480,49204480,fafae5d78a4c0856fb0d660b655b6732f854285d20c54ea086d45b3801ba9703,c49404fcd4e3750d9566353ef139a52b50b4fd66bed5234c4e2b07f8191f7e2a,8.774267000262626,18.785294541943042,18.785294541943042,4.119998113710412,19.92712062956319,15.807122515852779,-6.73244408342775,38386.61415280981,96455.6510110324,10.700072989650618,14.701551681772006,4510.0,0.00847187001033155,15.0,7999515.469220895,44576.608443283345,20656821.368568227,4383480.567283486,1.0,295.0,74205342.71669348,272.0,272.0,0.0005158549537247762,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_ideal_uniform_20260921,Ideal / uniform clutter,JDL-3x4 reduced STAP,4-channel academic reference,BL_T01_IDEAL,10.0,-53.2468982695,60,2200,0.1869459725706979,42,88,18,-53.4338442420707,-0.5,0.5,0,130,1.0,49204480,49204480,fafae5d78a4c0856fb0d660b655b6732f854285d20c54ea086d45b3801ba9703,c49404fcd4e3750d9566353ef139a52b50b4fd66bed5234c4e2b07f8191f7e2a,200.8989330061013,-0.4352550063116386,-0.4352550063116386,3.813417542231435,5.446109942767857,1.6326924005364223,-3.337947356146038,1456083.9050713647,17874271.164008047,24.61145136788589,35.501870775678846,75318.0,0.14148210763595379,15.0,8704674.516212761,2771332.028811363,20945671.63924841,9711796.089255696,1.0,2266.0,177992015.26740873,2267.0,2267.0,0.00429942345622819,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_ideal_uniform_20260921,Ideal / uniform clutter,MNEC,4-channel academic reference,BL_T01_IDEAL,10.0,-53.2468982695,60,2200,0.1869459725706979,42,88,18,-53.4338442420707,-0.5,0.5,0,130,1.0,49204480,49204480,fafae5d78a4c0856fb0d660b655b6732f854285d20c54ea086d45b3801ba9703,c49404fcd4e3750d9566353ef139a52b50b4fd66bed5234c4e2b07f8191f7e2a,40.43247300432995,-2.2940045514085,-2.2940045514085,3.813417542231435,4.308017168204494,0.4945996259730592,2.901845673710009,1720873.8708691774,27310430.38349717,25.33707775862358,37.34287279612372,84352.0,0.15845214614445383,15.0,8704674.516212761,15152250.496531254,20945671.63924841,40858165.032767504,1.0,2614.0,741347343.9924141,2615.0,2615.0,0.004959414352905477,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_ideal_uniform_20260921,Ideal / uniform clutter,SA-MNEC,4-channel academic reference,BL_T01_IDEAL,10.0,-53.2468982695,60,2200,0.1869459725706979,42,88,18,-53.4338442420707,-0.5,0.5,0,130,1.0,49204480,49204480,fafae5d78a4c0856fb0d660b655b6732f854285d20c54ea086d45b3801ba9703,c49404fcd4e3750d9566353ef139a52b50b4fd66bed5234c4e2b07f8191f7e2a,251.01612899743486,-2.3603377606982,-2.3603377606982,3.8134175422314365,4.351082052139091,0.5376645099076547,2.988937038659667,2.402403969948745,37.5905549229358,25.491423811892588,37.43575081275673,85587.0,0.16077204846435617,15.0,11.727756162277982,20.622541233861867,28.219978723239215,56.16301136072888,1.0,2593.0,1031.0820585851354,2595.0,2595.0,0.004921483841602185,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_nonuniform_20260922,Nonuniform clutter,Current legacy CSI,F1/F2 strict,BL_T02_NONUNIFORM,10.0,-53.2468982695,60,2200,1.7434119265121593,42,88,18,-54.99031019601216,-0.5,0.5,0,130,1.0,49204480,49204480,612af4e7abb2446067fd18c0c397985d0c8d76c9eb2609216e6bf103da75d57f,9fe2eb485b0fa2588b609c268543b10e95365ba46e3d9f417bf6319d10c44a99,11.080155993113294,20.532658736494334,20.532658736494334,12.50717618003283,27.687108526523424,15.179932346490594,-6.975750220063547,203080.95866343734,691294.6332273411,11.686924401409211,17.006864205830084,10427.0,0.01958673804827651,15.0,10310450.775470378,62763.82408737299,183651834.62250206,36848536.952871844,1.0,3108.0,642088477.1532993,3092.0,3092.0,0.005864057047489,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_nonuniform_20260922,Nonuniform clutter,Phase-only CSI (DPCA-class),F1/F2 strict,BL_T02_NONUNIFORM,10.0,-53.2468982695,60,2200,1.7434119265121593,42,88,18,-54.99031019601216,-0.5,0.5,0,130,1.0,49204480,49204480,612af4e7abb2446067fd18c0c397985d0c8d76c9eb2609216e6bf103da75d57f,9fe2eb485b0fa2588b609c268543b10e95365ba46e3d9f417bf6319d10c44a99,10.059771011583507,18.66798854573733,18.66798854573733,12.50717618003283,23.565887871787055,11.058711691754224,-6.782338078736338,313717.9898008798,1053503.5758672531,13.57562658808465,18.836592493300483,18232.0,0.03424814501737579,15.0,10310450.775470378,169501.16055439596,183651834.62250206,38526669.13994777,1.0,1807.0,649340266.2721366,1787.0,1787.0,0.003389091184949173,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_nonuniform_20260922,Nonuniform clutter,Row complex LS / Wiener,F1/F2 strict,BL_T02_NONUNIFORM,10.0,-53.2468982695,60,2200,1.7434119265121593,42,88,18,-54.99031019601216,-0.5,0.5,0,130,1.0,49204480,49204480,612af4e7abb2446067fd18c0c397985d0c8d76c9eb2609216e6bf103da75d57f,9fe2eb485b0fa2588b609c268543b10e95365ba46e3d9f417bf6319d10c44a99,7.797461992595345,18.969302805939062,18.969302805939062,12.507176180032832,23.35574395271756,10.848567772684728,-6.827436309034383,290344.15074740915,983002.0997518962,13.239363164658887,18.53577680786518,16568.0,0.03112238189161266,15.0,10310450.775470376,176066.7083581208,183651834.62250206,38128668.57200177,1.0,2002.0,640963435.7255218,1981.0,1981.0,0.003757017144591109,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_nonuniform_20260922,Nonuniform clutter,JDL-3x4 reduced STAP,4-channel academic reference,BL_T02_NONUNIFORM,10.0,-53.2468982695,60,2200,1.7434119265121593,42,88,18,-54.99031019601216,-0.5,0.5,0,130,1.0,49204480,49204480,612af4e7abb2446067fd18c0c397985d0c8d76c9eb2609216e6bf103da75d57f,9fe2eb485b0fa2588b609c268543b10e95365ba46e3d9f417bf6319d10c44a99,180.75962900184095,-0.3311100279099074,-0.3311100279099074,12.316094972143986,13.64610604004505,1.3300110679010633,-3.547439606668724,6441001.54144526,88959063.59533904,24.417394577519982,35.81976257434829,71388.0,0.1340997464074387,15.0,10900604.048551286,3545728.655704124,185806140.28867114,82094885.4569054,1.0,2016.0,1348877041.6859353,2020.0,2020.0,0.003830981641632529,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_nonuniform_20260922,Nonuniform clutter,MNEC,4-channel academic reference,BL_T02_NONUNIFORM,10.0,-53.2468982695,60,2200,1.7434119265121593,42,88,18,-54.99031019601216,-0.5,0.5,0,130,1.0,49204480,49204480,612af4e7abb2446067fd18c0c397985d0c8d76c9eb2609216e6bf103da75d57f,9fe2eb485b0fa2588b609c268543b10e95365ba46e3d9f417bf6319d10c44a99,36.587065987987444,-2.4895529814022863,-2.4895529814022863,12.316094972143986,12.722646595051355,0.4065516229073687,2.721764710856123,9218428.328953266,135935922.87599114,25.974429381615842,37.661202946557225,91634.0,0.17213111674650136,15.0,10900604.048551286,18576841.407530993,185806140.28867114,347725494.17527336,1.0,2561.0,5749682710.941988,2565.0,2565.0,0.004864588074647246,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_nonuniform_20260922,Nonuniform clutter,SA-MNEC,4-channel academic reference,BL_T02_NONUNIFORM,10.0,-53.2468982695,60,2200,1.7434119265121593,42,88,18,-54.99031019601216,-0.5,0.5,0,130,1.0,49204480,49204480,612af4e7abb2446067fd18c0c397985d0c8d76c9eb2609216e6bf103da75d57f,9fe2eb485b0fa2588b609c268543b10e95365ba46e3d9f417bf6319d10c44a99,266.52089098934084,-2.5437664382825522,-2.5437664382825522,12.31609497214399,12.76362728472272,0.44753231257872983,2.780012276037944,1.5706992680662706,22.978696335789763,26.090045901656808,37.7423693476692,92481.0,0.1737221752606368,15.0,1.8085273069406662,3.094375877998205,30.827234620449318,58.47036371490464,1.0,2546.0,965.9680035360176,2552.0,2552.0,0.0048399332423001065,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_amp_phase_20260923,Channel amplitude / phase error,Current legacy CSI,F1/F2 strict,BL_T03_AMP_PHASE,10.0,-53.2468982695,60,2200,-0.80697272477415,42,88,18,-52.43992554472585,-0.5,0.5,0,130,1.0,49204480,49204480,6d4fe5a52a2091ebcf730c56c2bb01df23ab575f28d8107038ecf54bcfbcbf14,f881537b58619348b5c6d27d859657296658dbc335f16b87e39dfd1e14a8134c,14.296291003120132,20.094368469078816,20.094368469078816,4.763837907022453,22.191174949699743,17.42733704267729,-6.8722686351870195,28701.80631096093,71555.30633624269,8.75420049747891,12.721526657166715,1600.0,0.0030055414670799286,15.0,6978010.239214903,25928.120392142857,20898513.355712034,4294261.91723429,1.0,1268.0,75045720.81976719,1270.0,1270.0,0.002408587467759065,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_amp_phase_20260923,Channel amplitude / phase error,Phase-only CSI (DPCA-class),F1/F2 strict,BL_T03_AMP_PHASE,10.0,-53.2468982695,60,2200,-0.80697272477415,42,88,18,-52.43992554472585,-0.5,0.5,0,130,1.0,49204480,49204480,6d4fe5a52a2091ebcf730c56c2bb01df23ab575f28d8107038ecf54bcfbcbf14,f881537b58619348b5c6d27d859657296658dbc335f16b87e39dfd1e14a8134c,7.518723999965005,13.369276602325627,13.369276602325627,4.763837907022453,13.72647213918717,8.962634232164717,-5.541138681120947,89079.85360780187,560694.9202857172,13.67290315044772,21.662374419428193,20164.0,0.0378773363388748,15.0,6978010.239214903,247374.147782064,20898513.355712034,5834471.529663827,1.0,2042.0,101284670.76038113,2043.0,2043.0,0.0038746017296313155,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_amp_phase_20260923,Channel amplitude / phase error,Row complex LS / Wiener,F1/F2 strict,BL_T03_AMP_PHASE,10.0,-53.2468982695,60,2200,-0.80697272477415,42,88,18,-52.43992554472585,-0.5,0.5,0,130,1.0,49204480,49204480,6d4fe5a52a2091ebcf730c56c2bb01df23ab575f28d8107038ecf54bcfbcbf14,f881537b58619348b5c6d27d859657296658dbc335f16b87e39dfd1e14a8134c,7.9690630082041025,18.730144955858492,18.730144955858492,4.763837907022453,21.09135111287051,16.327513205848057,-6.7108467979001185,38404.573406130214,96137.54427947823,10.018937657711382,14.004038447862259,3206.0,0.006022353714661407,15.0,6978010.239214903,34665.35100368314,20898513.355712034,4456877.663044109,1.0,437.0,75824863.81600325,419.0,419.0,0.0007946442118039751,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_amp_phase_20260923,Channel amplitude / phase error,JDL-3x4 reduced STAP,4-channel academic reference,BL_T03_AMP_PHASE,10.0,-53.2468982695,60,2200,-0.80697272477415,42,88,18,-52.43992554472585,-0.5,0.5,0,130,1.0,49204480,49204480,6d4fe5a52a2091ebcf730c56c2bb01df23ab575f28d8107038ecf54bcfbcbf14,f881537b58619348b5c6d27d859657296658dbc335f16b87e39dfd1e14a8134c,200.93923700915184,-1.008844294208087,-1.008844294208087,4.742143256630138,8.473819592672214,3.731676336042076,-3.337159197789317,1565400.4609374292,18998886.54105751,25.001359740385823,35.84238665878351,76417.0,0.14354653893115432,15.0,7086983.96916224,1391803.4125420356,21119117.96563647,9793994.510634705,1.0,2396.0,174509917.6435336,2399.0,2399.0,0.004549764830829919,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_amp_phase_20260923,Channel amplitude / phase error,MNEC,4-channel academic reference,BL_T03_AMP_PHASE,10.0,-53.2468982695,60,2200,-0.80697272477415,42,88,18,-52.43992554472585,-0.5,0.5,0,130,1.0,49204480,49204480,6d4fe5a52a2091ebcf730c56c2bb01df23ab575f28d8107038ecf54bcfbcbf14,f881537b58619348b5c6d27d859657296658dbc335f16b87e39dfd1e14a8134c,51.31532899395097,-0.6689242993726839,-0.6689242993726839,4.742143256630138,4.913778930278383,0.17163567364824495,1.6446676182030489,1175716.7109898073,18707278.179549962,23.75813207739442,35.77521120979572,71130.0,0.13361510284587208,15.0,7086983.96916224,9948661.281273907,21119117.96563647,30842000.357774507,1.0,2680.0,550430551.6332242,2683.0,2683.0,0.005088378091336671,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_amp_phase_20260923,Channel amplitude / phase error,SA-MNEC,4-channel academic reference,BL_T03_AMP_PHASE,10.0,-53.2468982695,60,2200,-0.80697272477415,42,88,18,-52.43992554472585,-0.5,0.5,0,130,1.0,49204480,49204480,6d4fe5a52a2091ebcf730c56c2bb01df23ab575f28d8107038ecf54bcfbcbf14,f881537b58619348b5c6d27d859657296658dbc335f16b87e39dfd1e14a8134c,266.5940180013422,-0.2560593345605054,-0.2560593345605054,4.742143256630137,4.955921841784954,0.21377858515481662,1.138803514444654,1.5125631390656564,23.426180483598326,23.45874942603276,35.358629150263006,69528.0,0.1306058044519583,15.0,9.76810989521075,12.086847144948822,29.10883756417512,37.8359997618024,1.0,2673.0,681.3917281756673,2675.0,2675.0,0.0050732058868153546,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_sample_reduced_20260924,Effective samples reduced,Current legacy CSI,F1/F2 strict,BL_T04_SAMPLE_REDUCED,10.0,-53.2468982695,60,2200,0.37561121809213893,42,88,18,-53.62250948759214,-0.5,0.5,85,45,0.34615384615384615,49204480,49204480,d344056094bf42b65127415364ec763d752d3e4eb3e7f4702f67d428deda55d2,983fb3d371ce0323414050d7e19743c5e3648fa3ef890cf00c5f9b7755cecf59,10.970504998113029,14.425532922178705,14.425532922178705,7.405196771410338,15.764774471042724,8.359577699632386,-10.240714735521014,48889.64583851774,161940.32777908503,10.570869088286074,15.772250316109147,6973.0,0.013098525406217714,15.0,3877276.003685855,53517.70407764394,21332727.92606149,2018249.8130465152,1.0,2291.0,34085584.9742078,2278.0,2278.0,0.004320285237445,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_sample_reduced_20260924,Effective samples reduced,Phase-only CSI (DPCA-class),F1/F2 strict,BL_T04_SAMPLE_REDUCED,10.0,-53.2468982695,60,2200,0.37561121809213893,42,88,18,-53.62250948759214,-0.5,0.5,85,45,0.34615384615384615,49204480,49204480,d344056094bf42b65127415364ec763d752d3e4eb3e7f4702f67d428deda55d2,983fb3d371ce0323414050d7e19743c5e3648fa3ef890cf00c5f9b7755cecf59,8.491549000609666,5.408370015288211,5.408370015288211,7.405196771410338,6.775862455691424,-0.6293343157189142,-5.999624529723499,282639.0090282834,1850819.2473692733,18.191021193585623,26.352340248699196,46385.0,0.08713252559406405,15.0,3877276.003685855,1125894.4956690469,21332727.92606149,5359002.276182311,1.0,2667.0,98880273.78866409,2665.0,2665.0,0.005054240631163708,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_sample_reduced_20260924,Effective samples reduced,Row complex LS / Wiener,F1/F2 strict,BL_T04_SAMPLE_REDUCED,10.0,-53.2468982695,60,2200,0.37561121809213893,42,88,18,-53.62250948759214,-0.5,0.5,85,45,0.34615384615384615,49204480,49204480,d344056094bf42b65127415364ec763d752d3e4eb3e7f4702f67d428deda55d2,983fb3d371ce0323414050d7e19743c5e3648fa3ef890cf00c5f9b7755cecf59,7.854733004933223,10.143477737853583,10.143477737853583,7.405196771410339,12.862798332227142,5.457601560816802,-6.674622097492727,145387.0298059754,500368.53602408903,15.303956818179165,20.671600103725556,28451.0,0.053444162674931905,15.0,3877276.003685854,237303.6135513278,21332727.92606149,4587585.640876896,1.0,1610.0,77472654.06354395,1596.0,1596.0,0.003026854802002731,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_sample_reduced_20260924,Effective samples reduced,JDL-3x4 reduced STAP,4-channel academic reference,BL_T04_SAMPLE_REDUCED,10.0,-53.2468982695,60,2200,0.37561121809213893,42,88,18,-53.62250948759214,-0.5,0.5,85,45,0.34615384615384615,49204480,49204480,d344056094bf42b65127415364ec763d752d3e4eb3e7f4702f67d428deda55d2,983fb3d371ce0323414050d7e19743c5e3648fa3ef890cf00c5f9b7755cecf59,197.6021390000824,-1.7892199794531245,-1.7892199794531245,3.985227595091879,5.125331279975254,1.1401036848833748,0.6302200186062517,1667778.201782437,23598023.069823895,25.159780747627302,36.66715402913858,78772.0,0.14797032027801257,15.0,8638053.065415973,7681172.193379191,21624129.183519907,25001187.032771703,1.0,2513.0,415922609.7777079,2504.0,2504.0,0.004748900015172204,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_sample_reduced_20260924,Effective samples reduced,MNEC,4-channel academic reference,BL_T04_SAMPLE_REDUCED,10.0,-53.2468982695,60,2200,0.37561121809213893,42,88,18,-53.62250948759214,-0.5,0.5,85,45,0.34615384615384615,49204480,49204480,d344056094bf42b65127415364ec763d752d3e4eb3e7f4702f67d428deda55d2,983fb3d371ce0323414050d7e19743c5e3648fa3ef890cf00c5f9b7755cecf59,40.70786100055557,-0.7487891886025483,-0.7487891886025483,3.985227595091879,4.617939865332435,0.6327122702405559,0.4766871547758277,1334857.7631113739,18755888.869266573,24.192747730998118,35.66977432377869,78539.0,0.14753263830186908,15.0,8638053.065415973,8333229.759576779,21624129.183519907,24132779.38253615,1.0,2557.0,387145605.6406596,2551.0,2551.0,0.004838036716734942,527280.0,13.44971616743564,0.0,65.0,19.0
baseline_sample_reduced_20260924,Effective samples reduced,SA-MNEC,4-channel academic reference,BL_T04_SAMPLE_REDUCED,10.0,-53.2468982695,60,2200,0.37561121809213893,42,88,18,-53.62250948759214,-0.5,0.5,85,45,0.34615384615384615,49204480,49204480,d344056094bf42b65127415364ec763d752d3e4eb3e7f4702f67d428deda55d2,983fb3d371ce0323414050d7e19743c5e3648fa3ef890cf00c5f9b7755cecf59,260.62976200773846,-1.576121566158461,-1.576121566158461,3.985227595091879,4.415017697579859,0.42979010248798044,1.5487239269117983,2.4844941167864616,30.55746752576042,25.508087322390047,36.406881184506446,93561.0,0.17575091575091575,15.0,11.876402006255264,15.366617181752536,29.730872139104132,42.46978299172064,1.0,2498.0,672.4398935517239,2496.0,2496.0,0.004733727810650888,527280.0,13.44971616743564,0.0,65.0,19.0
