feature,outcome,n,pearson,spearman
valid_pulse_fraction,current_SCNR_improvement_dB,5,nan,nan
valid_pulse_fraction,row_ls_SCNR_improvement_dB,5,nan,nan
valid_pulse_fraction,best_adaptive_SCNR_improvement_dB,5,nan,nan
valid_pulse_fraction,current_failure,5,nan,nan
valid_pulse_fraction,row_ls_failure,5,nan,nan
valid_pulse_fraction,jdl_failure,5,nan,nan
valid_pulse_fraction,adaptive_failure,5,nan,nan
texture_sigma_config,current_SCNR_improvement_dB,5,nan,nan
texture_sigma_config,row_ls_SCNR_improvement_dB,5,nan,nan
texture_sigma_config,best_adaptive_SCNR_improvement_dB,5,nan,nan
texture_sigma_config,current_failure,5,nan,nan
texture_sigma_config,row_ls_failure,5,nan,nan
texture_sigma_config,jdl_failure,5,nan,nan
texture_sigma_config,adaptive_failure,5,nan,nan
azimuth_subcell_count_config,current_SCNR_improvement_dB,5,nan,nan
azimuth_subcell_count_config,row_ls_SCNR_improvement_dB,5,nan,nan
azimuth_subcell_count_config,best_adaptive_SCNR_improvement_dB,5,nan,nan
azimuth_subcell_count_config,current_failure,5,nan,nan
azimuth_subcell_count_config,row_ls_failure,5,nan,nan
azimuth_subcell_count_config,jdl_failure,5,nan,nan
azimuth_subcell_count_config,adaptive_failure,5,nan,nan
texture_nonuniformity_cv,current_SCNR_improvement_dB,5,-0.3550579741584377,-0.09999999999999999
texture_nonuniformity_cv,row_ls_SCNR_improvement_dB,5,-0.4887984524221157,-0.19999999999999998
texture_nonuniformity_cv,best_adaptive_SCNR_improvement_dB,5,0.3138844398962517,0.3
texture_nonuniformity_cv,current_failure,5,nan,nan
texture_nonuniformity_cv,row_ls_failure,5,nan,nan
texture_nonuniformity_cv,jdl_failure,5,nan,nan
texture_nonuniformity_cv,adaptive_failure,5,nan,nan
p38_slope_rad_per_hz,current_SCNR_improvement_dB,5,0.24639978712423272,-0.09999999999999999
p38_slope_rad_per_hz,row_ls_SCNR_improvement_dB,5,0.17488400975262408,0.0
p38_slope_rad_per_hz,best_adaptive_SCNR_improvement_dB,5,-0.303305511008253,-0.3
p38_slope_rad_per_hz,current_failure,5,nan,nan
p38_slope_rad_per_hz,row_ls_failure,5,nan,nan
p38_slope_rad_per_hz,jdl_failure,5,nan,nan
p38_slope_rad_per_hz,adaptive_failure,5,nan,nan
p38_rmse_rad,current_SCNR_improvement_dB,5,0.7711809903135219,0.3
p38_rmse_rad,row_ls_SCNR_improvement_dB,5,0.758781281069259,0.39999999999999997
p38_rmse_rad,best_adaptive_SCNR_improvement_dB,5,-0.5440433820353269,-0.49999999999999994
p38_rmse_rad,current_failure,5,nan,nan
p38_rmse_rad,row_ls_failure,5,nan,nan
p38_rmse_rad,jdl_failure,5,nan,nan
p38_rmse_rad,adaptive_failure,5,nan,nan
p38_inlier_ratio,current_SCNR_improvement_dB,5,nan,nan
p38_inlier_ratio,row_ls_SCNR_improvement_dB,5,nan,nan
p38_inlier_ratio,best_adaptive_SCNR_improvement_dB,5,nan,nan
p38_inlier_ratio,current_failure,5,nan,nan
p38_inlier_ratio,row_ls_failure,5,nan,nan
p38_inlier_ratio,jdl_failure,5,nan,nan
p38_inlier_ratio,adaptive_failure,5,nan,nan
p38_accepted_sample_count,current_SCNR_improvement_dB,5,nan,nan
p38_accepted_sample_count,row_ls_SCNR_improvement_dB,5,nan,nan
p38_accepted_sample_count,best_adaptive_SCNR_improvement_dB,5,nan,nan
p38_accepted_sample_count,current_failure,5,nan,nan
p38_accepted_sample_count,row_ls_failure,5,nan,nan
p38_accepted_sample_count,jdl_failure,5,nan,nan
p38_accepted_sample_count,adaptive_failure,5,nan,nan
coherence_mean,current_SCNR_improvement_dB,5,-0.18317702628053106,-0.19999999999999998
coherence_mean,row_ls_SCNR_improvement_dB,5,-0.4068449592818318,-0.49999999999999994
coherence_mean,best_adaptive_SCNR_improvement_dB,5,-0.35769362231183244,-0.6
coherence_mean,current_failure,5,nan,nan
coherence_mean,row_ls_failure,5,nan,nan
coherence_mean,jdl_failure,5,nan,nan
coherence_mean,adaptive_failure,5,nan,nan
coherence_p10,current_SCNR_improvement_dB,5,-0.11931947660997339,-0.19999999999999998
coherence_p10,row_ls_SCNR_improvement_dB,5,-0.3550328780557348,-0.6
coherence_p10,best_adaptive_SCNR_improvement_dB,5,-0.46563245534110864,-0.39999999999999997
coherence_p10,current_failure,5,nan,nan
coherence_p10,row_ls_failure,5,nan,nan
