case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Current legacy CSI [production replay],production_replay,0.5,1.0,0.014847898649673797
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Current legacy CSI [production replay],production_replay,0.75,1.0,0.005238203610984676
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Current legacy CSI [production replay],production_replay,1.0,1.0,0.0021847974510696404
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Current legacy CSI [production replay],production_replay,1.5,1.0,0.00042482172659687455
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Current legacy CSI [production replay],production_replay,2.0,1.0,5.310271582460932e-05
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Current legacy CSI [production replay],production_replay,3.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Current legacy CSI [production replay],production_replay,5.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Phase-only CSI [production replay],production_replay,0.5,1.0,0.009310043999393112
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Phase-only CSI [production replay],production_replay,0.75,1.0,0.0022056592322864514
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Phase-only CSI [production replay],production_replay,1.0,1.0,0.00038499468972841755
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Phase-only CSI [production replay],production_replay,1.5,1.0,5.689576695493855e-06
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Phase-only CSI [production replay],production_replay,2.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Phase-only CSI [production replay],production_replay,3.0,1.0,0.0
