feature,outcome,n,pearson,spearman
valid_pulse_fraction,current_SCNR_improvement_dB,90,0.08228261284028958,0.20388833328426553
valid_pulse_fraction,row_ls_SCNR_improvement_dB,90,0.08515378628781274,0.20023598247937688
valid_pulse_fraction,best_adaptive_SCNR_improvement_dB,90,0.07675233976944791,-0.23835849485921878
valid_pulse_fraction,current_failure,90,-0.4481376401896109,-0.43915176922593746
valid_pulse_fraction,row_ls_failure,90,0.05868700781150184,0.058792796113213454
valid_pulse_fraction,jdl_failure,90,nan,nan
valid_pulse_fraction,adaptive_failure,90,nan,nan
texture_sigma_config,current_SCNR_improvement_dB,90,0.09600004962149568,0.07381190007385556
texture_sigma_config,row_ls_SCNR_improvement_dB,90,0.0828989505730107,0.04951937599891577
texture_sigma_config,best_adaptive_SCNR_improvement_dB,90,-0.09021762970321155,0.006539755782051561
texture_sigma_config,current_failure,90,-0.07575540190785704,-0.07575540190785701
texture_sigma_config,row_ls_failure,90,-0.058823529411764726,-0.0588235294117647
texture_sigma_config,jdl_failure,90,nan,nan
texture_sigma_config,adaptive_failure,90,nan,nan
azimuth_subcell_count_config,current_SCNR_improvement_dB,90,0.07465725971441414,0.008988775624575096
azimuth_subcell_count_config,row_ls_SCNR_improvement_dB,90,0.07012434843408157,0.03467099169478965
azimuth_subcell_count_config,best_adaptive_SCNR_improvement_dB,90,-0.038975746767875505,0.1412405440031269
azimuth_subcell_count_config,current_failure,90,-0.03310877130290806,0.0
azimuth_subcell_count_config,row_ls_failure,90,-0.025708724836453055,0.0
azimuth_subcell_count_config,jdl_failure,90,nan,nan
azimuth_subcell_count_config,adaptive_failure,90,nan,nan
texture_nonuniformity_cv,current_SCNR_improvement_dB,90,0.012022179380496918,-0.17618706609732385
texture_nonuniformity_cv,row_ls_SCNR_improvement_dB,90,0.03268427376380267,-0.1595176809705606
texture_nonuniformity_cv,best_adaptive_SCNR_improvement_dB,90,-0.029476210364320934,0.1818730015403566
texture_nonuniformity_cv,current_failure,90,-0.04857362275445829,-0.05017649899709166
texture_nonuniformity_cv,row_ls_failure,90,-0.023026662215719834,-0.0028335777229456073
texture_nonuniformity_cv,jdl_failure,90,nan,nan
texture_nonuniformity_cv,adaptive_failure,90,nan,nan
p38_slope_rad_per_hz,current_SCNR_improvement_dB,90,0.0007486079612294428,-0.10305647926905295
p38_slope_rad_per_hz,row_ls_SCNR_improvement_dB,90,-0.045641890866672315,-0.1242090016340814
p38_slope_rad_per_hz,best_adaptive_SCNR_improvement_dB,90,-0.003754564277289362,-0.012751701819427171
p38_slope_rad_per_hz,current_failure,90,-0.017586221820968518,-0.05133068517333462
p38_slope_rad_per_hz,row_ls_failure,90,0.0001679472746904441,0.015943164410597732
p38_slope_rad_per_hz,jdl_failure,90,nan,nan
p38_slope_rad_per_hz,adaptive_failure,90,nan,nan
p38_rmse_rad,current_SCNR_improvement_dB,90,-0.0166114982463011,0.137334158312851
p38_rmse_rad,row_ls_SCNR_improvement_dB,90,-0.019195428932302375,0.1211304655152275
p38_rmse_rad,best_adaptive_SCNR_improvement_dB,90,-0.07851843916241119,0.061838720114587443
p38_rmse_rad,current_failure,90,0.3390351105094795,0.1630504117270629
p38_rmse_rad,row_ls_failure,90,-0.057996253507920176,-0.032824162021818856
p38_rmse_rad,jdl_failure,90,nan,nan
p38_rmse_rad,adaptive_failure,90,nan,nan
p38_inlier_ratio,current_SCNR_improvement_dB,90,nan,nan
p38_inlier_ratio,row_ls_SCNR_improvement_dB,90,nan,nan
p38_inlier_ratio,best_adaptive_SCNR_improvement_dB,90,nan,nan
p38_inlier_ratio,current_failure,90,nan,nan
p38_inlier_ratio,row_ls_failure,90,nan,nan
p38_inlier_ratio,jdl_failure,90,nan,nan
p38_inlier_ratio,adaptive_failure,90,nan,nan
p38_accepted_sample_count,current_SCNR_improvement_dB,90,-0.010131083532510356,-0.008988775624575096
p38_accepted_sample_count,row_ls_SCNR_improvement_dB,90,-0.008912348796342149,-0.03467099169478965
p38_accepted_sample_count,best_adaptive_SCNR_improvement_dB,90,-0.0013029007491528032,-0.1412405440031269
p38_accepted_sample_count,current_failure,90,0.0,0.0
p38_accepted_sample_count,row_ls_failure,90,0.0,0.0
p38_accepted_sample_count,jdl_failure,90,nan,nan
p38_accepted_sample_count,adaptive_failure,90,nan,nan
coherence_mean,current_SCNR_improvement_dB,90,0.06253726537405582,0.0679181342135323
coherence_mean,row_ls_SCNR_improvement_dB,90,0.06694408096123025,0.07907368982701365
