case_id,factor,factor_level,seed,scenario_label,method,comparison_protocol,method_family,target_id,target_snr_config_dB,target_fd_truth_hz,fa_ctr_hz,target_clutter_center_offset_hz,target_motion_ve_mps,target_motion_vn_mps,target_velocity_mode,target_radial_speed_config_mps,target_azimuth_offset_deg,channel_valid_fraction,target_row_truth,target_range_bin_truth,runtime_ms,status,training_source,steering_source,p38_fit_source,p38_rmse_rad,p38_inlier_ratio,p38_sample_count,p38_k_rad_per_hz,p38_b_rad,covariance_condition_number,estimated_clutter_rank,loading_coefficient,shrinkage_coefficient,steering_projection_error_mean,steering_projection_error_p95,robust_lsq_condition_number,robust_lsq_confidence,robust_lsq_iterations,residual_suppression_dB,input_SCNR_dB,output_SCNR_dB,SCNR_improvement_dB,target_loss_dB,background_residual_p95_dB_over_input_median,background_residual_p99_dB_over_input_median,background_residual_cvar95_dB_over_input_median,high_tail_fraction_15dB,target_signal_power_before,target_signal_power_after,background_power_before_roi,background_power_after_roi,target_detected,detection_threshold_scale,target_cfar_candidate_cells,target_peak_power,false_alarm_count,background_Pfa,cfar_test_cells,cfar_alpha,academic_reference_status,training_mode,training_sample_count,training_valid_fraction,training_channel_valid_fraction,covariance_condition_number_p95,weight_build_runtime_ms,cut_guard_bins,range_block_size
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Current legacy CSI [production replay],production_replay,F1/F2 strict,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,429.34434000017063,ok,target-observation P38,not applicable to two-channel CSI,observed,0.004181538159243805,1.0,34.0,0.0008692827185069098,-0.006943608951762962,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.47671391892611,4.012069034604858,24.88425649217286,20.872187457568003,-6.856554695563542,6.989914771067297,10.897170794705284,9.87850158428168,0.0007438715131022823,21856809.545203835,4507453.949043171,8677205.133032355,14638.805791616098,1.0,1.0,1045.0,76590297.80826353,1023.0,0.0019401456531634045,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Phase-only CSI [production replay],production_replay,F1/F2 strict,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,226.6530540000531,ok,target-observation P38,not applicable to two-channel CSI,observed,0.004181538159243805,1.0,34.0,0.0008692827185069098,-0.006943608951762962,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.762060276769063,4.012069034604858,23.283306131075076,19.271237096470216,-6.685192616169226,8.609510964791978,12.619877661496108,11.569757911021444,0.002366863905325444,21856809.545203835,4688862.597287671,8677205.133032355,22015.922776916566,1.0,1.0,171.0,76884124.59933689,152.0,0.000288271885905022,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Current legacy CSI [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,242.22697700133722,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004053316743882672,1.0,34.0,0.0008660372687760726,-0.006703163609681044,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.476559988553017,4.012069034604858,24.917615604893882,20.905546570289026,-6.837671344339275,6.989646112069834,10.897856210871065,9.879366025354168,0.0007513853667699821,21856809.545203835,4527095.264358113,8677205.133032355,14590.093431700143,1.0,1.0,1049.0,76931782.24959217,1031.0,0.0019553178576847217,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Phase-only CSI [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,235.79960099959862,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004053316743882672,1.0,34.0,0.0008660372687760726,-0.006703163609681044,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.76182986529171,4.012069034604858,23.311142891308634,19.299073856703778,-6.6664344512088665,8.608508989379214,12.623639725154769,11.570604953885349,0.0023743777589931435,21856809.545203835,4709158.659789042,8677205.133032355,21969.94823753132,1.0,1.0,169.0,77226894.85554996,150.0,0.00028447883477469274,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Row complex LS / Wiener [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,233.3191510006145,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004053316743882672,1.0,34.0,0.0008660372687760726,-0.006703163609681044,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.945351527668606,4.012069034604858,23.556157406579715,19.54408837197486,-6.664862819274625,8.409711011035258,12.338099566019503,11.352564489287069,0.0020963651732882503,21856809.545203835,4710863.126172499,8677205.133032355,20772.307613635432,1.0,1.0,201.0,77318387.08534557,182.0,0.00034516765285996055,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,315.09951500083844,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004053316743882672,1.0,34.0,0.0008660372687760726,-0.006703163609681044,nan,nan,nan,nan,nan,nan,75572.61479056418,0.9175517885970342,5.0,18.94424942851335,4.012069034604858,23.557738070167964,19.545669035563108,-6.653275903303103,8.409139733723826,12.345595244133872,11.362807868107552,0.00210387902695595,21856809.545203835,4723448.424270462,8677205.133032355,20820.22270222515,1.0,1.0,207.0,77458845.9985158,187.0,0.0003546502806857836,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,DL-SMI/MVDR global,scientific_controlled,4-channel physical academic reference,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,2449.932331999662,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,16804.766238819397,1.0,7352.74937969336,0.0,7.712863493119589e-17,2.2591401799415137e-16,,,,-0.8027730451148217,4.021920868062743,2.947736496376572,-1.074184371686171,-0.011140844761173562,24.955764580582326,36.287950390255375,35.21751628836926,0.15222879684418145,22049448.16392418,21992957.76872301,8733848.172403695,11156038.147615392,1.0,1.0,2306.0,391962358.8007033,2306.0,0.00437338795326961,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,84543.18339058201,2200.1628190009797,4,256
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,DL-SMI/MVDR local,scientific_controlled,4-channel physical academic reference,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,1594.8417729996436,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,772102.1705474459,1.0,7365.621406677926,0.0,7.134318685184237e-17,2.244791046816224e-16,,,,0.11671198078855438,4.021920868062743,3.946887653729573,-0.07503321433317023,-0.012147772347932444,23.719390281069863,35.20508678555085,34.317238622405824,0.13574528036066497,22049448.16392418,21987859.21238009,8733848.172403695,8861233.529973714,1.0,1.0,2424.0,389191763.63034564,2423.0,0.00459528144439387,527280.0,13.44971616743564,corrected research baseline,local,487.875,1.0,1.0,4355840.544702246,1346.7374489991926,4,256
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Shrinkage-SMI/MVDR global,scientific_controlled,4-channel physical academic reference,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,3885.9088029985287,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,1225.8828437852987,1.0,7352.74937969336,0.0023941608903096327,7.657403163467877e-17,2.2591401799415137e-16,,,,-0.6140244281892294,4.021920868062743,3.175078692401909,-0.846842175660834,-0.011158261529726994,24.732854899669682,36.07549362778141,35.029681575394505,0.14946369869446793,22049448.16392418,21992869.569240138,8733848.172403695,10587027.212352294,1.0,1.0,2327.0,391111703.72723114,2327.0,0.004413214990138067,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,1488.2891401094673,3638.55439299914,4,256
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Shrinkage-SMI/MVDR local,scientific_controlled,4-channel physical academic reference,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,2132.503420998546,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,263.59700452303326,1.0,7365.621406677926,0.018565276494849816,7.440750770978396e-17,2.2530044628618934e-16,,,,-0.08041174242335805,4.021920868062743,3.790869170869859,-0.2310516971928842,-0.011512200131616154,24.019912123662653,35.45625727871534,34.50889732025156,0.1395115995115995,22049448.16392418,21991077.281139106,8733848.172403695,9186701.128199099,1.0,1.0,2381.0,389448284.7146772,2382.0,0.004517523896222121,527280.0,13.44971616743564,corrected research baseline,local,487.875,1.0,1.0,395.2316540856518,1886.4441069999884,4,256
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,Corrected JDL physical,scientific_controlled,4-channel physical academic reference,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,4299.6455039992725,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,2990672.3418755713,4.091826923076923,7352.749379693364,0.0,8.02873027568697e-17,2.2887833992611187e-16,,,,-2.3396305095689476,4.021920868062743,2.3818687999994683,-1.6400520680632749,1.3133665405788606,26.183564716322593,38.0365469387638,36.83000341033552,0.15587489433643278,22049448.16392418,29835572.712895185,8733848.172403695,17240406.391715895,1.0,1.0,2262.0,543596615.4856184,2263.0,0.004291837353967531,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,15524774.9318348,3933.9820080003847,4,256
baseline_v2_texturesigma0p4_s20260981,texture_sigma,0.4,20260981,Baseline V2 controlled single-target case,MNEC physical,scientific_controlled,4-channel physical academic reference,B2_TARGET_texture_sigma_0.4_20260981,10.0,-53.2468982695,-0.909364336483343,-52.33753393301666,-0.5,0.5,enu,nan,0.0,1.0,60,2200,2371.1631639998814,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,16804.766238819397,1.0,7352.74937969336,0.0,6.994427360473471e-17,2.237726045655905e-16,,,,-0.22412933544747282,4.021920868062743,3.6873562930835035,-0.33456457497923964,-0.011584390853363307,24.300367310530273,35.64113232493048,34.639146954921884,0.14460599229829998,22049448.16392418,21990711.73687995,8733848.172403695,9408137.508086309,1.0,1.0,2347.0,389556693.20872545,2347.0,0.004451145501441359,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,84543.18339058201,2155.950415000916,4,256
