feature,outcome,n,pearson,spearman
valid_pulse_fraction,current_SCNR_improvement_dB,35,nan,nan
valid_pulse_fraction,row_ls_SCNR_improvement_dB,35,nan,nan
valid_pulse_fraction,best_adaptive_SCNR_improvement_dB,35,nan,nan
valid_pulse_fraction,current_failure,35,nan,nan
valid_pulse_fraction,row_ls_failure,35,nan,nan
valid_pulse_fraction,jdl_failure,35,nan,nan
valid_pulse_fraction,adaptive_failure,35,nan,nan
texture_sigma_config,current_SCNR_improvement_dB,35,nan,nan
texture_sigma_config,row_ls_SCNR_improvement_dB,35,nan,nan
texture_sigma_config,best_adaptive_SCNR_improvement_dB,35,nan,nan
texture_sigma_config,current_failure,35,nan,nan
texture_sigma_config,row_ls_failure,35,nan,nan
texture_sigma_config,jdl_failure,35,nan,nan
texture_sigma_config,adaptive_failure,35,nan,nan
azimuth_subcell_count_config,current_SCNR_improvement_dB,35,nan,nan
azimuth_subcell_count_config,row_ls_SCNR_improvement_dB,35,nan,nan
azimuth_subcell_count_config,best_adaptive_SCNR_improvement_dB,35,nan,nan
azimuth_subcell_count_config,current_failure,35,nan,nan
azimuth_subcell_count_config,row_ls_failure,35,nan,nan
azimuth_subcell_count_config,jdl_failure,35,nan,nan
azimuth_subcell_count_config,adaptive_failure,35,nan,nan
texture_nonuniformity_cv,current_SCNR_improvement_dB,35,0.18243954588524428,0.18012909974661181
texture_nonuniformity_cv,row_ls_SCNR_improvement_dB,35,0.13976561069886173,0.09107651110783742
texture_nonuniformity_cv,best_adaptive_SCNR_improvement_dB,35,0.028570012589969322,0.17603521056352123
texture_nonuniformity_cv,current_failure,35,-6.06983529216534e-18,0.0
texture_nonuniformity_cv,row_ls_failure,35,-6.06983529216534e-18,0.0
texture_nonuniformity_cv,jdl_failure,35,nan,nan
texture_nonuniformity_cv,adaptive_failure,35,nan,nan
p38_slope_rad_per_hz,current_SCNR_improvement_dB,35,-0.07010386656067692,-0.24489461875662952
p38_slope_rad_per_hz,row_ls_SCNR_improvement_dB,35,-0.03790853111209757,-0.11941142567472018
p38_slope_rad_per_hz,best_adaptive_SCNR_improvement_dB,35,-0.03228847010931088,-0.13802760828276095
p38_slope_rad_per_hz,current_failure,35,-8.467758933212716e-18,0.0
p38_slope_rad_per_hz,row_ls_failure,35,-8.467758933212716e-18,0.0
p38_slope_rad_per_hz,jdl_failure,35,nan,nan
p38_slope_rad_per_hz,adaptive_failure,35,nan,nan
p38_rmse_rad,current_SCNR_improvement_dB,35,-0.07067424441673555,-0.12953103802003546
p38_rmse_rad,row_ls_SCNR_improvement_dB,35,-0.048693251839131535,-0.08298082123158522
