case_id,factor,factor_family,factor_level,seed,scenario_label,valid_pulse_fraction,texture_sigma_config,azimuth_subcell_count_config,texture_nonuniformity_cv,p38_slope_rad_per_hz,p38_intercept_rad,p38_rmse_rad,p38_inlier_ratio,p38_accepted_sample_count,coherence_mean,coherence_p10,F1_F2_energy_ratio_dB,phase_variance_rad2,distance_to_clutter_ridge_hz,distance_to_clutter_ridge_mps,clutter_ridge_angle_deg_diagnostic,target_beam_hypothesis_angle_deg,distance_to_support_edge_rows,distance_to_support_edge_hz,target_fd_truth_hz,fa_ctr_hz,target_row_truth,target_range_bin_truth,dynamic_support_row_start,dynamic_support_row_end,target_bin_bytes,background_bin_bytes,target_input_sha256,background_input_sha256,best_strict_expert,best_strict_SCNR_improvement_dB,best_adaptive_expert,best_adaptive_SCNR_improvement_dB,best_overall_expert,best_overall_SCNR_improvement_dB,current_SCNR_improvement_dB,current_target_loss_dB,current_Pfa,current_failure,phase_only_SCNR_improvement_dB,phase_only_target_loss_dB,phase_only_Pfa,phase_only_failure,row_ls_SCNR_improvement_dB,row_ls_target_loss_dB,row_ls_Pfa,row_ls_failure,robust_row_ls_SCNR_improvement_dB,robust_row_ls_target_loss_dB,robust_row_ls_Pfa,robust_row_ls_failure,dl_mvdr_SCNR_improvement_dB,dl_mvdr_target_loss_dB,dl_mvdr_Pfa,dl_mvdr_failure,shrinkage_mvdr_SCNR_improvement_dB,shrinkage_mvdr_target_loss_dB,shrinkage_mvdr_Pfa,shrinkage_mvdr_failure,jdl_SCNR_improvement_dB,jdl_target_loss_dB,jdl_Pfa,jdl_failure,current_residual_p95_dB_over_input_median,current_residual_p99_dB_over_input_median,current_residual_cvar95_dB_over_input_median,dl_global_covariance_condition_number,dl_global_covariance_condition_number_p95,dl_global_estimated_clutter_rank,jdl_covariance_condition_number,jdl_estimated_clutter_rank,adaptive_failure
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9364052672745375,0.0008731612153277274,-0.007101896112432289,0.004227903106880821,1.0,34.0,0.7188134305685928,0.33730784900369126,-0.06925977164026194,0.06574679839086638,426.840493533876,3.9988612728266806,3.8214639010770997,0.0,-20,-200.0,425.975186156,-0.8653073778759688,108,2200,42,88,49204480,49204480,ae7a85080510c77a57b8f60103785136b3ca065a63fa3ca3b20e7b96bec23245,842ce9a2185b4d81796024804bcb9cd993f876ceae24fa564fc0b26132848399,Current legacy CSI [production replay],0.0,Corrected JDL physical,20.43565868089631,Corrected JDL physical,20.43565868089631,0.0,0.0,0.0020747989682900927,0,0.0,0.0,0.0001858595053861326,0,0.0,0.0,0.0003015475648611743,0,0.0,0.0,0.0002977545137308451,0,-0.26334736002562664,-0.012415676875119738,0.004375284478834775,0,-0.2567406256403757,-0.012405938191341092,0.004407525413442573,0,20.43565868089631,3.098670795131742,0.004308906084054013,0,7.071867627285224,11.065487970747965,10.065761662771397,16136.281821724002,79905.38424612951,1.0,2892468.845728547,4.107692307692307,0
baseline_v2_targetradialspeedmpsm4p0_s20261022,target_radial_speed_mps,target_radial_speed_mps,-4.0,20261022,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9351445210297662,0.0008727931407489076,-0.006492094149313134,0.0040701784617847205,1.0,34.0,0.7153272293495155,0.3325957178046096,-0.06864087688892698,0.06552027739847045,426.78067115810813,3.9983008260430917,3.820927521386593,0.0,-20,-200.0,425.975186156,-0.805485002108153,108,2200,42,88,49204480,49204480,026148f9fb1b0508e4e29ac23c151332a1716d77af094e83b5ad229fc3b34b99,301f42986fb19fe87d5e80e124d46892063ba91cdea0dd394da095db8c737da7,Current legacy CSI [production replay],0.0,Corrected JDL physical,19.44005947829814,Corrected JDL physical,19.44005947829814,0.0,0.0,0.002421863146715218,0,0.0,0.0,0.0002996510392960097,0,0.0,0.0,0.0003887877408587468,0,0.0,0.0,0.00039827036868456985,0,-1.3645319848699842,-0.012343579258583783,0.004462524654832347,0,-1.3599824216901482,-0.012331647226502132,0.004492869063874981,0,19.44005947829814,3.010577655660593,0.0044359732969200425,0,7.100147548916656,11.070376236579783,10.029017316543268,15992.944694075135,83719.32836506864,1.0,2970244.6759541715,4.092307692307692,0
baseline_v2_targetradialspeedmpsm4p0_s20261023,target_radial_speed_mps,target_radial_speed_mps,-4.0,20261023,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9415512699121884,0.0008703435186862104,-0.007736726153377731,0.004176662273257531,1.0,34.0,0.7189505863980193,0.3386240593303471,-0.07024104968329352,0.06563682871291544,426.2865422178993,3.993671571994525,3.816497072785335,0.0,-20,-200.0,425.975186156,-0.3113560618992929,108,2200,42,88,49204480,49204480,1aa83eeff407ef9e8cf66bd39724da3c132ee36b34ae85dd09ec5f6c41a4713e,a89f299d8b58bd6e5411fcac45fe2495fb3b2b31d3a4097f37e9a697e35a4eed,Current legacy CSI [production replay],0.0,Corrected JDL physical,20.506140821100864,Corrected JDL physical,20.506140821100864,0.0,0.0,0.0019515248065543923,0,0.0,0.0,0.00015361857077833408,0,0.0,0.0,0.0002446517979062358,0,0.0,0.0,0.0002465483234714004,0,-0.23095970225581652,-0.012396870464209621,0.004331664390835988,0,-0.22583739149080628,-0.012387210597106207,0.004363905325443787,0,20.506140821100864,2.9811995508941753,0.004314595660749507,0,7.113731554647424,11.023620908468477,10.047612863679083,15838.64567408534,78510.9746432394,1.0,3013677.9835227397,4.1149038461538465,0
baseline_v2_targetradialspeedmpsm4p0_s20261024,target_radial_speed_mps,target_radial_speed_mps,-4.0,20261024,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9381962383690824,0.0008619280783391364,0.0007507449962261777,0.003696960961482148,1.0,34.0,0.7210516628846678,0.3576501820611109,-0.06712401328770422,0.060559050660307194,425.8761422772327,3.9898267342765408,3.812817370768206,0.0,-20,-200.0,425.975186156,0.09904387876729123,108,2200,42,88,49204480,49204480,7488f0c47605d6c65c2a73d3f33114baa674aec9466cde2975defa569a2f1c2d,1da2890adee7aa6f1f4453193720aa604d591aea21175388e7ff9ff743d2384e,Current legacy CSI [production replay],0.0,Corrected JDL physical,20.321694314147223,Corrected JDL physical,20.321694314147223,0.0,0.0,0.0020899711728114096,0,0.0,0.0,0.0001649977241693218,0,0.0,0.0,0.00026930663025337583,0,0.0,0.0,0.0002768927325140343,0,-0.4349663415201732,-0.012437400252339335,0.00442269761796389,0,-0.42732736932120474,-0.012425808675975428,0.004445455924745866,0,20.321694314147223,3.0511153186651323,0.004320285237445,0,7.049269524076514,10.826100616481092,9.925003211413221,16300.55151663678,83506.0902073278,1.0,2919000.300013645,4.092788461538461,0
baseline_v2_targetradialspeedmpsm4p0_s20261025,target_radial_speed_mps,target_radial_speed_mps,-4.0,20261025,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9387635245064766,0.0008707301067581852,-0.006829417352232971,0.0038170850730817702,1.0,34.0,0.7194107704046006,0.3414918787239584,-0.06953005344126237,0.06448022804163946,426.55478315054614,3.9961845910112253,3.8189021662054548,0.0,-20,-200.0,425.975186156,-0.5795969945461558,108,2200,42,88,49204480,49204480,31fe2849af821836c69f555dc462697315d036c64f210728425022cdde5bb03d,4aa3c1a75a85a5481327a75795e4500474583f837252fcf80a3a8d10e546faae,Current legacy CSI [production replay],0.0,Corrected JDL physical,20.02538046974125,Corrected JDL physical,20.02538046974125,0.0,0.0,0.0023535882263692916,0,0.0,0.0,0.0005025792747686238,0,0.0,0.0,0.0005499924138977393,0,0.0,0.0,0.000551888939462904,0,-0.2792501028067136,-0.012467043618392003,0.004417008041268397,0,-0.2733013504038908,-0.012454388424501492,0.004458731603702018,0,20.02538046974125,2.974022044930704,0.004362008799878622,0,7.051827850238701,10.962577073895332,9.979969383012309,16540.6149265439,79935.06525284747,1.0,3032534.992317867,4.123076923076923,0
baseline_v2_targetradialspeedmpsm2p0_s20261021,target_radial_speed_mps,target_radial_speed_mps,-2.0,20261021,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9364052672745375,0.0008731612153277274,-0.007101896112432289,0.004227903106880821,1.0,34.0,0.7188134305685928,0.33730784900369126,-0.06925977164026194,0.06574679839086638,213.85290045587598,2.003483958690512,1.9135419602587829,0.0,2,20.0,212.987593078,-0.8653073778759688,86,2200,42,88,49204480,49204480,e88d0cbd59b4e27240cef4fd6b433e49be4900ed1eb0c01e69995e3dc0c11555,842ce9a2185b4d81796024804bcb9cd993f876ceae24fa564fc0b26132848399,Current legacy CSI [scientific controlled],4.243854211749856,Corrected JDL physical,18.284443788273222,Corrected JDL physical,18.284443788273222,4.2436585282716734,4.005571828803658,0.0020634198148991047,0,2.5640638084534864,4.156253869783003,0.00018965255651646185,0,1.193364699594369,1.5915576317749978,0.0003015475648611743,0,1.2685023004627922,1.732677481798407,0.0002977545137308451,0,0.18670073562261535,-0.011832887475089059,0.004375284478834775,0,0.24430656184619792,-0.011818068904860854,0.004407525413442573,0,18.284443788273222,2.997738086643072,0.004308906084054013,0,7.071867627285224,11.065487970747965,10.065761662771397,16136.281821724002,79905.38424612951,1.0,2892468.845728547,4.107692307692307,0
baseline_v2_targetradialspeedmpsm2p0_s20261022,target_radial_speed_mps,target_radial_speed_mps,-2.0,20261022,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9351445210297662,0.0008727931407489076,-0.006492094149313134,0.0040701784617847205,1.0,34.0,0.7153272293495155,0.3325957178046096,-0.06864087688892698,0.06552027739847045,213.79307808010816,2.002923511906923,1.9130064744739257,0.0,2,20.0,212.987593078,-0.805485002108153,86,2200,42,88,49204480,49204480,66b2299b9ebadedcdf5e8cc2a04dd9682c580d2a2680426a0a38908c5e28aab7,301f42986fb19fe87d5e80e124d46892063ba91cdea0dd394da095db8c737da7,Current legacy CSI [production replay],10.16670303310195,Corrected JDL physical,17.8617133499637,Corrected JDL physical,17.8617133499637,10.16670303310195,3.9953142853132038,0.0024142770444545592,0,6.1568468527158835,4.157003004171602,0.0002977545137308451,0,4.824155544064762,1.6105889982578125,0.0003887877408587468,0,4.939010216359183,1.7609640941947529,0.00039827036868456985,0,-0.23353985156192536,-0.011841983745775818,0.004462524654832347,0,-0.12708603623557835,-0.011822921003234566,0.004492869063874981,0,17.8617133499637,2.9833776472495463,0.0044359732969200425,0,7.100147548916656,11.070376236579783,10.029017316543268,15992.944694075135,83719.32836506864,1.0,2970244.6759541715,4.092307692307692,0
baseline_v2_targetradialspeedmpsm2p0_s20261023,target_radial_speed_mps,target_radial_speed_mps,-2.0,20261023,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9415512699121884,0.0008703435186862104,-0.007736726153377731,0.004176662273257531,1.0,34.0,0.7189505863980193,0.3386240593303471,-0.07024104968329352,0.06563682871291544,213.2989491398993,1.998294257858356,1.9085834030427706,0.0,2,20.0,212.987593078,-0.3113560618992929,86,2200,42,88,49204480,49204480,fcd9efe73989d886b8b619dd005cf2c848f5df6ecb5e60d26f6b8fbb02cbb8da,a89f299d8b58bd6e5411fcac45fe2495fb3b2b31d3a4097f37e9a697e35a4eed,Current legacy CSI [scientific controlled],11.92540291739935,Corrected JDL physical,17.205198219348386,Corrected JDL physical,17.205198219348386,11.919924908974114,3.97654184182859,0.00196290395994538,0,5.362231739471003,4.167450803395819,0.00015361857077833408,0,2.660988199037778,1.6037797134494902,0.0002446517979062358,0,2.8147577190799176,1.7401390563567047,0.0002465483234714004,0,-0.06545370764395386,-0.011834844820159708,0.004331664390835988,0,-0.015145036838141834,-0.01181943996988619,0.004363905325443787,0,17.205198219348386,2.9319101964074816,0.004314595660749507,0,7.113731554647424,11.023620908468477,10.047612863679083,15838.64567408534,78510.9746432394,1.0,3013677.9835227397,4.1149038461538465,0
baseline_v2_targetradialspeedmpsm2p0_s20261024,target_radial_speed_mps,target_radial_speed_mps,-2.0,20261024,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9381962383690824,0.0008619280783391364,0.0007507449962261777,0.003696960961482148,1.0,34.0,0.7210516628846678,0.3576501820611109,-0.06712401328770422,0.060559050660307194,212.8885491992327,1.9944494201403717,1.9049098194279375,0.0,2,20.0,212.987593078,0.09904387876729123,86,2200,42,88,49204480,49204480,8a6e5e217bb65885bb5c9127554151f1c7d264cd8c30134857533b1c2089a498,1da2890adee7aa6f1f4453193720aa604d591aea21175388e7ff9ff743d2384e,Current legacy CSI [production replay],7.309296355506088,Corrected JDL physical,19.45426153040578,Corrected JDL physical,19.45426153040578,7.309296355506088,4.047647511139506,0.002088074647246245,0,5.435537895903021,4.15707905703162,0.00016879077529965105,0,4.282403469218689,1.7419672949962477,0.00026930663025337583,0,4.370606266281836,1.8533645796794975,0.0002768927325140343,0,-0.007257692839957031,-0.012051473549661053,0.00442269761796389,0,0.05318073341810248,-0.01203226947342345,0.004445455924745866,0,19.45426153040578,2.9445370597128626,0.004320285237445,0,7.049269524076514,10.826100616481092,9.925003211413221,16300.55151663678,83506.0902073278,1.0,2919000.300013645,4.092788461538461,0
baseline_v2_targetradialspeedmpsm2p0_s20261025,target_radial_speed_mps,target_radial_speed_mps,-2.0,20261025,Baseline V2 controlled single-target case,1.0,0.4,9.0,0.9387635245064766,0.0008707301067581852,-0.006829417352232971,0.0038170850730817702,1.0,34.0,0.7194107704046006,0.3414918787239584,-0.06953005344126237,0.06448022804163946,213.56719007254617,2.0008072768750567,1.9109844931446736,0.0,2,20.0,212.987593078,-0.5795969945461558,86,2200,42,88,49204480,49204480,f870187b2cfd86f4c76dc6165318ce32b0101b843e02014be4c61fddd1c11055,4aa3c1a75a85a5481327a75795e4500474583f837252fcf80a3a8d10e546faae,Current legacy CSI [production replay],11.329683565118842,Corrected JDL physical,18.021316832949914,Corrected JDL physical,18.021316832949914,11.329683565118842,4.000954756513661,0.0023497951752389622,0,6.961843541951886,4.161985523347688,0.0005025792747686238,0,5.307838643127901,1.620181743100599,0.0005499924138977393,0,5.441913267281066,1.7580000476855928,0.000551888939462904,0,-0.10214190025779146,-0.011890987156324511,0.004417008041268397,0,0.01584356005307086,-0.011872648493221945,0.004458731603702018,0,18.021316832949914,2.9161077236917694,0.004362008799878622,0,7.051827850238701,10.962577073895332,9.979969383012309,16540.6149265439,79935.06525284747,1.0,3032534.992317867,4.123076923076923,0
