case_id,factor,factor_level,seed,scenario_label,method,comparison_protocol,method_family,target_id,target_snr_config_dB,target_fd_truth_hz,fa_ctr_hz,target_clutter_center_offset_hz,target_motion_ve_mps,target_motion_vn_mps,target_velocity_mode,target_radial_speed_config_mps,target_azimuth_offset_deg,channel_valid_fraction,target_row_truth,target_range_bin_truth,runtime_ms,status,training_source,steering_source,p38_fit_source,p38_rmse_rad,p38_inlier_ratio,p38_sample_count,p38_k_rad_per_hz,p38_b_rad,covariance_condition_number,estimated_clutter_rank,loading_coefficient,shrinkage_coefficient,steering_projection_error_mean,steering_projection_error_p95,robust_lsq_condition_number,robust_lsq_confidence,robust_lsq_iterations,residual_suppression_dB,input_SCNR_dB,output_SCNR_dB,SCNR_improvement_dB,target_loss_dB,background_residual_p95_dB_over_input_median,background_residual_p99_dB_over_input_median,background_residual_cvar95_dB_over_input_median,high_tail_fraction_15dB,target_signal_power_before,target_signal_power_after,background_power_before_roi,background_power_after_roi,target_detected,detection_threshold_scale,target_cfar_candidate_cells,target_peak_power,false_alarm_count,background_Pfa,cfar_test_cells,cfar_alpha,academic_reference_status,training_mode,training_sample_count,training_valid_fraction,training_channel_valid_fraction,covariance_condition_number_p95,weight_build_runtime_ms,cut_guard_bins,range_block_size
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,Current legacy CSI [production replay],production_replay,F1/F2 strict,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,412.15042699877813,ok,target-observation P38,not applicable to two-channel CSI,observed,0.004213256517526955,1.0,34.0,0.0008730583828526151,-0.0068391562378927835,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.289066685088464,30.047285679932884,30.047285679932884,0.0,0.0,7.071770139593589,11.06630898053181,10.065117801396697,0.0010012210012210012,20648326.386050973,20648326.386050973,20424.728319151833,20424.728319151833,1.0,1.0,1100.0,280095952.6294134,1094.0,0.0020747989682900927,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,Phase-only CSI [production replay],production_replay,F1/F2 strict,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,247.28302199946484,ok,target-observation P38,not applicable to two-channel CSI,observed,0.004213256517526955,1.0,34.0,0.0008730583828526151,-0.0068391562378927835,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.57220221370387,30.047285679932884,30.047285679932884,0.0,0.0,8.73737182550325,12.734461281029583,11.76332801848957,0.003323001784540246,20648326.386050973,20648326.386050973,20424.728319151833,20424.728319151833,1.0,1.0,143.0,280095952.6294134,98.0,0.0001858595053861326,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,Current legacy CSI [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,262.5789470002928,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004227903106880821,1.0,34.0,0.0008731612153277274,-0.007101896112432289,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.28865288891066,30.047285679932884,30.047285679932884,0.0,0.0,7.071867627285224,11.065487970747965,10.065761662771397,0.001006856391471776,20648326.386050973,20648326.386050973,20424.728319151833,20424.728319151833,1.0,1.0,1099.0,280095952.62941355,1093.0,0.002072902442724928,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,Phase-only CSI [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,259.10820399985823,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004227903106880821,1.0,34.0,0.0008731612153277274,-0.007101896112432289,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.57193118932273,30.047285679932884,30.047285679932884,0.0,0.0,8.737530376173387,12.735099791544657,11.763765589437309,0.003323001784540246,20648326.386050973,20648326.386050973,20424.728319151833,20424.728319151833,1.0,1.0,143.0,280095952.62941355,98.0,0.0001858595053861326,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,Row complex LS / Wiener [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,247.36837099953846,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004227903106880821,1.0,34.0,0.0008731612153277274,-0.007101896112432289,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.772169638097512,30.047285679932884,30.047285679932884,0.0,0.0,8.522961281621072,12.491719659495718,11.51050023399976,0.0027087442472057857,20648326.386050973,20648326.386050973,20424.728319151833,20424.728319151833,1.0,1.0,198.0,280095952.62941355,159.0,0.0003015475648611743,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,378.8877280003362,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004227903106880821,1.0,34.0,0.0008731612153277274,-0.007101896112432289,nan,nan,nan,nan,nan,nan,74650.86474293069,0.9163852258042243,5.0,18.77053974753943,30.047285679932884,30.047285679932884,0.0,0.0,8.526929519010478,12.510602069652968,11.524073965053635,0.00273316427162581,20648326.386050973,20648326.386050973,20424.728319151833,20424.728319151833,1.0,1.0,198.0,280095952.62941355,157.0,0.0002977545137308451,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,DL-SMI/MVDR global,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,2535.951327001385,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,16136.281821724002,1.0,7190.408741197416,0.0,7.518777327135458e-17,2.2591401799415137e-16,,,,-0.8025027099243522,36.06595056760912,35.802603207583495,-0.26334736002562664,-0.012415676875119738,24.782957151056614,36.079380663575876,35.028510968227806,0.1507185122569738,20725254.275975127,20666089.214293,5127.489867280307,5432.478036230493,1.0,1.0,2336.0,280103781.55231297,2307.0,0.004375284478834775,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,79905.38424612951,2274.972979001177,4,256
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,DL-SMI/MVDR local,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,1844.055509998725,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,740779.3526495305,1.0,7188.318123668148,0.0,7.578034833006548e-17,2.256411542437087e-16,,,,0.12181754333340808,36.06595056760912,35.8579828101508,-0.20796775745832008,-0.012699030181768146,23.530196664843565,34.94614220174692,34.12344662585606,0.13420681882220345,20725254.275975127,20664740.909413945,5127.489867280307,5363.29497775141,1.0,1.0,2420.0,280089667.3040224,2391.0,0.004534592626308603,527280.0,13.44971616743564,corrected research baseline,local,487.875,1.0,1.0,4037621.254150372,1578.3682740002405,4,256
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,Shrinkage-SMI/MVDR global,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,3888.682601000255,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,1204.8606341079376,1.0,7190.408741197416,0.0024819215085999336,7.53105767327621e-17,2.2591401799415137e-16,,,,-0.6123566460689431,36.06595056760912,35.809209941968746,-0.2567406256403757,-0.012405938191341092,24.545441682463917,35.86264902622726,34.83980766389052,0.14785761247299709,20725254.275975127,20666135.556289464,5127.489867280307,5424.232288177619,1.0,1.0,2353.0,280104804.1975968,2324.0,0.004407525413442573,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,1463.1145971179872,3651.686832999985,4,256
baseline_v2_targetradialspeedmpsm4p0_s20261021,target_radial_speed_mps,-4.0,20261021,Baseline V2 controlled single-target case,Shrinkage-SMI/MVDR local,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_-4.0_20261021,10.0,425.975186156,-0.8653073778759688,426.840493533876,-0.5,0.5,radial,-4.0,0.0,1.0,108,2200,2175.301961999139,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,253.0541984003331,1.0,7188.318123668148,0.019268114458096015,7.409243071793862e-17,2.2473876566261383e-16,,,,-0.07968020593445002,36.06595056760912,35.856545769434,-0.2094047981751217,-0.012620869600755643,23.823460949239085,35.19913810994418,34.319637676135756,0.13790175636329483,20725254.275975127,20665112.818972446,5127.489867280307,5365.16649342305,1.0,1.0,2393.0,280094324.51250875,2366.0,0.004487179487179487,527280.0,13.44971616743564,corrected research baseline,local,487.875,1.0,1.0,375.440896149785,1932.4579860003723,4,256
