case_id,factor,factor_family,factor_level,seed,scenario_label,valid_pulse_fraction,texture_sigma_config,azimuth_subcell_count_config,texture_nonuniformity_cv,p38_slope_rad_per_hz,p38_intercept_rad,p38_rmse_rad,p38_inlier_ratio,p38_accepted_sample_count,coherence_mean,coherence_p10,F1_F2_energy_ratio_dB,phase_variance_rad2,distance_to_clutter_ridge_hz,distance_to_clutter_ridge_mps,clutter_ridge_angle_deg_diagnostic,target_beam_hypothesis_angle_deg,distance_to_support_edge_rows,distance_to_support_edge_hz,target_fd_truth_hz,fa_ctr_hz,target_row_truth,target_range_bin_truth,dynamic_support_row_start,dynamic_support_row_end,target_bin_bytes,background_bin_bytes,target_input_sha256,background_input_sha256,best_strict_expert,best_strict_SCNR_improvement_dB,best_adaptive_expert,best_adaptive_SCNR_improvement_dB,best_overall_expert,best_overall_SCNR_improvement_dB,current_SCNR_improvement_dB,current_target_loss_dB,current_Pfa,current_failure,phase_only_SCNR_improvement_dB,phase_only_target_loss_dB,phase_only_Pfa,phase_only_failure,row_ls_SCNR_improvement_dB,row_ls_target_loss_dB,row_ls_Pfa,row_ls_failure,robust_row_ls_SCNR_improvement_dB,robust_row_ls_target_loss_dB,robust_row_ls_Pfa,robust_row_ls_failure,dl_mvdr_SCNR_improvement_dB,dl_mvdr_target_loss_dB,dl_mvdr_Pfa,dl_mvdr_failure,shrinkage_mvdr_SCNR_improvement_dB,shrinkage_mvdr_target_loss_dB,shrinkage_mvdr_Pfa,shrinkage_mvdr_failure,jdl_SCNR_improvement_dB,jdl_target_loss_dB,jdl_Pfa,jdl_failure,current_residual_p95_dB_over_input_median,current_residual_p99_dB_over_input_median,current_residual_cvar95_dB_over_input_median,dl_global_covariance_condition_number,dl_global_covariance_condition_number_p95,dl_global_estimated_clutter_rank,jdl_covariance_condition_number,jdl_estimated_clutter_rank,adaptive_failure
baseline_v2_texturesigma0p2_s20261001,texture_sigma,texture_sigma,0.2,20261001,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9425501961230938,0.0008672131460935199,-0.005299047256492975,0.004273788044295831,1.0,34.0,0.727123298935325,0.36818942084112255,-0.06761809215999967,0.057559828066859074,52.01609336559255,0.4873135151758901,-0.46535524495308456,0.0,18,180.0,-53.2468982695,-1.2308049039074471,60,2200,42,88,49204480,49204480,58cd8f177e939446a26bfd5bc6ac8da3775ffcc2ce6b0ed6c9e0df712ab83285,0fc8578e61a8a14cde7b9160c83d11b4469675dec1fbba7a50798347633cf7f5,Current legacy CSI [production replay],17.229527613737503,DL-SMI/MVDR local,-0.055668517480845114,Current legacy CSI [production replay],17.229527613737503,17.229527613737503,-6.886397736483524,0.001640494613867395,0,15.323527996596686,-6.687674534539574,7.017144591109088e-05,0,15.339971582906538,-6.705968251914939,0.00013465331512668791,0,15.329603901270099,-6.679581768720205,0.00013654984069185253,0,-0.8741427814147915,-0.011136730097345436,0.004466317705962676,0,-0.6932402345397652,-0.011140003691211618,0.00449666211500531,0,-0.9207163092179877,1.3569119266336451,0.004396146260051585,0,6.864322340008822,10.642440130604722,9.64233199970128,15618.811943350094,77629.04801003773,1.0,2353105.4026760035,4.115865384615384,0
baseline_v2_texturesigma0p2_s20261002,texture_sigma,texture_sigma,0.2,20261002,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9451058839821393,0.000874394918595308,-0.007640856284194702,0.0043596845782711835,1.0,34.0,0.7242285472574302,0.3542469832429399,-0.0694314509824693,0.061914543115719624,53.028916826874735,0.496802166268948,-0.4744165440285675,0.0,18,180.0,-53.2468982695,-0.21798144262526736,60,2200,42,88,49204480,49204480,08598e3ef2006497dd0d36ef984e6264a0d8e994eab9acf427994641108bd631,159d612e69b12b9e9ed3cb817b55fe260edaa7e72d93c4d100ef8573e6bb92a0,Current legacy CSI [production replay],17.350423776232542,DL-SMI/MVDR local,-0.06016861003771812,Current legacy CSI [production replay],17.350423776232542,17.350423776232542,-7.04608441333073,0.0017827340312547412,0,12.956045326583038,-6.696204731137944,0.0002958579881656805,0,13.023201074828616,-6.71701651076517,0.0003944773175542406,0,13.020309388414642,-6.695063037036656,0.00040206341981489913,0,-0.9245811681578773,-0.01117369990725434,0.004451145501441359,0,-0.7378429782311877,-0.011168290829513263,0.004504248217265969,0,-0.912257754464592,1.3885352896187784,0.004388560157790927,0,6.848226751391076,10.79922002585258,9.810687114427633,15943.687736225884,80310.79529674287,1.0,2372189.995055006,4.123076923076923,0
baseline_v2_texturesigma0p2_s20261003,texture_sigma,texture_sigma,0.2,20261003,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9588493176160238,0.0008722427515876417,-0.007318624182657138,0.004348978195608513,1.0,34.0,0.7227772348846422,0.35685795026167016,-0.06865174396734594,0.059835577579580655,52.77705282268741,0.49444257474091546,-0.47216322321865084,0.0,18,180.0,-53.2468982695,-0.46984544681259255,60,2200,42,88,49204480,49204480,05839b81585d512924e21ad12e8b374a0ff9237b3e554e2698da0b57e75d9bf5,e668a2cf6f89203b41dc5d1444e391a2087ca59f5863fa16970995358a079ebe,Current legacy CSI [production replay],15.939947782488744,DL-SMI/MVDR local,-0.031044178087174856,Current legacy CSI [production replay],15.939947782488744,15.939947782488744,-6.872630902352644,0.001555150963434987,0,14.500385680919017,-6.689970632101589,0.00014223941738734637,0,14.535948914241619,-6.694862477836469,0.0002275830678197542,0,14.530050161588342,-6.666979699474097,0.00023137611895008344,0,-0.854960900225664,-0.011146519250569573,0.004468214231527841,0,-0.6702485386886252,-0.01114810258673262,0.0045061447428311335,0,-0.7757934582774073,1.3902112034881495,0.004420801092398725,0,6.901434010666488,10.766810782737055,9.778548019635451,16017.933947829064,80965.83893126054,1.0,2395610.881366729,4.115384615384615,0
baseline_v2_texturesigma0p2_s20261004,texture_sigma,texture_sigma,0.2,20261004,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9334554422674995,0.0008733019722866735,-0.006737986880968862,0.0046131752232297695,1.0,34.0,0.7238671401036832,0.35656115536200783,-0.06980126707330167,0.0607920685006566,52.79256079797906,0.4945878614293932,-0.47230196649891454,0.0,18,180.0,-53.2468982695,-0.45433747152094056,60,2200,42,88,49204480,49204480,97a5dc8940d65a7630c14f85e6dc10d79ee876b14bd3c62bf5a5a817702c221d,c8bd457f222ba8e3e97b2a00367d432ae08d18ccf4f737ff35bcdba76b964352,Current legacy CSI [production replay],19.421819134022876,DL-SMI/MVDR local,-0.061599491852402544,Current legacy CSI [production replay],19.421819134022876,19.421819134022876,-7.011800265376841,0.0017239417387346382,0,15.047587661455044,-6.677583239837455,0.00015930814747382795,0,15.295764999553416,-6.679675414651092,0.00021999696555909573,0,15.303422428704245,-6.654551344370871,0.00022189349112426034,0,-0.9305343312424101,-0.011238661073951618,0.0044189045668335605,0,-0.744920459156059,-0.011231832461920804,0.004449248975876195,0,-1.2188186584362688,1.3108199817015374,0.004362008799878622,0,7.016324679293234,10.918960634473198,9.93820513403709,15949.830045002705,80221.79600117396,1.0,2340628.848270447,4.114423076923077,0
baseline_v2_texturesigma0p2_s20261005,texture_sigma,texture_sigma,0.2,20261005,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9607391019843453,0.0008722388827634577,-0.0065398541731393305,0.004149309191399106,1.0,34.0,0.7146337968625897,0.32919227941649404,-0.07108052354963994,0.06518556054484197,52.657888397528566,0.49332618111827403,-0.4710971097193261,0.0,18,180.0,-53.2468982695,-0.5890098719714315,60,2200,42,88,49204480,49204480,0b3c494392e2a319b50beb4fe32340e873fdceb4ae6e079e790dfed00accfa98,5009b5e9d5c1982312ac56e9055471289fe9b59597aa3c2d0f7323a544c60097,Current legacy CSI [scientific controlled],20.1023825630842,DL-SMI/MVDR local,-0.012085486776100218,Current legacy CSI [scientific controlled],20.1023825630842,20.056520187086626,-6.7446877405980254,0.0017125625853436504,0,16.874985161154427,-6.687073374701296,0.00011189500834471249,0,16.71313648108456,-6.712483222205287,0.00019344560764679108,0,16.745371728811378,-6.681914037932951,0.0001953421332119557,0,-0.835417562743654,-0.01117144372994745,0.004532696100743438,0,-0.6585237224315943,-0.011179267308266789,0.0045535578819602485,0,-0.8911915384762299,1.5937216722251948,0.004439766348050372,0,6.977856792147542,10.886959392630542,9.880230349783668,15688.801357654562,78730.31246069977,1.0,2418543.5216095895,4.115384615384615,0
baseline_v2_texturesigma0p2_s20261006,texture_sigma,texture_sigma,0.2,20261006,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9588639503953299,0.0008745604802800332,-0.00658289060170829,0.004104250395557945,1.0,34.0,0.7290129498770157,0.36432832127227516,-0.06871910178967196,0.060855495719854026,52.32261592958832,0.49018517620378865,-0.4680975702224076,0.0,18,180.0,-53.2468982695,-0.92428233991168,60,2200,42,88,49204480,49204480,d3e34839e6677774de7ad9c3d047b81b1593b7898d270a937ea8ac836cc26d24,c9b427d3369d3091af27c2b9e4af88a3e2e6821d48b4013b1368b515fb6e0f22,Current legacy CSI [production replay],23.086247992211387,DL-SMI/MVDR local,-0.08214695610483069,Current legacy CSI [production replay],23.086247992211387,23.086247992211387,-6.969274270739996,0.001585495372477621,0,17.482655207222873,-6.6935681396534275,0.00013654984069185253,0,17.624538292028095,-6.7162851904824965,0.0002143073888636019,0,17.62772146046851,-6.704211690781918,0.0002143073888636019,0,-0.9496474420396448,-0.011239955696940135,0.0043601122743134576,0,-0.7567367886712335,-0.011239277028598435,0.004382870581095434,0,-1.265407851991442,1.4062137810033586,0.00427476862388105,0,6.917688856747785,10.7524685228094,9.801950617623806,15824.759244583196,78561.37777813636,1.0,2370997.4143374674,4.116826923076923,0
baseline_v2_texturesigma0p2_s20261007,texture_sigma,texture_sigma,0.2,20261007,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9293908038160177,0.0008771589381358825,-0.007891464392428837,0.004258695412827127,1.0,34.0,0.7180095923665099,0.334970416934206,-0.07224950233966071,0.06698960150796517,52.93352925471504,0.4959085264339353,-0.47356315164427776,0.0,18,180.0,-53.2468982695,-0.31336901478496104,60,2200,42,88,49204480,49204480,040893454470d46bb60e8e1509e9e69699f07840276a63cf5a362cd6187726f1,de5a9557e17c3d4a352df99da9110a251cb0c344914d28f98cdf283a5e15bf7d,Current legacy CSI [scientific controlled],17.648256671611936,DL-SMI/MVDR local,-0.02006560255518952,Current legacy CSI [scientific controlled],17.648256671611936,17.643853062594857,-6.913598465292372,0.0019761796389015326,0,14.147593159687279,-6.6942307538924535,0.0002579274768623881,0,14.107839644995487,-6.700052558165787,0.0003508572295554544,0,14.114910846554473,-6.668747120692511,0.0003603398573812775,0,-0.8847114826268214,-0.011287143517776358,0.0044416628736155365,0,-0.6994257317355093,-0.011274032257318666,0.004509937793961463,0,-0.7623785420364362,1.4562037398377377,0.004352526172052799,0,7.024731666507949,11.02239641773118,9.99814646738903,15343.361866613395,74994.74052173739,1.0,2336136.1102553112,4.115384615384615,0
baseline_v2_texturesigma0p2_s20261008,texture_sigma,texture_sigma,0.2,20261008,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9525581570508516,0.0008686610420177603,0.0004425877226164844,0.0045654006996144365,1.0,34.0,0.7246667967731242,0.3597521092221479,-0.06749902574841726,0.061019221777490355,53.60284965237963,0.5021790641591042,-0.47955128122608054,0.0,18,180.0,-53.2468982695,0.355951382879628,60,2200,42,88,49204480,49204480,5a6f435b331c69ab451fc4800de582db89c81dc0ad5b2d98e4198bca395d9aec,be5d6f2615a4dd45dd9139541affa694f37a2cb63d0324c8998b45806f141aa0,Current legacy CSI [scientific controlled],23.324375643562504,DL-SMI/MVDR local,0.034942096458503435,Current legacy CSI [scientific controlled],23.324375643562504,23.3197905745916,-6.935490050472489,0.0014337733272644516,0,17.866021584449832,-6.712192361109443,5.8792292520103174e-05,0,17.710183795563523,-6.719654164774318,0.00012517068730086482,0,17.697963758800356,-6.702623765256044,0.00011758458504020635,0,-0.7094330885504752,-0.011233459288755602,0.004508041268396298,0,-0.555621022754651,-0.011232990403095626,0.004523213472917615,0,-0.40516943328763144,1.349093354943317,0.004407525413442573,0,6.830478480621524,10.695814556849754,9.694267596795601,16320.85070120486,81377.4001572544,1.0,2384866.7550313217,4.095673076923077,0
baseline_v2_texturesigma0p2_s20261009,texture_sigma,texture_sigma,0.2,20261009,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9483919171735061,0.0008712796699658183,-0.0064756359621654085,0.004266184877844904,1.0,34.0,0.7290827875538254,0.36684695068706885,-0.06908100084106043,0.059567365190977696,52.330769476088854,0.4902615628208765,-0.46817051650339603,0.0,18,180.0,-53.2468982695,-0.9161287934111478,60,2200,42,88,49204480,49204480,92387c527f1f9bdc2286d41f4ee9cd212ceb01672537c56bdad953cc73fbb273,4e122f9297e70023c89c8f3c9eaf02d6a4d909b33774d5193f2ec147d101c381,Current legacy CSI [production replay],18.213392048120507,DL-SMI/MVDR local,-0.041148157631128335,Current legacy CSI [production replay],18.213392048120507,18.213392048120507,-6.951409489273312,0.001659459869519041,0,14.311884261080909,-6.6703094496775,0.00018965255651646185,0,14.540176184244952,-6.689338805623565,0.0002579274768623881,0,14.53320353004262,-6.667987581522463,0.0002579274768623881,0,-0.9122144197445028,-0.011241209220263684,0.0045535578819602485,0,-0.724304617164746,-0.011238725583488209,0.00459528144439387,0,-0.759550010844654,1.416212022516393,0.004462524654832347,0,6.894606861892113,10.705172697240176,9.67368056752554,15411.570878492392,75405.34330438211,1.0,2387342.570978324,4.115384615384615,0
baseline_v2_texturesigma0p2_s20261010,texture_sigma,texture_sigma,0.2,20261010,Baseline V2 controlled single-target case,1.0,0.2,9.0,0.9648295923595748,0.000869136274537045,-0.007513118077470411,0.004415175901168745,1.0,34.0,0.7274487697794242,0.36534273956067775,-0.06755975806918978,0.05946034217239464,52.96975392012002,0.49624789773024736,-0.47388723843775515,0.0,18,180.0,-53.2468982695,-0.27714434937998067,60,2200,42,88,49204480,49204480,5dcbb89a4d982bed5cddb38dd658e4ba776ef8f42086eadd0a1f38a16e0f16fc,94d46687ade4d74a4a36c877b3ffe1a4550eb8f2da514bfc9608e2eeced09f66,Current legacy CSI [scientific controlled],20.018627248390636,DL-SMI/MVDR local,0.023150042421105965,Current legacy CSI [scientific controlled],20.018627248390636,20.01795965928845,-6.979781187269358,0.0016367015627370657,0,16.80381557693577,-6.690929021430327,0.00015551509634349872,0,16.62852051655401,-6.716227419976969,0.0001953421332119557,0,16.60787486178309,-6.692200892858647,0.0002048247610377788,0,-0.8015399791730267,-0.011294137033028234,0.004456835078136853,0,-0.6190410461765223,-0.011279810279242566,0.004466317705962676,0,-0.5373715939143837,1.5791906073223128,0.004367698376574116,0,7.006475961694923,10.712543552560202,9.712016023336894,16473.122231036825,81776.22718527271,1.0,2399849.0914458293,4.115384615384615,0
