factor,factor_level,method,comparison_protocol,n_cases,n_seeds,failure_rate,SCNR_improvement_dB__mean,SCNR_improvement_dB__std,SCNR_improvement_dB__ci95_low,SCNR_improvement_dB__ci95_high,SCNR_improvement_dB__p05,SCNR_improvement_dB__p95,target_loss_dB__mean,target_loss_dB__std,target_loss_dB__ci95_low,target_loss_dB__ci95_high,target_loss_dB__p05,target_loss_dB__p95,residual_suppression_dB__mean,residual_suppression_dB__std,residual_suppression_dB__ci95_low,residual_suppression_dB__ci95_high,residual_suppression_dB__p05,residual_suppression_dB__p95,background_residual_p95_dB_over_input_median__mean,background_residual_p95_dB_over_input_median__std,background_residual_p95_dB_over_input_median__ci95_low,background_residual_p95_dB_over_input_median__ci95_high,background_residual_p95_dB_over_input_median__p05,background_residual_p95_dB_over_input_median__p95,background_residual_p99_dB_over_input_median__mean,background_residual_p99_dB_over_input_median__std,background_residual_p99_dB_over_input_median__ci95_low,background_residual_p99_dB_over_input_median__ci95_high,background_residual_p99_dB_over_input_median__p05,background_residual_p99_dB_over_input_median__p95,background_residual_cvar95_dB_over_input_median__mean,background_residual_cvar95_dB_over_input_median__std,background_residual_cvar95_dB_over_input_median__ci95_low,background_residual_cvar95_dB_over_input_median__ci95_high,background_residual_cvar95_dB_over_input_median__p05,background_residual_cvar95_dB_over_input_median__p95,high_tail_fraction_15dB__mean,high_tail_fraction_15dB__std,high_tail_fraction_15dB__ci95_low,high_tail_fraction_15dB__ci95_high,high_tail_fraction_15dB__p05,high_tail_fraction_15dB__p95,background_Pfa__mean,background_Pfa__std,background_Pfa__ci95_low,background_Pfa__ci95_high,background_Pfa__p05,background_Pfa__p95,Pd__mean,Pd__std,Pd__successes,Pd__trials,Pd__ci95_low,Pd__ci95_high,Pd__p05,Pd__p95,runtime_ms__mean,runtime_ms__std,runtime_ms__ci95_low,runtime_ms__ci95_high,runtime_ms__p05,runtime_ms__p95
azimuth_subcell_count,17,Corrected JDL physical,scientific_controlled,10,10,0.0,-0.7445768051080337,0.35563940235005903,-0.9989859076258765,-0.49016770259019093,-1.2165486699968788,-0.2842621445295369,1.4467393488826092,0.11850994013953364,1.361962444773809,1.5315162529914095,1.325285211830023,1.646420229896916,-2.336393338247604,0.015166933712542694,-2.347243109021759,-2.325543567473449,-2.3558608678999695,-2.3156070564607396,25.902333342808692,0.05835676807493699,25.86058742575428,25.944079259863106,25.835866340912826,25.9905742503141,38.332936615781975,0.08112341279210006,38.274904422202624,38.390968809361325,38.22557968579836,38.45026722538416,37.06221886020627,0.07868346534732513,37.005932099881825,37.11850562053072,36.966526368534865,37.16253742574031,0.14670461162768855,0.0006287437774987118,0.14625483542434853,0.14715438783102858,0.14600929839391377,0.14760787076171691,0.004390267030799575,4.428340943199569e-05,0.004358588588041046,0.004421945473558105,0.004340957366105295,0.004448395539371871,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,3433.6920848000314,259.27107307656235,3248.220732147942,3619.163437452121,3035.71046010004,3710.725753650013
azimuth_subcell_count,17,Current legacy CSI [production replay],production_replay,10,10,0.0,19.607740162715128,2.437625794112434,17.863967716646105,21.35151260878415,16.45779935556848,23.022492609320462,-6.991304990973409,0.08260335911974354,-7.050395874378751,-6.9322141075680666,-7.120397214531609,-6.9090423885738295,20.319255795535625,0.08102829535548822,20.261291644871438,20.377219946199812,20.209803191951675,20.44447771201839,7.515408036087841,0.08443171446982134,7.455009226056193,7.575806846119489,7.413825520832424,7.647684192331035,11.453309405918032,0.15840706709466718,11.339991816512205,11.56662699532386,11.253992360749002,11.678093059903176,10.454461894068974,0.13667978556017485,10.356687065557514,10.552236722580433,10.289527321555909,10.654688810563227,0.0011466140696909926,0.0001825628504226697,0.0010160164738615696,0.0012772116655204156,0.0009577345731191884,0.0014312952005259697,0.0021077985131239567,0.00023303387189746856,0.001941096123529518,0.0022745009027183953,0.0017541913214990138,0.0023763465331512667,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,216.43359959998634,25.649528388682075,198.08503233142633,234.78216686854634,186.1035402999505,257.6185976499801
azimuth_subcell_count,17,Current legacy CSI [scientific controlled],scientific_controlled,10,10,0.0,19.623947126065524,2.441983739122503,17.877057193937567,21.37083705819348,16.473924770161897,23.019825701855087,-6.970508698675218,0.08191926039601075,-7.02911020733415,-6.911907190016286,-7.099499902793368,-6.889913226581954,20.31871176773773,0.08106583526180507,20.26072076264231,20.376702772833152,20.209238918931156,20.443985268730657,7.515617772957773,0.0851683164546929,7.454692029609272,7.576543516306274,7.412362267491372,7.648793318809811,11.455764238351035,0.1595740524941298,11.341611837880498,11.569916638821573,11.254524611483042,11.68213916066582,10.456040085144874,0.13671368395003622,10.358241007186123,10.553839163103625,10.290989725717427,10.656327401288143,0.0011484925331079177,0.00018168020648224957,0.0010185263427168157,0.0012784587234990197,0.0009610218840988072,0.0014327040480886634,0.00210817781823699,0.00023331153118399744,0.001941276803154417,0.002275078833319563,0.001757130936125019,0.002375967228038234,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,215.33019610005795,21.275926108462674,200.11031542676272,230.55007677335317,189.05696850010827,240.6636925000612
azimuth_subcell_count,17,DL-SMI/MVDR global,scientific_controlled,10,10,0.0,-0.801276988577165,0.09961025857686666,-0.8725338749588567,-0.7300201021954733,-0.9063373648241221,-0.6772124676136607,-0.011211660042501854,8.240943263406935e-05,-0.011270612199256413,-0.011152707885747296,-0.011338762150990419,-0.011112002720760999,-0.8048945649806886,0.008061314824177076,-0.8106612822116268,-0.7991278477497503,-0.8156194666737048,-0.7950574821000296,24.779062832464835,0.05848881980696152,24.737222451291967,24.820903213637703,24.714061311208756,24.858364045774373,36.589810327580835,0.10518643123924376,36.514564487576045,36.665056167585625,36.46753587992109,36.74776110281077,35.45478794431007,0.08615126833873071,35.39315903954305,35.51641684907709,35.34307782927962,35.57555246896956,0.1453415985723678,0.0006897523951951486,0.14484817943303294,0.14583501771170268,0.1446135061519677,0.14652230675307598,0.0044293354574419675,4.452461508031452e-05,0.0043974844665571455,0.0044611864483267896,0.004366465634956759,0.004480826126536185,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,1775.3729395000391,377.0210935034672,1505.6682965535856,2045.0775824464927,1351.0248351000882,2220.631421849953
azimuth_subcell_count,17,DL-SMI/MVDR local,scientific_controlled,10,10,0.0,-0.00943361300606349,0.04064694494482541,-0.038510685780262184,0.019643459768135203,-0.05962372704861849,0.048382508662905485,-0.012256375207772842,4.0361946561709645e-05,-0.01228524840498548,-0.012227502010560205,-0.01231105809973413,-0.012200983685569666,0.08246772706578324,0.003423758577292762,0.08001851772303036,0.08491693640853613,0.0785347597038931,0.08749679180626478,23.615386514967838,0.05803509414338178,23.573870709581843,23.656902320353833,23.542383110355534,23.68958687692344,35.503618686690324,0.10104373511986071,35.43133635296401,35.57590102041664,35.38791684166544,35.659740517570164,34.57838805255976,0.08973768216027661,34.514193581897715,34.642582523221805,34.467143151504295,34.704609089662505,0.1316068376068376,0.0007249892452527374,0.13108821154346828,0.13212546367020694,0.13074265051188128,0.13277383300460224,0.004651228948566227,5.156201587683419e-05,0.004614343704421304,0.004688114192711149,0.004577454104081323,0.004708978152025489,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,1029.6470119999867,294.47871358819725,818.989630563833,1240.3043934361403,748.9992473501388,1467.5633337001495
azimuth_subcell_count,17,MNEC physical,scientific_controlled,10,10,0.0,-0.19124499820778787,0.04433660393802544,-0.22296149402356774,-0.159528502392008,-0.24432955980063184,-0.13158684671259566,-0.011638276014411645,4.689408988324165e-05,-0.01167182202546034,-0.01160473000336295,-0.011698216862851942,-0.011573753088842318,-0.22256020905336796,0.004928457238393511,-0.22608581497479252,-0.2190346031319434,-0.2304271776383264,-0.21765528899414796,24.10458824505273,0.05877355306482473,24.062544177977482,24.14663231212798,24.030981818318637,24.187291003478137,35.92853304226212,0.10060081093686296,35.856567557408944,36.00049852711529,35.81212630445569,36.08455378896763,34.87099534000767,0.08586933027610852,34.80956812158081,34.932422558434524,34.76554483853726,34.99220278813552,0.13849629003475158,0.0007105897414373503,0.1379879647558796,0.13900461531362357,0.13771682163989857,0.13968253968253969,0.004519799726900319,4.0119971213772125e-05,0.004491099628423911,0.004548499825376727,0.004460628129267183,0.004566833560916401,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,2342.30255450002,330.15910690291145,2106.1209572972875,2578.4841517027526,1897.2215661503014,2786.3726318998715
azimuth_subcell_count,17,Phase-only CSI [production replay],production_replay,10,10,0.0,16.261775282387763,1.9506211898358363,14.866384943243192,17.657165621532336,13.804170100972978,18.721999912829602,-6.728244174420039,0.008806113365899442,-6.73454368843138,-6.721944660408699,-6.740249231928325,-6.71522765582621,18.5648585227298,0.08943850118344972,18.500878073245676,18.628838972213924,18.43746110354629,18.68911899964257,9.19116203222304,0.11512989164012384,9.108803069150918,9.273520995295163,9.060578363281728,9.346565576809457,13.325848935776344,0.19514013350461307,13.1862540936355,13.465443777917189,13.068232119444119,13.613201140653349,12.228396694300042,0.16866536842941537,12.107740758190543,12.34905263040954,12.013306322075934,12.463105051365007,0.004061425753733446,0.0005922484318859152,0.003637756747914495,0.004485094759552397,0.003291067906452522,0.004935756551141165,0.00032316795630405094,0.00014759957199855957,0.00021758158315181574,0.00042875432945628614,0.0001622477620998331,0.0005455355788196023,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,209.40089770006125,19.80837507907922,195.2308397905471,223.5709556095754,184.10413935002907,237.29137170005288
azimuth_subcell_count,17,Phase-only CSI [scientific controlled],scientific_controlled,10,10,0.0,16.281836799378237,1.9587888632965076,14.880603658617598,17.683069940138875,13.818514519205708,18.75030210891851,-6.707556838799293,0.008306461581778658,-6.7134989234562665,-6.70161475414232,-6.719500521650504,-6.696042280132887,18.564282791457586,0.08947557343016528,18.50027582208575,18.62828976082942,18.436850908528015,18.68857218128085,9.19228013074841,0.11474811702747305,9.110194272781984,9.274365988714836,9.06123820983747,9.346304365510685,13.326964076078369,0.1952324584306612,13.18730318866408,13.466624963492658,13.070013563714289,13.614623595354002,12.229884185383598,0.16869585448137556,12.109206440866293,12.350561929900904,12.01474163477435,12.464632910749467,0.004071757302526534,0.0005934723667040192,0.003647212746482955,0.004496301858570113,0.003298393913778529,0.004945524560909176,0.00032051282051282057,0.00014736327725860628,0.00021509548243466307,0.00042593015859097806,0.00015968745258686086,0.0005449666211500529,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,207.76269640005012,24.188433693652108,190.45933331190395,225.0660594881963,179.85405604986227,241.73001425008349
azimuth_subcell_count,17,Row complex LS / Wiener [scientific controlled],scientific_controlled,10,10,0.0,16.171240172476526,1.8307542425252075,14.861597481892094,17.48088286306096,13.792149087541674,18.584842599306118,-6.74872360081712,0.013386823670031701,-6.758299957578919,-6.73914724405532,-6.7671647494613305,-6.732253806541984,18.82143127801657,0.0824161159959746,18.762474340272917,18.88038821576022,18.71022765144507,18.940330123879598,8.89838998851763,0.1075867142821908,8.821427089461709,8.975352887573552,8.762498195021335,9.039713898086408,12.936190340387117,0.18936753253438113,12.800724968215928,13.071655712558307,12.685694358247115,13.183490360415329,11.88530138896757,0.15788193852971685,11.772359453907217,11.998243324027921,11.683965197774945,12.103234593889386,0.003181553489245797,0.0004831008389678334,0.002835963967794384,0.0035271430106972096,0.0025234338311261387,0.0038608058608058603,0.00040813230162342585,0.00012948886219037745,0.00031550154980508735,0.0005007630534417643,0.0002727203762706721,0.0006100174480351995,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,205.07190819998868,24.176360295806056,187.77718190037058,222.3666344996068,179.4899144499368,240.42077564986354
azimuth_subcell_count,17,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,10,10,0.0,16.161280435692685,1.8310943260877917,14.851394463983139,17.47116640740223,13.78629478768307,18.590372516573716,-6.724348992868515,0.01605566295833189,-6.735834522246212,-6.712863463490819,-6.746807589901965,-6.702717096342279,18.819137264218035,0.08269136656874937,18.759983424076268,18.878291104359803,18.70738852213639,18.93832713790875,8.90466449178278,0.1072543715581809,8.827939336389639,8.981389647175922,8.770986864818145,9.046825311726334,12.958371095907262,0.19468489737208103,12.819101910077688,13.097640281736837,12.703695258512614,13.21749028196668,11.904685618570895,0.15912379881015504,11.790855310182641,12.018515926959148,11.704016496625611,12.125215756173775,0.0032411007795623186,0.00048812602718165083,0.002891916455018187,0.00359028510410645,0.002584577815347046,0.003937259321874706,0.000415149446214535,0.00012926846492071782,0.0003226763571051117,0.0005076225353239583,0.0002849529661659839,0.000615138067061144,1.0,0.0,10,10,0.7224598312333834,1.0,1.0,1.0,316.51208910016067,58.4822904963422,274.67637871473715,358.3477994855842,248.04019295017952,398.29015540010454
