target,validation_mode,holdout_group,n,n_folds,ridge_lambda,rmse,mae,r2,scope,n_train,n_test,fold_rmse,fold_mae
current_SCNR_improvement_dB,leave_one_case_out,aggregate,48,48,1.0,1.0039586600491148,0.7506698911428221,0.8589804455985539,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,,,,
current_SCNR_improvement_dB,leave_one_case_out,0,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.31529259518842245,0.31529259518842245
current_SCNR_improvement_dB,leave_one_case_out,1,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.02539497661080503,0.02539497661080503
current_SCNR_improvement_dB,leave_one_case_out,2,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.5682123141667237,0.5682123141667237
current_SCNR_improvement_dB,leave_one_case_out,3,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.09875918648834592,0.09875918648834592
current_SCNR_improvement_dB,leave_one_case_out,4,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.21087689033343793,0.21087689033343793
current_SCNR_improvement_dB,leave_one_case_out,5,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.6223113199419057,0.6223113199419057
current_SCNR_improvement_dB,leave_one_case_out,6,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.7193734446865463,0.7193734446865463
current_SCNR_improvement_dB,leave_one_case_out,7,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.33025415428542715,0.33025415428542715
current_SCNR_improvement_dB,leave_one_case_out,8,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.6111359701329597,0.6111359701329597
current_SCNR_improvement_dB,leave_one_case_out,9,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.9983365401721631,0.9983365401721631
current_SCNR_improvement_dB,leave_one_case_out,10,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.35802550152563484,0.35802550152563484
current_SCNR_improvement_dB,leave_one_case_out,11,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.5885577380479461,0.5885577380479461
current_SCNR_improvement_dB,leave_one_case_out,12,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.86340846834816,0.86340846834816
current_SCNR_improvement_dB,leave_one_case_out,13,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.5672667246520433,0.5672667246520433
current_SCNR_improvement_dB,leave_one_case_out,14,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.19519179357474314,0.19519179357474314
current_SCNR_improvement_dB,leave_one_case_out,15,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.8224373009921351,0.8224373009921351
current_SCNR_improvement_dB,leave_one_case_out,16,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.6019483328685773,0.6019483328685773
current_SCNR_improvement_dB,leave_one_case_out,17,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.09625302209885689,0.09625302209885689
current_SCNR_improvement_dB,leave_one_case_out,18,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.8021515063806675,1.8021515063806675
current_SCNR_improvement_dB,leave_one_case_out,19,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.7596268183775035,0.7596268183775035
current_SCNR_improvement_dB,leave_one_case_out,20,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.2135397480598193,1.2135397480598193
current_SCNR_improvement_dB,leave_one_case_out,21,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.49205897891638983,0.49205897891638983
current_SCNR_improvement_dB,leave_one_case_out,22,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.22301664567662272,0.22301664567662272
current_SCNR_improvement_dB,leave_one_case_out,23,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.962917373166821,1.962917373166821
current_SCNR_improvement_dB,leave_one_case_out,24,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.1396057517034492,1.1396057517034492
current_SCNR_improvement_dB,leave_one_case_out,25,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.0915754015210197,1.0915754015210197
current_SCNR_improvement_dB,leave_one_case_out,26,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.06413521271239553,0.06413521271239553
current_SCNR_improvement_dB,leave_one_case_out,27,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.09555624677596519,0.09555624677596519
current_SCNR_improvement_dB,leave_one_case_out,28,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,2.145270597578314,2.145270597578314
current_SCNR_improvement_dB,leave_one_case_out,29,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.3630991208161323,1.3630991208161323
current_SCNR_improvement_dB,leave_one_case_out,30,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.0838924966279961,1.0838924966279961
current_SCNR_improvement_dB,leave_one_case_out,31,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.17881470738143435,0.17881470738143435
current_SCNR_improvement_dB,leave_one_case_out,32,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.12053688402789575,0.12053688402789575
current_SCNR_improvement_dB,leave_one_case_out,33,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,2.263663216661058,2.263663216661058
current_SCNR_improvement_dB,leave_one_case_out,34,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.2435576072659007,1.2435576072659007
current_SCNR_improvement_dB,leave_one_case_out,35,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.9488237137589977,0.9488237137589977
current_SCNR_improvement_dB,leave_one_case_out,36,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.022630926107519045,0.022630926107519045
current_SCNR_improvement_dB,leave_one_case_out,37,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.11006478344345538,0.11006478344345538
current_SCNR_improvement_dB,leave_one_case_out,38,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,2.3733139922002415,2.3733139922002415
current_SCNR_improvement_dB,leave_one_case_out,39,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,1.0362893470222296,1.0362893470222296
current_SCNR_improvement_dB,leave_one_case_out,40,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.9315845950554937,0.9315845950554937
current_SCNR_improvement_dB,leave_one_case_out,41,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.1582864031102691,0.1582864031102691
current_SCNR_improvement_dB,leave_one_case_out,42,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.10831756765863432,0.10831756765863432
current_SCNR_improvement_dB,leave_one_case_out,43,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,2.5940081125839285,2.5940081125839285
current_SCNR_improvement_dB,leave_one_case_out,44,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.8090205879613901,0.8090205879613901
current_SCNR_improvement_dB,leave_one_case_out,45,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.7500148355450911,0.7500148355450911
current_SCNR_improvement_dB,leave_one_case_out,46,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.3517302840672105,0.3517302840672105
current_SCNR_improvement_dB,leave_one_case_out,47,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.0020150385767880863,0.0020150385767880863
current_SCNR_improvement_dB,leave_one_seed_out,aggregate,48,8,1.0,5.872269764539294,4.767373453362516,-3.8245817992485165,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,,,,
current_SCNR_improvement_dB,leave_one_seed_out,20261121,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,9.227696002747948,9.217746451577554
current_SCNR_improvement_dB,leave_one_seed_out,20261122,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,6.244586297646539,6.242361850815108
current_SCNR_improvement_dB,leave_one_seed_out,20261123,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,1.5689404063756445,1.5259884699522734
current_SCNR_improvement_dB,leave_one_seed_out,20261131,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,4.076091747695696,4.0691267437787735
current_SCNR_improvement_dB,leave_one_seed_out,20261132,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,8.34212463632643,8.340052641002542
current_SCNR_improvement_dB,leave_one_seed_out,20261133,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,7.913101953024985,7.912103351835675
current_SCNR_improvement_dB,leave_one_seed_out,20261134,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.597053232639822,0.5642152792531737
current_SCNR_improvement_dB,leave_one_seed_out,20261135,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,42,6,0.2870356917260816,0.2673928386850175
best_adaptive_SCNR_improvement_dB,leave_one_case_out,aggregate,48,48,1.0,0.02957487661201606,0.02528842169665003,0.7086677601611542,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,,,,
best_adaptive_SCNR_improvement_dB,leave_one_case_out,0,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.01703950691779335,0.01703950691779335
best_adaptive_SCNR_improvement_dB,leave_one_case_out,1,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.009212529835498251,0.009212529835498251
best_adaptive_SCNR_improvement_dB,leave_one_case_out,2,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.024586096259658283,0.024586096259658283
best_adaptive_SCNR_improvement_dB,leave_one_case_out,3,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.017039420881556244,0.017039420881556244
best_adaptive_SCNR_improvement_dB,leave_one_case_out,4,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.009212427532624468,0.009212427532624468
best_adaptive_SCNR_improvement_dB,leave_one_case_out,5,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.024586182710286043,0.024586182710286043
best_adaptive_SCNR_improvement_dB,leave_one_case_out,6,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.017039561388152963,0.017039561388152963
best_adaptive_SCNR_improvement_dB,leave_one_case_out,7,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.009212416204677942,0.009212416204677942
best_adaptive_SCNR_improvement_dB,leave_one_case_out,8,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,47,1,0.02458616833481113,0.02458616833481113
