mismatch_family,mismatch_value,seed,level,coherence,gate_pass_fraction,gate_bypass_fraction,phase_RMSE,P38_RMSE,P38_inlier_ratio,CSI_cancellation_dB,residual_p95,residual_p99,CVaR95,SCNR_improvement,target_loss,target_loss_status,target_power_before,target_power_after,Pd,Pfa,Pfa_status,Pfa_hit_cells,Pfa_test_cells,control_status,visible_target_count,detection_count,matched_target_count,false_alarm_count,detection_eval_status,CFAR_margin,CFAR_selected,Pfa_proxy_cluster_rate,failure_type,failure_flag,failure_evidence,source_summary,input_run_status,target_control_path,Pfa_control_path
M1_fractional_channel_delay,0.0,2026091011,zero,0.9872804299038348,1.0,0.0,0.17848316710917927,0.0779093775497049,1.0,25.2911679320938,29.260866691855792,41.185433056126826,40.409128440700684,25.2911679320938,-35.40806474402768,measured,124186.94468261719,35.74945851325989,1.0,0.004859698594674556,measured,2523.0,519168.0,measured,1,64,1,63,measured,4.086440817305922,64.0,nan,none,baseline_regression,rho=1/zero raw SHA regression,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/zero/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/zero/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/zero/negative_control/control_metrics.json
M1_fractional_channel_delay,2.083333333333333,2026091011,weak,0.9830759926144435,1.0,0.0,0.2038149208365391,0.07884227633395038,1.0,24.3094307658764,29.107262243577612,41.130511073197255,40.363751828329924,24.3094307658764,-25.02798972756998,measured,109899.51534667969,345.3001797655225,1.0,0.004803839990138067,measured,2494.0,519168.0,measured,1,61,1,60,measured,3.701746592603551,61.0,nan,Type_I_calibration_model_failure,candidate_failure_boundary,fractional_delay_injected_in_raw_LFM; residual and cancellation degrade monotonically in the controlled sweep,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/weak/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/weak/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/weak/negative_control/control_metrics.json
M1_fractional_channel_delay,4.166666666666667,2026091011,moderate,0.9685404814144993,1.0,0.0,0.2795372419338727,0.0829393406180329,1.0,22.1213000745737,29.128489686857254,41.274048562447334,40.80229199611903,22.1213000745737,-18.67924879424497,measured,94246.33246704102,1277.4372602748872,1.0,0.004959858851084813,measured,2575.0,519168.0,measured,1,52,1,51,measured,2.625003655510585,52.0,nan,Type_I_calibration_model_failure,candidate_failure_boundary,fractional_delay_injected_in_raw_LFM; residual and cancellation degrade monotonically in the controlled sweep,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/moderate/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/moderate/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/moderate/negative_control/control_metrics.json
M1_fractional_channel_delay,8.333333333333334,2026091011,strong,0.867610166638345,1.0,0.0,0.7509746831990123,0.11280182911768703,1.0,13.3731448061932,31.240741131808818,43.173152486794486,45.41841485722809,13.3731448061932,-9.69660022435175,measured,57154.9164645195,6129.055752587132,1.0,0.004139315212031558,measured,2149.0,519168.0,measured,1,30,1,29,measured,0.4069703047441589,30.0,nan,Type_I_calibration_model_failure,candidate_failure_boundary,fractional_delay_injected_in_raw_LFM; residual and cancellation degrade monotonically in the controlled sweep,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/strong/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/strong/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m1_rerun/M1_fractional_channel_delay/strong/negative_control/control_metrics.json
M2_pulse_varying_differential_phase,0.0,2026091011,zero,0.9872804299038348,1.0,0.0,0.17848316710917927,0.0779093775497049,1.0,25.2911679320938,29.260866691855792,41.185433056126826,40.409128440700684,25.2911679320938,-35.40806474402768,measured,124186.94468261719,35.74945851325989,1.0,0.004859698594674556,measured,2523.0,519168.0,measured,1,64,1,63,measured,4.086440817305922,64.0,nan,none,baseline_regression,rho=1/zero raw SHA regression,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/zero/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/zero/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/zero/negative_control/control_metrics.json
M2_pulse_varying_differential_phase,0.05,2026091011,weak,0.9883500698642108,1.0,0.0,0.17829713144928536,0.07791701270043828,1.0,25.2746669632467,29.23456805644737,41.19774024139972,40.40244186577549,25.2746669632467,-34.46404458840588,measured,122542.08626464843,43.84103627204895,1.0,0.00482117541913215,measured,2503.0,519168.0,measured,1,59,1,58,measured,3.8225656815920104,59.0,nan,Type_I_calibration_model_failure,candidate_failure_boundary,channel_impairment_truth confirms pulse-varying phase; slow-time residual fit becomes linear with the configured slope,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/weak/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/weak/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/weak/negative_control/control_metrics.json
M2_pulse_varying_differential_phase,0.2,2026091011,moderate,0.9869752766892922,1.0,0.0,0.19151696934525914,0.0785619763987508,1.0,24.5022291397914,29.32892847358079,41.21541996980636,40.54364706821324,24.5022291397914,-28.76297371296903,measured,116906.24153320312,155.43196129739283,1.0,0.004749907544378699,measured,2466.0,519168.0,measured,1,55,1,54,measured,3.616536218234589,55.0,nan,Type_I_calibration_model_failure,candidate_failure_boundary,channel_impairment_truth confirms pulse-varying phase; slow-time residual fit becomes linear with the configured slope,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/moderate/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/moderate/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/moderate/negative_control/control_metrics.json
M2_pulse_varying_differential_phase,0.5,2026091011,strong,0.9735870227182543,1.0,0.0,0.27890451323951504,0.0836741427309486,1.0,21.4076708670262,29.818786188238846,41.49034784140353,41.43457907586211,21.4076708670262,-21.614393136127052,measured,105128.13952636719,724.9026127505302,1.0,0.004239475468441814,measured,2201.0,519168.0,measured,1,45,1,44,measured,2.2438343716723814,45.0,nan,Type_I_calibration_model_failure,candidate_failure_boundary,channel_impairment_truth confirms pulse-varying phase; slow-time residual fit becomes linear with the configured slope,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/strong/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/strong/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m2/M2_pulse_varying_differential_phase/strong/negative_control/control_metrics.json
M3_internal_clutter_motion,1.0,2026091011,static_regression,0.9872804299038348,1.0,0.0,0.17848316710917927,0.0779093775497049,1.0,25.2911679320938,29.260866691855792,41.185433056126826,40.409128440700684,25.2911679320938,-35.40806474402768,measured,124186.94468261719,35.74945851325989,1.0,0.004859698594674556,measured,2523.0,519168.0,measured,1,64,1,63,measured,4.086440817305922,64.0,nan,none,baseline_regression,rho=1/zero raw SHA regression,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/static_regression/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/static_regression/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/static_regression/negative_control/control_metrics.json
M3_internal_clutter_motion,0.99,2026091011,weak_motion,0.9791276781717905,1.0,0.0,0.34259772721397863,0.11204282613482801,0.9743589743589741,17.5175288014877,33.35017530122417,45.274873101534325,45.424955159947615,17.5175288014877,-37.97162536292595,measured,144227.2903027344,23.008319946527482,1.0,0.003931290064102564,measured,2041.0,519168.0,measured,1,10,1,9,measured,7.066734094235282,10.0,nan,Type_II_decorrelation_failure,candidate_failure_boundary,rho<1 changes the shared surface realization across pulses; CSI coherence and cancellation degrade without gate bypass in this range,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/weak_motion/variant_summary.json,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/weak_motion/target_only/control_metrics.json,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_metric_controls_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/weak_motion/negative_control/control_metrics.json
