family,level,parameter,value,status,simulate_exit_code,gmticore_exit_code,audit_exit_code,same_as_zero_baseline,rho_median,coherence_gate_pass_fraction,coherence_gate_bypass_fraction,phase_rmse_rad,phase_signature,wideband_delay_ns,amplitude_median_db,csi_coherence,csi_rmse_rad,csi_cancellation_db,p38_k_rad_per_hz,p38_b_rad,gate_rows,gate_bypassed_rows,gate_coherence_mean,cfar_hit_cells,cfar_clusters,cfar_selected,truth_phase_slope_deg_per_pulse,truth_effective_shift_samples,expected_phase_slope_rad_per_hz,measured_slope_rad_per_hz,measured_minus_baseline_slope_rad_per_hz,phase_slope_status,raw_sha256,residual_summary
M1_fractional_channel_delay,zero,channel_impairments.channel_time_delay_ns,0.0,pass,0,0,0,True,0.9880464973902173,1.0,0.0,0.19236126382841534,nonlinear_or_mixed_trend,-0.17979963065696203,-0.02374965623584021,0.998166553220252,0.062857705178863,24.3406945043149,0.00103771488647908,-0.00360185001045465,39,0,0.979665,2315,68,68,0.0,0.0,0.0,-3.9371693512339064e-10,0.0,measured,a96446c0c9556a1b97826e50335a491f8b038adeedd023a268af2643d4f0b9da,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M1_fractional_channel_delay/zero/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,weak,channel_impairments.channel_time_delay_ns,2.083333333333333,pass,0,0,0,False,0.9846874651311871,1.0,0.0,0.21878279845110735,nonlinear_or_mixed_trend,-0.11340091807848666,1.0256308339215543,0.997811633139689,0.0688967816024408,23.5731573793119,0.00103992316871881,-0.00377508881501853,39,0,0.975807,2315,56,56,0.0,0.12499999999999997,1.3089969389957468e-08,5.734772692068911e-09,6.128489627192302e-09,measured,a28cd8716d7906e6661edc449f178e0d2994820afae210b18a4b87127a87e28f,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M1_fractional_channel_delay/weak/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,moderate,channel_impairments.channel_time_delay_ns,4.166666666666667,pass,0,0,0,False,0.9703573524035076,1.0,0.0,0.30360119421389514,nonlinear_or_mixed_trend,-0.11383024778996148,2.1247844980329083,0.996322840897799,0.0916248557737103,21.325964853279,0.00103663746267557,-0.0047738547436893,39,0,0.960974,2214,46,46,0.0,0.25000000000000006,2.6179938779914947e-08,1.7410442045314404e-08,1.7804158980437793e-08,measured,db092c6068b5e1eee8cec45fc9a639fcb78faba760439d9903784cecdd817552,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M1_fractional_channel_delay/moderate/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,strong,channel_impairments.channel_time_delay_ns,8.333333333333334,pass,0,0,0,False,0.8669654364224335,1.0,0.0,0.7643459426807205,nonlinear_or_mixed_trend,-1.477242887727049,3.8363656987785943,0.973068868264005,0.258279011028867,12.6867662322749,0.000934984709601849,-0.0365729704499245,39,0,0.860876,1977,24,24,0.0,0.5000000000000001,5.2359877559829894e-08,5.277651926975727e-08,5.317023620488066e-08,measured,5cd7242de152f565a90ac0ab01d53c8d4c1f3a939c7b33c5342b65da9bc05746,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M1_fractional_channel_delay/strong/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,zero,channel_impairments.per_pulse_phase_drift_deg,0.0,pass,0,0,0,True,0.9880464973902173,1.0,0.0,0.19236126382841534,nonlinear_or_mixed_trend,-0.17979963065696203,-0.02374965623584021,0.998166553220252,0.062857705178863,24.3406945043149,0.00103771488647908,-0.00360185001045465,39,0,0.979665,2315,68,68,0.0,0.0,,,,,a96446c0c9556a1b97826e50335a491f8b038adeedd023a268af2643d4f0b9da,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M2_pulse_varying_differential_phase/zero/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,weak,channel_impairments.per_pulse_phase_drift_deg,0.05,pass,0,0,0,False,0.9871571186084585,1.0,0.0,0.193928651408242,nonlinear_or_mixed_trend,-0.1903573276539196,-0.02060232619902338,0.998146283040561,0.0633165123283682,24.2823529966846,0.00103935331571847,-0.00253207911737263,39,0,0.979582,2329,66,66,0.05000000000000001,0.0,,,,,6354336925265e8010892699ee427116aee6a463e10ef9abe6526bb8fe693011,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M2_pulse_varying_differential_phase/weak/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,moderate,channel_impairments.per_pulse_phase_drift_deg,0.2,pass,0,0,0,False,0.9857757043996248,1.0,0.0,0.20848958170689713,nonlinear_or_mixed_trend,-0.20055669245362606,0.00034656631117927574,0.997834437380234,0.0689772222561702,23.5695468311076,0.00104244495742023,0.000678683049045503,39,0,0.976732,2302,59,59,0.20000000000000004,0.0,,,,,dd56a17980f3d9c0de652ed50102a32852238f0ac4196e47229d3f22cbf44dce,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M2_pulse_varying_differential_phase/moderate/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,strong,channel_impairments.per_pulse_phase_drift_deg,0.5,pass,0,0,0,False,0.9735637158493393,1.0,0.0,0.28596384355119875,constant_offset_or_random_residual,-0.2268867931136309,0.1665725691151036,0.996056030993494,0.0955201384663031,20.9192022401485,0.0010408004745841,0.00675451103597879,39,0,0.95951,1997,45,45,0.5,0.0,,,,,6f80db4578e3fab5e55e11825a8ae04f8e04bdb2257cf32e2dbef03515e2f2b7,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M2_pulse_varying_differential_phase/strong/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,static_regression,scene.area_clutter.temporal_correlation_rho,1.0,pass,0,0,0,True,0.9880464973902173,1.0,0.0,0.19236126382841534,nonlinear_or_mixed_trend,-0.17979963065696203,-0.02374965623584021,0.998166553220252,0.062857705178863,24.3406945043149,0.00103771488647908,-0.00360185001045465,39,0,0.979665,2315,68,68,,,,,,,a96446c0c9556a1b97826e50335a491f8b038adeedd023a268af2643d4f0b9da,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M3_internal_clutter_motion/static_regression/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,weak_motion,scene.area_clutter.temporal_correlation_rho,0.99,pass,0,0,0,False,0.9785550865514165,1.0,0.0,0.33722349220926057,nonlinear_or_mixed_trend,-0.3341045740567932,-0.05113523186844858,0.990635552894371,0.14130239988029,17.2678298932299,0.00190353358630091,-0.00380486762151122,39,0,0.952972,2049,2,2,,,,,,,b78a4cd192424070e7f83e10863a0f8548ace74143032a038a10196840beea71,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M3_internal_clutter_motion/weak_motion/residual_texture/residual_texture_summary.json
