family,level,value,rho_median,gate_rows,gate_bypassed_rows,coherence_gate_pass_fraction,coherence_gate_bypass_fraction,csi_coherence
M1_fractional_channel_delay,zero,0.0,0.9874367456408878,39,0,1.0,0.0,0.998393184661393
M1_fractional_channel_delay,weak,2.083333333333333,0.984503104870321,39,0,1.0,0.0,0.998034468170686
M1_fractional_channel_delay,moderate,4.166666666666667,0.9691791375075754,39,0,1.0,0.0,0.996452699410821
M1_fractional_channel_delay,strong,8.333333333333334,0.8675235623038463,39,0,1.0,0.0,0.977440080667083
M2_pulse_varying_differential_phase,zero,0.0,0.9874367456408878,39,0,1.0,0.0,0.998393184661393
M2_pulse_varying_differential_phase,weak,0.05,0.9883450868282116,39,0,1.0,0.0,0.998380569208011
M2_pulse_varying_differential_phase,moderate,0.2,0.9857197756671003,39,0,1.0,0.0,0.99807540196575
M2_pulse_varying_differential_phase,strong,0.5,0.9710547110194537,39,0,1.0,0.0,0.996249034245221
M3_internal_clutter_motion,static_regression,1.0,0.9874367456408878,39,0,1.0,0.0,0.998393184661393
M3_internal_clutter_motion,weak_motion,0.99,0.9794673957803856,39,0,1.0,0.0,0.991291044176666
M3_internal_clutter_motion,moderate_motion,0.95,0.9505378209138562,39,0,1.0,0.0,0.969098526883023
M3_internal_clutter_motion,strong_motion,0.8,0.8936882102626135,39,0,1.0,0.0,0.931393200839012
