family,level,value,phase_rmse_rad,phase_signature,wideband_delay_ns,csi_rmse_rad,residual_summary
M1_fractional_channel_delay,zero,0.0,0.196427021478531,nonlinear_or_mixed_trend,-0.13446439240634486,0.0597100138121657,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M1_fractional_channel_delay/zero/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,weak,2.083333333333333,0.22726384430432828,nonlinear_or_mixed_trend,-0.0816622797301703,0.0664609243970949,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M1_fractional_channel_delay/weak/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,moderate,4.166666666666667,0.31917523443416207,nonlinear_or_mixed_trend,-0.06566622985558948,0.0929306961119119,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M1_fractional_channel_delay/moderate/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,strong,8.333333333333334,0.7796897294970803,nonlinear_or_mixed_trend,-1.1901083285103915,0.247193086045667,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M1_fractional_channel_delay/strong/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,zero,0.0,0.196427021478531,nonlinear_or_mixed_trend,-0.13446439240634486,0.0597100138121657,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M2_pulse_varying_differential_phase/zero/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,weak,0.05,0.1965383882683991,nonlinear_or_mixed_trend,-0.14127551143757017,0.0599634029703463,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M2_pulse_varying_differential_phase/weak/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,moderate,0.2,0.21016258097152088,constant_offset_or_random_residual,-0.15894553041982962,0.0656890683703286,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M2_pulse_varying_differential_phase/moderate/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,strong,0.5,0.2881703503062857,constant_offset_or_random_residual,-0.17042838456026424,0.0938745636419812,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M2_pulse_varying_differential_phase/strong/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,static_regression,1.0,0.196427021478531,nonlinear_or_mixed_trend,-0.13446439240634486,0.0597100138121657,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M3_internal_clutter_motion/static_regression/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,weak_motion,0.99,0.35770561525135136,nonlinear_or_mixed_trend,-0.4041408183489412,0.137884100821877,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M3_internal_clutter_motion/weak_motion/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,moderate_motion,0.95,0.4666294815279671,constant_offset_or_random_residual,-0.6813365769788507,0.255203028341459,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M3_internal_clutter_motion/moderate_motion/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,strong_motion,0.8,0.5905118807643703,nonlinear_or_mixed_trend,-1.1076931670861518,0.384584620508983,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M3_internal_clutter_motion/strong_motion/residual_texture/residual_texture_summary.json
