case_id,error_deg,seed,texture,range_center_m,branch,calibration_mode,method,status,decision,estimate_deg,uncertainty_deg,zero_error_deadband_deg,applied_correction_deg,correction_source,model_mismatch,fallback_reason,causal_data_sources,target_truth_used,on_off_difference_used,known_error_used,servo_truth_used,input_paths
clutter_servo_low_texture_7500m_p0p000deg_seed_101,0.0,101,low_texture,7500.0,S0,current_reported,,CURRENT,KEEP_CURRENT,,,0.0,0.0,reported_header_current,False,,"['reported header angle', 'target-on evaluation raw']",False,False,False,False,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_001/on/data/stage2_statistical_newprotocol_period_0000.bin']
clutter_servo_low_texture_7500m_p0p000deg_seed_101,0.0,101,low_texture,7500.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,,0.0,0.0,fallback_current,True,primary_feature_family_disagreement,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",False,False,False,False,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin']
clutter_servo_low_texture_7500m_p0p000deg_seed_101,0.0,101,low_texture,7500.0,S1K,known_error_upper_bound,,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,0.0,0.0,known_error_upper_bound,False,,['configured known true-minus-reported servo error'],False,False,True,False,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_001/on/data/stage2_statistical_newprotocol_period_0000.bin']
clutter_servo_low_texture_7500m_p0p000deg_seed_101,0.0,101,low_texture,7500.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,VALID,NO_CORRECTION_NEEDED,0.006788890159697915,0.024978036215070682,0.12930336177963292,0.0,deadband_current,False,,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_001/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_low_texture_10000m_p0p000deg_seed_101,0.0,101,low_texture,10000.0,S0,current_reported,,CURRENT,KEEP_CURRENT,,,0.0,0.0,reported_header_current,False,,"['reported header angle', 'target-on evaluation raw']",False,False,False,False,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_002/on/data/stage2_statistical_newprotocol_period_0000.bin']
clutter_servo_low_texture_10000m_p0p000deg_seed_101,0.0,101,low_texture,10000.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,,0.0,0.0,fallback_current,True,primary_feature_family_disagreement,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",False,False,False,False,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin']
clutter_servo_low_texture_10000m_p0p000deg_seed_101,0.0,101,low_texture,10000.0,S1K,known_error_upper_bound,,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,0.0,0.0,known_error_upper_bound,False,,['configured known true-minus-reported servo error'],False,False,True,False,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_002/on/data/stage2_statistical_newprotocol_period_0000.bin']
clutter_servo_low_texture_10000m_p0p000deg_seed_101,0.0,101,low_texture,10000.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,VALID,NO_CORRECTION_NEEDED,0.049594945890634005,0.016813718355002585,0.12930336177963292,0.0,deadband_current,False,,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_002/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_high_texture_7500m_p0p000deg_seed_101,0.0,101,high_texture,7500.0,S0,current_reported,,CURRENT,KEEP_CURRENT,,,0.0,0.0,reported_header_current,False,,"['reported header angle', 'target-on evaluation raw']",False,False,False,False,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_003/on/data/stage2_statistical_newprotocol_period_0000.bin']
clutter_servo_high_texture_7500m_p0p000deg_seed_101,0.0,101,high_texture,7500.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,,0.0,0.0,fallback_current,True,primary_feature_family_disagreement,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",False,False,False,False,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin']
