case_id,error_deg,seed,texture,range_center_m,branch,calibration_mode,method,estimate_deg,uncertainty_deg,fit_rmse,phase_rmse,ridge_rmse,clutter_cancellation_db,model_mismatch,fallback_reason,status,causal_data_sources,input_role,target_truth_used,on_off_difference_used,known_error_used,servo_truth_used,source_ids
clutter_servo_low_texture_7500m_p0p000deg_seed_101,0.0,101,low_texture,7500.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_low_texture_7500m_p0p000deg_seed_101']
clutter_servo_low_texture_7500m_p0p000deg_seed_101,0.0,101,low_texture,7500.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,0.006788890159697915,0.024978036215070682,,2.241169271242949,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_001/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_low_texture_10000m_p0p000deg_seed_101,0.0,101,low_texture,10000.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_low_texture_10000m_p0p000deg_seed_101']
clutter_servo_low_texture_10000m_p0p000deg_seed_101,0.0,101,low_texture,10000.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,0.049594945890634005,0.016813718355002585,,1.281265738584087,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_002/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_high_texture_7500m_p0p000deg_seed_101,0.0,101,high_texture,7500.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_high_texture_7500m_p0p000deg_seed_101']
clutter_servo_high_texture_7500m_p0p000deg_seed_101,0.0,101,high_texture,7500.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,-0.12930336177963292,0.026811186478574778,,2.2411977613328085,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_003/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_high_texture_10000m_p0p000deg_seed_101,0.0,101,high_texture,10000.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_high_texture_10000m_p0p000deg_seed_101']
clutter_servo_high_texture_10000m_p0p000deg_seed_101,0.0,101,high_texture,10000.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,0.04743734583090419,0.028893292793604634,,1.2812354947657512,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_004/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_004/off/data/stage2_statistical_newprotocol_period_0000.bin']"
clutter_servo_low_texture_7500m_p0p000deg_seed_202,0.0,202,low_texture,7500.0,S1,clutter_only,clutter_only_six_pair_phase_ridge_p38_power_huber_grid_v1,,,,,,,True,primary_feature_family_disagreement,FALLBACK_MODEL_MISMATCH,"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']",OFF_C_PLUS_N_TARGET_FREE_ONLY,False,False,False,False,['off_c_plus_n:clutter_servo_low_texture_7500m_p0p000deg_seed_202']
clutter_servo_low_texture_7500m_p0p000deg_seed_202,0.0,202,low_texture,7500.0,Sassist,target_assisted,target_assisted_six_pair_phase_plus_multibeam_power_quadratic_pilot,-0.022113253939043252,0.022882986432715743,,2.2411982549791616,,,,,VALID,"['paired ON-OFF target residual', 'six pair cross-channel phases/coherences', 'reported header beam angles', 'configured nominal target/range hypothesis']",PAIRED_ON_MINUS_OFF_TARGET_RESIDUAL,False,True,False,False,"['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_005/on/data/stage2_statistical_newprotocol_period_0000.bin', '/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/clutter_only_servo_formal_compact_v2_20260914/cases/case_005/off/data/stage2_statistical_newprotocol_period_0000.bin']"
