scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,level,method,status,estimate_ns,truth_ns,error_ns,runtime_sec,fallback_reason,snr_db,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,outlier_rate,fallback_rate,fallback_count,finite_estimate_count,trials,mean_runtime_sec,random_seed_namespace,sampling_rate_hz,bandwidth_hz,pulse_samples
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,D1_ordinary_LS,ok,-0.029635960372710345,0.0,-0.029635960372710345,0.00018515100236982107,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,D2_weighted_LS,ok,-0.007020225075362978,0.0,-0.007020225075362978,0.00013486499665305018,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,-0.028130307937299665,0.0,-0.028130307937299665,0.0013330700166989118,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,cross_correlation,ok,-0.02662150568326747,0.0,-0.02662150568326747,1.9196755299926735,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,gcc_phat,ok,-0.02412623344305109,0.0,-0.02412623344305109,1.483714799018344,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,D1_ordinary_LS,ok,0.8610374147365133,1.0,-0.1389625852634867,0.00022586900740861893,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,D2_weighted_LS,ok,0.8812875822992559,1.0,-0.11871241770074414,0.00013081400538794696,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,0.8639455192566396,1.0,-0.13605448074336035,0.0012620399938896298,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,cross_correlation,ok,0.20170346627866306,1.0,-0.7982965337213369,1.4619741910137236,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,gcc_phat,ok,0.07171552122068187,1.0,-0.9282844787793181,2.0656838090217207,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m1ns,base,101,-1.0,6.7,30.0,level2,D1_ordinary_LS,ok,0.0788048195392907,-1.0,1.0788048195392907,0.0006146770028863102,,,,,,,,,,,,,,,,,
