scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,condition,role,metric,value,status,denominator,definition
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,position_rmse_m,137.67333497012422,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,velocity_rmse_mps_ground_speed,6.91249193839888,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,angle_rmse_deg,0.08201203047567575,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,false_track_count,320.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,unique_false_track_count,320.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_id_switch_count,3.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,position_rmse_m,137.67333497012422,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,velocity_rmse_mps_ground_speed,6.91249193839888,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
