source,block_id,delay_error_ns,metric,comparison,current,comparison_value
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,0,false_clusters,A1_to_A2,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,0,false_clusters,A1_to_A3,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,1,false_clusters,A1_to_A2,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,1,false_clusters,A1_to_A3,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,-1,false_clusters,A1_to_A2,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,-1,false_clusters,A1_to_A3,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,2,false_clusters,A1_to_A2,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,2,false_clusters,A1_to_A3,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,-2,false_clusters,A1_to_A2,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,-2,false_clusters,A1_to_A3,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,4,false_clusters,A1_to_A2,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,4,false_clusters,A1_to_A3,1,1
off,scene=base__seed_101__v_p6d7__snr_p30|seed=101|velocity=6.7|snr=30.0|working_point=base,-4,false_clusters,A1_to_A2,1,1
