scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,level,method,status,estimate_ns,truth_ns,error_ns,runtime_sec,fallback_reason,snr_db,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,outlier_rate,fallback_rate,fallback_count,finite_estimate_count,trials,mean_runtime_sec,random_seed_namespace,sampling_rate_hz,bandwidth_hz,pulse_samples
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,D1_ordinary_LS,ok,-0.029635960372710345,0.0,-0.029635960372710345,0.00016929401317611337,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,D2_weighted_LS,ok,-0.007020225075362978,0.0,-0.007020225075362978,0.00012843700824305415,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,-0.028130307937299665,0.0,-0.028130307937299665,0.0012622289941646159,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,0.0711305929666599,0.0,0.0711305929666599,1.9044187380059157,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,cross_correlation,ok,-0.02662150568326747,0.0,-0.02662150568326747,2.4315778269956354,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,gcc_phat,ok,-0.02412623344305109,0.0,-0.02412623344305109,1.7346289959969,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,level2,oversampled_cross_correlation,ok,-0.02276802418292997,0.0,-0.02276802418292997,2.453657290985575,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,D1_ordinary_LS,ok,0.8610374147365133,1.0,-0.1389625852634867,0.00016244998550973833,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,D2_weighted_LS,ok,0.8812875822992559,1.0,-0.11871241770074414,0.00012780900578945875,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,0.8639455192566396,1.0,-0.13605448074336035,0.0012950619857292622,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,1.0582042513959131,1.0,0.05820425139591312,1.1528666329977568,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,cross_correlation,ok,0.20170346627866306,1.0,-0.7982965337213369,1.4983689849905204,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,gcc_phat,ok,0.07171552122068187,1.0,-0.9282844787793181,1.8115782040113118,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p1ns,base,101,1.0,6.7,30.0,level2,oversampled_cross_correlation,ok,0.22338256670855489,1.0,-0.7766174332914451,1.5648286319919862,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m1ns,base,101,-1.0,6.7,30.0,level2,D1_ordinary_LS,ok,0.0788048195392907,-1.0,1.0788048195392907,0.0018202729988843203,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m1ns,base,101,-1.0,6.7,30.0,level2,D2_weighted_LS,ok,0.09555661996197672,-1.0,1.0955566199619766,0.00021434298832900822,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m1ns,base,101,-1.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,0.08113085891771028,-1.0,1.0811308589177102,0.0023175420064944774,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m1ns,base,101,-1.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,0.7207740127090057,-1.0,1.7207740127090057,1.046735008014366,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m1ns,base,101,-1.0,6.7,30.0,level2,cross_correlation,ok,-0.2566272341463842,-1.0,0.7433727658536158,1.3638144629949238,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m1ns,base,101,-1.0,6.7,30.0,level2,gcc_phat,ok,-0.11137507845594549,-1.0,0.8886249215440545,1.8679416310042143,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m1ns,base,101,-1.0,6.7,30.0,level2,oversampled_cross_correlation,ok,-0.2689992659898315,-1.0,0.7310007340101685,1.2700281430152245,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p2ns,base,101,2.0,6.7,30.0,level2,D1_ordinary_LS,ok,1.7105058733975447,2.0,-0.2894941266024553,0.0002658860175870359,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p2ns,base,101,2.0,6.7,30.0,level2,D2_weighted_LS,ok,1.7279997384835428,2.0,-0.2720002615164572,0.00013220999971963465,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p2ns,base,101,2.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,1.7166844941142378,2.0,-0.28331550588576215,0.0013126679987180978,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p2ns,base,101,2.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,1.9936711526879245,2.0,-0.006328847312075503,1.6113080630020704,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p2ns,base,101,2.0,6.7,30.0,level2,cross_correlation,ok,0.4583676392380304,2.0,-1.5416323607619695,2.1896149309759494,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p2ns,base,101,2.0,6.7,30.0,level2,gcc_phat,ok,0.08890856969654572,2.0,-1.9110914303034543,1.8671166179992724,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p2ns,base,101,2.0,6.7,30.0,level2,oversampled_cross_correlation,ok,0.4380715697662578,2.0,-1.5619284302337422,1.8465555559960194,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m2ns,base,101,-2.0,6.7,30.0,level2,D1_ordinary_LS,ok,0.10979095974564741,-2.0,2.1097909597456472,0.0002569470088928938,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m2ns,base,101,-2.0,6.7,30.0,level2,D2_weighted_LS,ok,0.10931993513096394,-2.0,2.109319935130964,0.00013381699682213366,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m2ns,base,101,-2.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,0.10230710433891471,-2.0,2.1023071043389145,0.0017412180022802204,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m2ns,base,101,-2.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,1.4705753995938773,-2.0,3.4705753995938773,1.0357178089907393,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m2ns,base,101,-2.0,6.7,30.0,level2,cross_correlation,ok,-0.514181326194249,-2.0,1.4858186738057508,1.648961215018062,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m2ns,base,101,-2.0,6.7,30.0,level2,gcc_phat,ok,-0.1178600641606655,-2.0,1.8821399358393345,1.5134319240169134,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m2ns,base,101,-2.0,6.7,30.0,level2,oversampled_cross_correlation,ok,-0.4834125706757781,-2.0,1.5165874293242219,1.6856498999986798,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,D1_ordinary_LS,ok,3.1646591819903485,4.0,-0.8353408180096515,0.00020924501586705446,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,D2_weighted_LS,ok,3.183373693039725,4.0,-0.8166263069602748,0.00013947300612926483,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,3.1823213380139537,4.0,-0.8176786619860463,0.0012278850190341473,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,3.6530312651995414,4.0,-0.34696873480045864,1.0473860509810038,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,cross_correlation,ok,1.0524996471292734,4.0,-2.9475003528707266,1.1656443219981156,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,gcc_phat,ok,0.08480339096996876,4.0,-3.915196609030031,1.9468494250031654,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,oversampled_cross_correlation,ok,0.7405825054941746,4.0,-3.2594174945058256,1.2960959699994419,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,D1_ordinary_LS,ok,-0.2537879738733125,-4.0,3.7462120261266874,0.23600854101823643,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,D2_weighted_LS,ok,-0.2945186557531431,-4.0,3.705481344246857,0.0003205729881301522,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,-0.38910501145759807,-4.0,3.6108949885424018,0.05971577699529007,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,3.379558683301782,-4.0,7.3795586833017826,1.3355166609981097,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,cross_correlation,ok,-1.107789895955872,-4.0,2.892210104044128,4.9100983449898195,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,gcc_phat,ok,-0.10892032825068193,-4.0,3.891079671749318,1.9965382230002433,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,oversampled_cross_correlation,ok,-0.7839099208190118,-4.0,3.2160900791809883,1.2955793740111403,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,D1_ordinary_LS,ok,5.922807242942102,8.0,-2.0771927570578983,0.001708536990918219,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,D2_weighted_LS,ok,5.913071873700761,8.0,-2.086928126299239,0.00024472500081174076,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,5.884241046931248,8.0,-2.1157589530687524,0.001327619975199923,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,6.054107536827424,8.0,-1.9458924631725756,1.139298508001957,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,cross_correlation,ok,2.5725344363738634,8.0,-5.427465563626137,6.49050656700274,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,gcc_phat,ok,0.3850000405683121,8.0,-7.614999959431688,1.6071225949854124,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,oversampled_cross_correlation,ok,0.5629600556268071,8.0,-7.437039944373193,1.387873967003543,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m8ns,base,101,-8.0,6.7,30.0,level2,D1_ordinary_LS,ok,-2.0788005693215172,-8.0,5.921199430678483,0.0005590829823631793,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m8ns,base,101,-8.0,6.7,30.0,level2,D2_weighted_LS,ok,-2.1701257329777603,-8.0,5.829874267022239,0.0001427569950465113,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m8ns,base,101,-8.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,-2.2232137363653353,-8.0,5.776786263634665,0.0013036649907007813,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m8ns,base,101,-8.0,6.7,30.0,level2,D4_generalized_phase_slope_ML,ok,9.539477195003183,-8.0,17.539477195003183,1.1242432430153713,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m8ns,base,101,-8.0,6.7,30.0,level2,cross_correlation,ok,-2.6174358664065633,-8.0,5.382564133593437,1.096133220999036,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m8ns,base,101,-8.0,6.7,30.0,level2,gcc_phat,ok,-0.40874308204278376,-8.0,7.5912569179572165,1.5779008630197495,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m8ns,base,101,-8.0,6.7,30.0,level2,oversampled_cross_correlation,ok,-0.5936862683673433,-8.0,7.406313731632657,1.1162398809974547,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,D1_ordinary_LS,ok,-0.029635960372710345,0.0,-0.029635960372710345,0.00024500497966073453,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,D2_weighted_LS,ok,-0.007020225075362978,0.0,-0.007020225075362978,0.0001639889960642904,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,-0.028130307937299665,0.0,-0.028130307937299665,0.0012974489945918322,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,D4_generalized_phase_slope_ML,ok,0.0711305929666599,0.0,0.0711305929666599,1.2099875029816758,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,cross_correlation,ok,-0.02662150568326747,0.0,-0.02662150568326747,1.1282257710117847,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,gcc_phat,ok,-0.02412623344305109,0.0,-0.02412623344305109,1.5991477490169927,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,oversampled_cross_correlation,ok,-0.02276802418292997,0.0,-0.02276802418292997,1.1244404249882791,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,D1_ordinary_LS,ok,0.8610374147365133,1.0,-0.1389625852634867,0.00020184298045933247,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,D2_weighted_LS,ok,0.8812875822992559,1.0,-0.11871241770074414,0.00013067401596345007,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,0.8639455192566396,1.0,-0.13605448074336035,0.0012211829889565706,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,D4_generalized_phase_slope_ML,ok,1.0582042513959131,1.0,0.05820425139591312,1.0635610609897412,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,cross_correlation,ok,0.20170346627866306,1.0,-0.7982965337213369,1.0811219250026625,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,gcc_phat,ok,0.07171552122068187,1.0,-0.9282844787793181,1.5720196980109904,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,oversampled_cross_correlation,ok,0.22338256670855489,1.0,-0.7766174332914451,1.1169938239909243,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,D1_ordinary_LS,ok,0.0788048195392907,-1.0,1.0788048195392907,0.00020427399431355298,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,D2_weighted_LS,ok,0.09555661996197672,-1.0,1.0955566199619766,0.00014107199967838824,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,0.08113085891771028,-1.0,1.0811308589177102,0.0012171939888503402,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,D4_generalized_phase_slope_ML,ok,0.7207740127090057,-1.0,1.7207740127090057,1.080866447999142,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,cross_correlation,ok,-0.2566272341463842,-1.0,0.7433727658536158,1.1121638859913219,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,gcc_phat,ok,-0.11137507845594549,-1.0,0.8886249215440545,1.599454732000595,,,,,,,,,,,,,,,,,
