source,metric,comparison,delay_error_ns,status,reason,block_count,effective_block_count,effect,ci_low,ci_high,discordant_current_miss_comparison_hit,discordant_current_hit_comparison_miss,p_value,duplicate_block_treatment_count,source_classification
off,false_clusters,A1_to_A2,-8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A2,-4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A2,-2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A2,-1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A2,1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A2,2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A2,4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A2,8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A3,-8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A3,-4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A3,-2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A3,-1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A3,1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A3,2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A3,4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_clusters,A1_to_A3,8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
off,false_tracks,A1_to_A2,-8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
