scene_id,case_id,branch,previous_period_id,period_id,truth_target_id,previous_truth_target_id,previous_detection_id,detection_id,previous_track_id,current_track_id,association_schema_version,candidate_ids,candidate_track_ids,candidate_rank,candidate_count,innovation_m,residual_m,association_distance_m,gate_threshold_m,mahalanobis_d2,mahalanobis_gate_d2,assignment_mode,assignment_outcome,reject_reason,lifecycle_event,unavailable_fields,association_source_file,association_source_row,missing_production_fields,previous_confirmation_state,confirmation_state,lost,reacquired,merge_evidence,split_evidence,classification,reason,source_file,source_row,previous_source_row,current_source_row,detection_source_file,previous_detection_source_file,truth_source_file,evidence_json,condition,working_point,seed,delay_error_ns,reanalysis_source_row
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A0_Ideal_ON,1,2,stage1_target_1,stage1_target_1,10,2,10,6,,,,,,,,7.035024626366,300.000000000000,0.004003285631,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/track_debug_runs/local_test_20260916_220831_588617_pid1881933/track_output_payloads.csv,88,9,88,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/result/detection_results_GMTI03.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/result/detection_results_GMTI02.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A0_Ideal,base,101,0.0,2
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A0_Ideal_ON,2,3,stage1_target_1,stage1_target_1,2,6,6,1,,,,,,,,7.496137992157,300.000000000000,0.006560335809,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/track_debug_runs/local_test_20260916_220831_588617_pid1881933/track_output_payloads.csv,194,88,194,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/result/detection_results_GMTI04.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/result/detection_results_GMTI03.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A0_Ideal,base,101,0.0,3
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A0_Ideal_ON,3,4,stage1_target_1,stage1_target_1,6,3,1,191,,,,,,,,24.716572927476,300.000000000000,0.049415339580,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/track_debug_runs/local_test_20260916_220831_588617_pid1881933/track_output_payloads.csv,363,194,363,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/result/detection_results_GMTI05.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A0_Ideal_ON/result/detection_results_GMTI04.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A0_Ideal,base,101,0.0,4
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A1_Current_unknown_error_ON,1,2,stage1_target_1,stage1_target_1,10,2,10,6,,,,,,,,7.035024626366,300.000000000000,0.004003285631,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/track_debug_runs/local_test_20260916_220854_587835_pid1882229/track_output_payloads.csv,88,9,88,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/result/detection_results_GMTI03.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/result/detection_results_GMTI02.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A1_Current_unknown_error,base,101,0.0,5
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A1_Current_unknown_error_ON,2,3,stage1_target_1,stage1_target_1,2,6,6,1,,,,,,,,7.496137992157,300.000000000000,0.006560335809,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/track_debug_runs/local_test_20260916_220854_587835_pid1882229/track_output_payloads.csv,194,88,194,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/result/detection_results_GMTI04.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/result/detection_results_GMTI03.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A1_Current_unknown_error,base,101,0.0,6
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A1_Current_unknown_error_ON,3,4,stage1_target_1,stage1_target_1,6,3,1,191,,,,,,,,24.716572927476,300.000000000000,0.049415339580,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/track_debug_runs/local_test_20260916_220854_587835_pid1882229/track_output_payloads.csv,363,194,363,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/result/detection_results_GMTI05.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A1_Current_unknown_error_ON/result/detection_results_GMTI04.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A1_Current_unknown_error,base,101,0.0,7
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A2_Known_error_correction_upper_bound_ON,1,2,stage1_target_1,stage1_target_1,10,2,10,6,,,,,,,,7.035024626366,300.000000000000,0.004003285631,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/track_debug_runs/local_test_20260916_220918_168666_pid1882737/track_output_payloads.csv,88,9,88,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/result/detection_results_GMTI03.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/result/detection_results_GMTI02.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A2_Known_error_correction_upper_bound,base,101,0.0,8
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A2_Known_error_correction_upper_bound_ON,2,3,stage1_target_1,stage1_target_1,2,6,6,1,,,,,,,,7.496137992157,300.000000000000,0.006560335809,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/track_debug_runs/local_test_20260916_220918_168666_pid1882737/track_output_payloads.csv,194,88,194,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/result/detection_results_GMTI04.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/result/detection_results_GMTI03.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A2_Known_error_correction_upper_bound,base,101,0.0,9
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A2_Known_error_correction_upper_bound_ON,3,4,stage1_target_1,stage1_target_1,6,3,1,191,,,,,,,,24.716572927476,300.000000000000,0.049415339580,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/track_debug_runs/local_test_20260916_220918_168666_pid1882737/track_output_payloads.csv,363,194,363,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/result/detection_results_GMTI05.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A2_Known_error_correction_upper_bound_ON/result/detection_results_GMTI04.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A2_Known_error_correction_upper_bound,base,101,0.0,10
base__seed_101__v_p6d7__snr_p30__delay_p0ns,production,A3_Blind_target_free_estimated_correction_ON,1,2,stage1_target_1,stage1_target_1,10,2,10,6,,,,,,,,7.097727866084,300.000000000000,0.004074966303,9.210000000000,,,,,,,,"[""track_association_audit_v2.csv""]",Confirmed,Confirmed,0,0,,,unclassifiable_production_fields,production association evidence is missing fields required for mechanism attribution,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A3_Blind_target_free_estimated_correction_ON/track_debug_runs/local_test_20260916_221004_097930_pid1883588/track_output_payloads.csv,72,9,72,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A3_Blind_target_free_estimated_correction_ON/result/detection_results_GMTI03.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/production/A3_Blind_target_free_estimated_correction_ON/result/detection_results_GMTI02.csv,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/formal_delay_stage1_20260916/cases/base__seed_101__v_p6d7__snr_p30__delay_p0ns/scenes/A0_ON/truth/truth_targets_by_beam.csv,"{""association_schema"": ""legacy"", ""missing_production_fields"": [""track_association_audit_v2.csv""]}",A3_Blind_target_free_estimated_correction,base,101,0.0,11
