case_id,branch,delta_velocity_reported_minus_true_mps,delta_velocity_true_minus_reported_mps,velocity_true_mps_evaluation_only,velocity_reported_mps,status,decision,estimate_delta_v_mps,applied_header_correction_mps,correction_source,known_velocity_error_used,target_truth_used,contains_true_velocity,input_role,input_paths,causal_data_sources
velocity_error_p0p000mps_low_texture_7500m_seed_101,V0_Current,0.0,-0.0,60.0,60.0,CURRENT,KEEP_CURRENT,,0.0,reported_header_current,False,False,False,reported_header_without_correction,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin'],['reported INS/header velocity']
velocity_error_p0p000mps_low_texture_7500m_seed_101,V1K_Known_Correction,0.0,-0.0,60.0,60.0,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_velocity_error_upper_bound,True,False,False,evaluation_only_known_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin'],['configured true-minus-reported velocity error']
velocity_error_p0p000mps_low_texture_7500m_seed_101,V1_Blind_Deterministic,0.0,-0.0,60.0,60.0,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']"
velocity_error_p0p000mps_low_texture_10000m_seed_101,V0_Current,0.0,-0.0,60.0,60.0,CURRENT,KEEP_CURRENT,,0.0,reported_header_current,False,False,False,reported_header_without_correction,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin'],['reported INS/header velocity']
velocity_error_p0p000mps_low_texture_10000m_seed_101,V1K_Known_Correction,0.0,-0.0,60.0,60.0,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_velocity_error_upper_bound,True,False,False,evaluation_only_known_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin'],['configured true-minus-reported velocity error']
velocity_error_p0p000mps_low_texture_10000m_seed_101,V1_Blind_Deterministic,0.0,-0.0,60.0,60.0,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']"
velocity_error_p0p000mps_high_texture_7500m_seed_101,V0_Current,0.0,-0.0,60.0,60.0,CURRENT,KEEP_CURRENT,,0.0,reported_header_current,False,False,False,reported_header_without_correction,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin'],['reported INS/header velocity']
velocity_error_p0p000mps_high_texture_7500m_seed_101,V1K_Known_Correction,0.0,-0.0,60.0,60.0,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_velocity_error_upper_bound,True,False,False,evaluation_only_known_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin'],['configured true-minus-reported velocity error']
velocity_error_p0p000mps_high_texture_7500m_seed_101,V1_Blind_Deterministic,0.0,-0.0,60.0,60.0,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']"
velocity_error_p0p000mps_high_texture_10000m_seed_101,V0_Current,0.0,-0.0,60.0,60.0,CURRENT,KEEP_CURRENT,,0.0,reported_header_current,False,False,False,reported_header_without_correction,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_004/off/data/stage2_statistical_newprotocol_period_0000.bin'],['reported INS/header velocity']
velocity_error_p0p000mps_high_texture_10000m_seed_101,V1K_Known_Correction,0.0,-0.0,60.0,60.0,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_velocity_error_upper_bound,True,False,False,evaluation_only_known_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_004/off/data/stage2_statistical_newprotocol_period_0000.bin'],['configured true-minus-reported velocity error']
velocity_error_p0p000mps_high_texture_10000m_seed_101,V1_Blind_Deterministic,0.0,-0.0,60.0,60.0,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_004/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']"
velocity_error_p0p000mps_low_texture_7500m_seed_202,V0_Current,0.0,-0.0,60.0,60.0,CURRENT,KEEP_CURRENT,,0.0,reported_header_current,False,False,False,reported_header_without_correction,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_005/off/data/stage2_statistical_newprotocol_period_0000.bin'],['reported INS/header velocity']
velocity_error_p0p000mps_low_texture_7500m_seed_202,V1K_Known_Correction,0.0,-0.0,60.0,60.0,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_velocity_error_upper_bound,True,False,False,evaluation_only_known_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_005/off/data/stage2_statistical_newprotocol_period_0000.bin'],['configured true-minus-reported velocity error']
velocity_error_p0p000mps_low_texture_7500m_seed_202,V1_Blind_Deterministic,0.0,-0.0,60.0,60.0,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_005/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']"
velocity_error_p0p000mps_low_texture_10000m_seed_202,V0_Current,0.0,-0.0,60.0,60.0,CURRENT,KEEP_CURRENT,,0.0,reported_header_current,False,False,False,reported_header_without_correction,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_006/off/data/stage2_statistical_newprotocol_period_0000.bin'],['reported INS/header velocity']
velocity_error_p0p000mps_low_texture_10000m_seed_202,V1K_Known_Correction,0.0,-0.0,60.0,60.0,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_velocity_error_upper_bound,True,False,False,evaluation_only_known_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_006/off/data/stage2_statistical_newprotocol_period_0000.bin'],['configured true-minus-reported velocity error']
velocity_error_p0p000mps_low_texture_10000m_seed_202,V1_Blind_Deterministic,0.0,-0.0,60.0,60.0,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_006/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']"
velocity_error_p0p000mps_high_texture_7500m_seed_202,V0_Current,0.0,-0.0,60.0,60.0,CURRENT,KEEP_CURRENT,,0.0,reported_header_current,False,False,False,reported_header_without_correction,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_007/off/data/stage2_statistical_newprotocol_period_0000.bin'],['reported INS/header velocity']
velocity_error_p0p000mps_high_texture_7500m_seed_202,V1K_Known_Correction,0.0,-0.0,60.0,60.0,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_velocity_error_upper_bound,True,False,False,evaluation_only_known_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_007/off/data/stage2_statistical_newprotocol_period_0000.bin'],['configured true-minus-reported velocity error']
