case_index,case_id,delta_velocity_reported_minus_true_mps,delta_velocity_true_minus_reported_mps,velocity_reported_mps,seed,texture,range_center_m,method,input_role,raw_path,raw_sha256,status,estimate_velocity_mps,estimate_delta_v_mps,reported_velocity_mps,candidate_velocities_mps,candidate_count,candidate_spread_mps,max_abs_residual_mps,max_supported_error_mps,uncertainty_mps,residual_rmse_mps,ridge_velocity_mps,p38_velocity_mps,ctdr_velocity_mps,slow_time_velocity_mps,ridge_rmse_mps,slow_time_rmse_mps,p38_phase_slope_rmse_rad,p38_phase_slope_rad_per_hz,six_pair_clutter_phase_rmse_rad,six_pair_mean_coherence,multi_beam_power_spread_db,range_support,clutter_cancellation_db,model_mismatch,fallback_reason,causal_data_sources,target_truth_used,known_velocity_error_used,ai_training,ai_router
1,velocity_error_p0p000mps_low_texture_7500m_seed_101,0.0,-0.0,60.0,101,low_texture,7500.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin,e4b9100851da874a675b009ba0d1f33cb57ff64f6859dd2ef38db0f8fbac2e4a,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 31.701151988195118, 'slow_time': 34.79275795194267}",2,3.0916059637475506,28.298848011804882,1.0,26.79766641393036,26.79766641393036,31.701151988195118,,,34.79275795194267,0.18734792452334617,0.045611922939041226,0.3853734758849695,,1.1837159529151267,0.026401093857360405,0.5034265717881298,"{'first_crop_bin': 2782, 'last_crop_bin': 3102, 'center_crop_bin': 2942}",,True,velocity_candidate_outside_supported_error_bound,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
2,velocity_error_p0p000mps_low_texture_10000m_seed_101,0.0,-0.0,60.0,101,low_texture,10000.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin,8411188b79d0952827c916e2ae643530dd01dbb3f9f4232e48e6b266c024798a,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 46.15978345208081, 'p38': 83.3601480437866, 'slow_time': 47.17152166345154}",3,37.200364591705785,23.360148043786594,1.0,17.337992647672298,17.337992647672298,46.15978345208081,83.3601480437866,,47.17152166345154,0.1884985592482919,0.05561787788165606,0.13938184242550042,,1.1155082397875635,0.03838734862786187,0.5884923919658777,"{'first_crop_bin': 3783, 'last_crop_bin': 4095, 'center_crop_bin': 3943}",,True,velocity_observable_disagreement_over_20_mps,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
3,velocity_error_p0p000mps_high_texture_7500m_seed_101,0.0,-0.0,60.0,101,high_texture,7500.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin,5358c6eca8ef36a6bc52dbfa58fb2ecc07f7d7016ea764c88b15b5b8cfb6d157,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 23.666130820952066, 'p38': 100.56786148917098, 'slow_time': 36.27896046580887}",3,76.90173066821892,40.56786148917098,1.0,34.295719615851915,34.295719615851915,23.666130820952066,100.56786148917098,,36.27896046580887,0.8390159193669079,0.1745028130882604,0.28443202896370734,,1.2333166054745952,0.030411395829278005,4.153409997042356,"{'first_crop_bin': 2782, 'last_crop_bin': 3102, 'center_crop_bin': 2942}",,True,velocity_observable_disagreement_over_20_mps,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
4,velocity_error_p0p000mps_high_texture_10000m_seed_101,0.0,-0.0,60.0,101,high_texture,10000.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_004/off/data/stage2_statistical_newprotocol_period_0000.bin,b4a8c6f2fe339133ebb5e7be7d8f6ce1a0db8c477cb9c6f325718ef048432752,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 43.805198223783016, 'p38': 77.87394164503631, 'slow_time': 42.807190116735995}",3,35.066751528300315,17.87394164503631,1.0,17.10109261795071,17.10109261795071,43.805198223783016,77.87394164503631,,42.807190116735995,0.37226755829664354,0.3078521484672423,0.1421305790235156,,1.007935450275318,0.03787513950432636,1.6645507441316818,"{'first_crop_bin': 3783, 'last_crop_bin': 4095, 'center_crop_bin': 3943}",,True,velocity_observable_disagreement_over_20_mps,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
5,velocity_error_p0p000mps_low_texture_7500m_seed_202,0.0,-0.0,60.0,202,low_texture,7500.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_005/off/data/stage2_statistical_newprotocol_period_0000.bin,6b56a4da721ea63a2ef44df4d51272235b063475adb455a0d5fec560dc376c5c,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 33.30847042004992, 'slow_time': 35.80956856648711}",2,2.5010981464371866,26.69152957995008,1.0,25.47169727616162,25.47169727616162,33.30847042004992,,,35.80956856648711,0.07611578161809061,0.03148258604696952,0.39436407828212244,,1.2055566992450009,0.026060279614121523,0.4636078856647534,"{'first_crop_bin': 2782, 'last_crop_bin': 3102, 'center_crop_bin': 2942}",,True,velocity_candidate_outside_supported_error_bound,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
6,velocity_error_p0p000mps_low_texture_10000m_seed_202,0.0,-0.0,60.0,202,low_texture,10000.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_006/off/data/stage2_statistical_newprotocol_period_0000.bin,46a5354c7cd31512aba61a0d14644c986086476bf562849941802ab722065568,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 44.30718720232436, 'p38': 82.92239495596702, 'slow_time': 46.3266809750683}",3,38.615207753642665,22.92239495596702,1.0,17.876056772284297,17.876056772284297,44.30718720232436,82.92239495596702,,46.3266809750683,0.2659431499192853,0.07504215342151345,0.1418856219403167,,1.1273954119222294,0.03838783655454225,0.7977810771623108,"{'first_crop_bin': 3783, 'last_crop_bin': 4095, 'center_crop_bin': 3943}",,True,velocity_observable_disagreement_over_20_mps,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
7,velocity_error_p0p000mps_high_texture_7500m_seed_202,0.0,-0.0,60.0,202,high_texture,7500.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_007/off/data/stage2_statistical_newprotocol_period_0000.bin,2d6effe79da4970891cd47efc2b42dfbe8f802c25fb411381115875b3aab4fa3,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 45.68356206452918, 'p38': 163.44342475651692, 'slow_time': 37.64551024575202}",3,125.7979145107649,103.44342475651692,1.0,61.65826717397039,61.65826717397039,45.68356206452918,163.44342475651692,,37.64551024575202,0.5801624354022202,0.07948680334245603,0.3411870725436645,,1.2694149581800396,0.027503776691963504,2.699937475250356,"{'first_crop_bin': 2782, 'last_crop_bin': 3102, 'center_crop_bin': 2942}",,True,velocity_observable_disagreement_over_20_mps,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
8,velocity_error_p0p000mps_high_texture_10000m_seed_202,0.0,-0.0,60.0,202,high_texture,10000.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_008/off/data/stage2_statistical_newprotocol_period_0000.bin,39845c5b7617735e20609b66082b794b04b0e6417ea871ca1639d97e47050953,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 63.88624486775891, 'p38': 69.32922667494795, 'slow_time': 58.90580556631167}",3,10.423421108636276,9.329226674947947,1.0,5.868975804557876,5.868975804557876,63.88624486775891,69.32922667494795,,58.90580556631167,1.155221927112296,0.7126162525282483,0.12002873876317613,,1.1531933061558879,0.0389541993487538,2.613412063122618,"{'first_crop_bin': 3783, 'last_crop_bin': 4095, 'center_crop_bin': 3943}",,True,velocity_candidate_outside_supported_error_bound,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
9,velocity_error_p0p000mps_low_texture_7500m_seed_303,0.0,-0.0,60.0,303,low_texture,7500.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_009/off/data/stage2_statistical_newprotocol_period_0000.bin,e240ae885510fac9d5e423d2564e2eb60b2da59d94e5568afbd9a169841db5af,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 39.74377943964058, 'p38': 180.74521619701804, 'slow_time': 35.57037310570329}",3,145.17484309131476,120.74521619701804,1.0,72.07988248244466,72.07988248244466,39.74377943964058,180.74521619701804,,35.57037310570329,0.31296290602720417,0.042196300959070836,0.3899018537537028,,1.1891758874866196,0.027057614559531585,0.9908743222137516,"{'first_crop_bin': 2782, 'last_crop_bin': 3102, 'center_crop_bin': 2942}",,True,velocity_observable_disagreement_over_20_mps,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
10,velocity_error_p0p000mps_low_texture_10000m_seed_303,0.0,-0.0,60.0,303,low_texture,10000.0,deterministic_target_free_clutter_velocity_fusion_v1,OFF_C_PLUS_N_TARGET_FREE_ONLY,/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/velocity_error_formal_compact_v2_20260915/cases/case_010/off/data/stage2_statistical_newprotocol_period_0000.bin,f51b2ef50dc506cf5a497bfb17bf7b6f42c2ce5f717c46b7185b09805d4f9573,FALLBACK_MODEL_MISMATCH,,,60.0,"{'ridge': 49.41439197944266, 'p38': 79.71811299264046, 'slow_time': 49.8024176359146}",3,30.303721013197794,19.718112992640457,1.0,14.199175600807838,14.199175600807838,49.41439197944266,79.71811299264046,,49.8024176359146,0.2583639990301026,0.12260940957499047,0.11789912329734517,,1.1416813164446744,0.03798495083693065,0.6235496941823491,"{'first_crop_bin': 3783, 'last_crop_bin': 4095, 'center_crop_bin': 3943}",,True,velocity_observable_disagreement_over_20_mps,"['clutter_doppler_ridge_displacement', 'p38_phase_slope', 'ctdr_residual', 'four_channel_slow_time_phase']",False,False,False,False
