split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,support_percentile,edge_guard_percentile
j8_support_only,j8_fast_target,target_off,J0_Current,measured,0.007016996425049309,3643,41,41,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_fast_target,target_on,J0_Current,measured,0.007024701060157791,3647,41,41,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_fast_target,target_off,J8_SupportOnly_P1,measured,0.006982325567061144,3625,44,44,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_fast_target,target_on,J8_SupportOnly_P1,measured,0.007003513313609468,3636,44,44,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_fast_target,target_off,J8_SupportOnly_Joint,measured,0.0070266272189349116,3648,45,45,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_fast_target,target_on,J8_SupportOnly_Joint,measured,0.007032405695266272,3651,44,44,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_support_edge_target,target_off,J0_Current,measured,0.008444280078895463,4384,17,17,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_support_edge_target,target_on,J0_Current,measured,0.008446206237672584,4385,18,18,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_support_edge_target,target_off,J8_SupportOnly_P1,measured,0.008405756903353058,4364,23,23,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_support_edge_target,target_on,J8_SupportOnly_P1,measured,0.008382642998027613,4352,24,24,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_support_edge_target,target_off,J8_SupportOnly_Joint,measured,0.008174617850098619,4244,28,28,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_support_edge_target,target_on,J8_SupportOnly_Joint,measured,0.008201584072978304,4258,28,28,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,target_off,J0_Current,measured,0.0036712586291913216,1906,2,2,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,target_on,J0_Current,measured,0.003858096030571992,2003,2,2,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,target_off,J8_SupportOnly_P1,measured,0.003680889423076923,1911,2,2,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,target_on,J8_SupportOnly_P1,measured,0.0038600221893491126,2004,2,2,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,target_off,J8_SupportOnly_Joint,measured,0.003796458949704142,1971,7,7,519168,1e-06,dynamic,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,target_on,J8_SupportOnly_Joint,measured,0.003960182445759369,2056,6,6,519168,1e-06,dynamic,80.0,5.0
