split,scene_id,actual_family,role,method,required_delay,required_phase,state,fallback,fallback_reason,global_uncertain,global_decorrelated,blocker,delay_estimate_ns,delay_confidence,delay_rmse_rad,delay_deadband_inside,delay_confidence_ok,delay_fit_ok,delay_support_ok,delay_active_independent,phase_method,phase_estimate_deg_per_pulse,phase_confidence,phase_rmse_rad,phase_deadband_inside,phase_confidence_ok,phase_fit_ok,phase_active_independent,pulse_coherence,estimated_gain_db,oracle_cancellation_db,current_cancellation_db,oracle_headroom_db,recovery_ratio,fallback_opportunity_cost_db,uncertain_headroom_gt_0_5_db,uncertain_headroom_gt_1_db,old_delay_blocked,old_phase_blocked
validation,validation_001,M1,target_on,J1_D3_delay_only,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,8.571205855416604,0.8071049852306557,0.07669620734442774,False,True,True,True,False,P1,0.005953367687470491,0.31644107775019403,0.005607240169487363,True,True,True,False,0.7964860970135018,0.0,17.2157862513852,13.2196998169938,3.996086434391401,0.0,3.996086434391401,False,False,True,False
validation,validation_001,M1,target_on,J2_P1_phase_only,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,8.571205855416604,0.8071049852306557,0.07669620734442774,False,True,True,True,False,P1,0.005953367687470491,0.31644107775019403,0.005607240169487363,True,True,True,False,0.7964860970135018,0.0,17.2157862513852,13.2196998169938,3.996086434391401,0.0,3.996086434391401,False,False,True,False
validation,validation_001,M1,target_on,J3_D3_P1_joint,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,8.571205855416604,0.8071049852306557,0.07669620734442774,False,True,True,True,False,P1,0.005953367687470491,0.31644107775019403,0.005607240169487363,True,True,True,False,0.7964860970135018,0.0,17.2157862513852,13.2196998169938,3.996086434391401,0.0,3.996086434391401,False,False,True,False
validation,validation_001,M1,target_on,J4_D3_P2_joint,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,8.571205855416604,0.8071049852306557,0.07669620734442774,False,True,True,True,False,P2,0.006239692763159523,0.3809748125481002,0.005529110431062045,True,True,True,False,0.7964860970135018,0.0,17.2157862513852,13.2196998169938,3.996086434391401,0.0,3.996086434391401,False,False,True,False
validation,validation_001,M1,target_off,J1_D3_delay_only,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,8.57784160137376,0.80788003138474,0.07672428154385993,False,True,True,True,False,P1,0.00597686198495258,0.31868842058448155,0.0055997679921680876,True,True,True,False,0.7965011043802366,0.0,17.2185445148601,13.2278704546054,3.9906740602546993,0.0,3.9906740602546993,False,False,True,False
validation,validation_001,M1,target_off,J2_P1_phase_only,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,8.57784160137376,0.80788003138474,0.07672428154385993,False,True,True,True,False,P1,0.00597686198495258,0.31868842058448155,0.0055997679921680876,True,True,True,False,0.7965011043802366,0.0,17.2185445148601,13.2278704546054,3.9906740602546993,0.0,3.9906740602546993,False,False,True,False
validation,validation_001,M1,target_off,J3_D3_P1_joint,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,8.57784160137376,0.80788003138474,0.07672428154385993,False,True,True,True,False,P1,0.00597686198495258,0.31868842058448155,0.0055997679921680876,True,True,True,False,0.7965011043802366,0.0,17.2185445148601,13.2278704546054,3.9906740602546993,0.0,3.9906740602546993,False,False,True,False
validation,validation_001,M1,target_off,J4_D3_P2_joint,True,False,DECORRELATED,True,state_decorrelated,False,True,coherence,8.57784160137376,0.80788003138474,0.07672428154385993,False,True,True,True,False,P2,0.006251583602567474,0.3833500348498605,0.005508592896023083,True,True,True,False,0.7965011043802366,0.0,17.2185445148601,13.2278704546054,3.9906740602546993,0.0,3.9906740602546993,False,False,True,False
validation,validation_002,M2,target_on,J1_D3_delay_only,False,True,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.12298697371819844,0.001557185739483713,0.08082018454745278,True,True,True,True,False,P1,-0.2135911862592605,0.9997181313408529,0.002349092982512057,False,True,True,True,0.8608060736916179,0.0,23.7208495471263,23.0723598982814,0.6484896488448975,0.0,0.6484896488448975,False,False,False,False
validation,validation_002,M2,target_on,J2_P1_phase_only,False,True,CALIBRATABLE,False,,False,False,none,-0.12298697371819844,0.001557185739483713,0.08082018454745278,True,True,True,True,False,P1,-0.2135911862592605,0.9997181313408529,0.002349092982512057,False,True,True,True,0.8608060736916179,0.017301074973197217,23.7208495471263,23.0723598982814,0.6484896488448975,0.02667903027290294,0.6484896488448975,False,False,False,False
