id,label,seed,delay_ns,phase_deg,rho,squint_deg,range_bin,snr_db,ve_mps,vn_mps,texture_sigma,family,level,parameter,value,scenario,simulate_exit_code,gmticore_exit_code,audit_exit_code,status,raw_sha256,same_as_zero_baseline,manifest,residual_summary,coherence_gate_pass_fraction,coherence_gate_bypass_fraction,rho_median,phase_rmse_rad,phase_signature,wideband_delay_ns,amplitude_median_db,csi_rmse_rad,csi_coherence,csi_cancellation_db,p38_k_rad_per_hz,p38_b_rad,gate_rows,gate_bypassed_rows,gate_coherence_mean,cfar_hit_cells,cfar_clusters,cfar_selected,truth_phase_slope_deg_per_pulse,truth_effective_shift_samples,estimator_exit_code,design_label,case_id,estimator_records
m1m2_ood_a,M1+M2,2026091021,2.083333333333333,0.05,1.0,-0.55,192,3.0,-20.0,9.0,0.35,M1+M2,m1m2_ood_a,channel_impairments.channel_time_delay_ns,2.083333333333333,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_a/scenario.json,0,0,0,pass,4e956effa79db8ee69813fadad538293ad0c811b635e61110b30fe82d631bc6a,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_a/stage2/algorithm_result/period_0000/csi_metrics/20260910_171412_636770/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_a/residual_texture/residual_texture_summary.json,1.0,0.0,0.9835354817162418,0.22510134375274538,nonlinear_or_mixed_trend,0.07143317669346802,1.047361882939578,0.0671046592025556,0.997952917535655,23.8565993091753,0.00100607250351459,-0.00248450529761612,39,0,0.972253,2841,73,73,0.05000000000000001,0.12499999999999997,0,M1+M2,m1m2_ood_a,2
m1m2_ood_b,M1+M2,2026091022,8.333333333333334,0.5,1.0,0.55,768,-3.0,-6.0,16.0,0.55,M1+M2,m1m2_ood_b,channel_impairments.channel_time_delay_ns,8.333333333333334,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_b/scenario.json,0,0,0,pass,954b7c9d537598466ff6dc9ff87c7fc4ea58f7b3a3802caa097b857b69dec07b,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_b/stage2/algorithm_result/period_0000/csi_metrics/20260910_171650_581419/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_b/residual_texture/residual_texture_summary.json,1.0,0.0,0.8516125704521187,0.8139830652082821,nonlinear_or_mixed_trend,-1.2737739907394956,3.9710670555638004,0.260751567401199,0.973403494407201,12.7413690288834,0.000995062640868127,-0.00141954480204731,39,0,0.839868,2114,24,24,0.5,0.5000000000000001,0,M1+M2,m1m2_ood_b,2
m1m2_ood_c,M1+M2,2026091023,4.166666666666667,0.2,1.0,0.25,1280,0.0,-12.0,4.0,0.4,M1+M2,m1m2_ood_c,channel_impairments.channel_time_delay_ns,4.166666666666667,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_c/scenario.json,0,0,0,pass,71b09b0eb6a28ebfabe3d470d3fddbc8d87cad6819399a3af4d21ce41a05f760,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_c/stage2/algorithm_result/period_0000/csi_metrics/20260910_171655_762676/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_c/residual_texture/residual_texture_summary.json,1.0,0.0,0.9663176292497518,0.31990671658674347,nonlinear_or_mixed_trend,0.14923779001574297,2.10353150559842,0.093070533577822,0.996262670567018,21.2640148943689,0.00103650754317641,-0.00417852308601141,39,0,0.955909,2430,45,45,0.20000000000000004,0.25000000000000006,0,M1+M2,m1m2_ood_c,2
m1m3_ood_a,M1+M3,2026091024,2.083333333333333,0.0,0.99,-0.45,256,3.0,-18.0,7.0,0.35,M1+M3,m1m3_ood_a,channel_impairments.channel_time_delay_ns,2.083333333333333,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_a/scenario.json,0,0,0,pass,aca6a20581eb8f55be8675e5d0fbe21da8a4ef93ee36d13492a9c637e41335fc,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_a/stage2/algorithm_result/period_0000/csi_metrics/20260910_171701_556129/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_a/residual_texture/residual_texture_summary.json,1.0,0.0,0.9785049654200147,0.36028830214751295,nonlinear_or_mixed_trend,0.4226624639214776,0.9708201835902607,0.147340522631885,0.990393985485381,16.9879223225224,0.00189904228318483,0.000632938113994896,39,0,0.947859,2170,6,6,0.0,0.12499999999999997,0,M1+M3,m1m3_ood_a,1
m1m3_ood_b,M1+M3,2026091025,8.333333333333334,0.0,0.8,0.45,896,-3.0,-8.0,14.0,0.55,M1+M3,m1m3_ood_b,channel_impairments.channel_time_delay_ns,8.333333333333334,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_b/scenario.json,0,0,0,pass,4630171115f5b6207d36dee0b15f0cb3a2b79a6c15a800f1f66bc92579cbae0f,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_b/stage2/algorithm_result/period_0000/csi_metrics/20260910_171706_163617/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_b/residual_texture/residual_texture_summary.json,1.0,0.0,0.7848189272172207,0.8490100689029371,constant_offset_or_random_residual,-2.4365006261396447,3.5526764636331682,0.548058807922151,0.868674686932588,5.80562260706015,0.00640123710036278,-0.0418699868023396,39,0,0.774777,2400,2,2,0.0,0.5000000000000001,0,M1+M3,m1m3_ood_b,1
m1m3_ood_c,M1+M3,2026091026,4.166666666666667,0.0,0.95,0.2,1408,0.0,-12.0,4.0,0.4,M1+M3,m1m3_ood_c,channel_impairments.channel_time_delay_ns,4.166666666666667,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_c/scenario.json,0,0,0,pass,f883dcd23e72b9747137e1bdb96f0200704883c5f1c43f9766aef669fbaf16a5,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_c/stage2/algorithm_result/period_0000/csi_metrics/20260910_171710_731455/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_c/residual_texture/residual_texture_summary.json,1.0,0.0,0.9319767228619744,0.5278964501525908,constant_offset_or_random_residual,0.701289114790206,1.9036980904502503,0.287150468107553,0.961752302554806,11.148372442468,0.00376324006356299,-0.0403322577476501,39,0,0.901499,2065,0,0,0.0,0.25000000000000006,0,M1+M3,m1m3_ood_c,1
m2m3_ood_a,M2+M3,2026091027,0.0,0.05,0.99,-0.4,320,3.0,-20.0,9.0,0.35,M2+M3,m2m3_ood_a,channel_impairments.per_pulse_phase_drift_deg,0.05,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_a/scenario.json,0,0,0,pass,efd431405e844598900b462974d8d8adbd2d75d4fdeaba19eacb406eeb1aca6b,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_a/stage2/algorithm_result/period_0000/csi_metrics/20260910_171715_678170/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_a/residual_texture/residual_texture_summary.json,1.0,0.0,0.9815753340443786,0.3199383360967521,constant_offset_or_random_residual,-0.10397860128959957,-0.09763390265919678,0.132760003531,0.991811862068964,17.8263390800607,0.00196965271607041,-0.0071194157935679,39,0,0.947983,2087,7,7,0.05000000000000001,0.0,0,M2+M3,m2m3_ood_a,1
m2m3_ood_b,M2+M3,2026091028,0.0,0.5,0.8,0.4,1024,-3.0,-6.0,16.0,0.55,M2+M3,m2m3_ood_b,channel_impairments.per_pulse_phase_drift_deg,0.5,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_b/scenario.json,0,0,0,pass,efc7b46bee266629a15fc82bb93aa17af893c8e14bb50b5b090370b6862cafd9,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_b/stage2/algorithm_result/period_0000/csi_metrics/20260910_171720_202915/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_b/residual_texture/residual_texture_summary.json,1.0,0.0,0.8839059767255818,0.619420252627007,nonlinear_or_mixed_trend,-0.4554750643160965,-0.03243790713112656,0.411273526925367,0.922314401174709,8.07025374205368,0.00671361619606614,-0.0701999515295029,39,0,0.880786,2383,5,5,0.5,0.0,0,M2+M3,m2m3_ood_b,1
m2m3_ood_c,M2+M3,2026091029,0.0,0.2,0.95,0.2,1536,0.0,-12.0,4.0,0.4,M2+M3,m2m3_ood_c,channel_impairments.per_pulse_phase_drift_deg,0.2,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_c/scenario.json,0,0,0,pass,04e5b0b0b793c39438321a1d4a059a6dd23cb2d990262f06d28b81587ec2c69f,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_c/stage2/algorithm_result/period_0000/csi_metrics/20260910_171724_847854/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_c/residual_texture/residual_texture_summary.json,1.0,0.0,0.935348308021629,0.47209063134755036,constant_offset_or_random_residual,0.17591467460537147,-0.01459500143862054,0.258395635545782,0.968521501657663,11.9965872956578,0.0036347471177578,-0.021468972787261,39,0,0.907391,2201,7,7,0.20000000000000004,0.0,0,M2+M3,m2m3_ood_c,1
all_ood_a,M1+M2+M3,2026091030,2.083333333333333,0.05,0.99,-0.35,448,3.0,-18.0,7.0,0.35,M1+M2+M3,all_ood_a,channel_impairments.channel_time_delay_ns,2.083333333333333,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_a/scenario.json,0,0,0,pass,1411add3f4397f896fe0990052d226e3da58a9009992b298a6bce86afc66358f,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_a/stage2/algorithm_result/period_0000/csi_metrics/20260910_171729_644681/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_a/residual_texture/residual_texture_summary.json,1.0,0.0,0.9720666027792197,0.3648411855860067,nonlinear_or_mixed_trend,0.26309416482750997,0.9562676436972259,0.141642580553247,0.990821162675124,17.3615748165355,0.00174595485441387,-0.00977616291493177,39,0,0.945087,2004,2,2,0.05000000000000001,0.12499999999999997,0,M1+M2+M3,all_ood_a,2
all_ood_b,M1+M2+M3,2026091031,4.166666666666667,0.2,0.95,0.35,1152,-3.0,-8.0,14.0,0.55,M1+M2+M3,all_ood_b,channel_impairments.channel_time_delay_ns,4.166666666666667,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_b/scenario.json,0,0,0,pass,e8f92bc6e2611a04beb49f28e19b73f4b62499f9c012c6f8b130cd4c60da7d2e,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_b/stage2/algorithm_result/period_0000/csi_metrics/20260910_171734_698307/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_b/residual_texture/residual_texture_summary.json,1.0,0.0,0.9309824442947998,0.5457735653081418,constant_offset_or_random_residual,0.5218477822180707,1.9247641813097982,0.2981827969358,0.958952294770986,10.8319444681379,0.00347604253329337,-0.0368837751448154,39,0,0.896725,2071,5,5,0.20000000000000004,0.25000000000000006,0,M1+M2+M3,all_ood_b,2
all_ood_c,M1+M2+M3,2026091032,8.333333333333334,0.2,0.95,0.2,1664,0.0,-12.0,4.0,0.4,M1+M2+M3,all_ood_c,channel_impairments.channel_time_delay_ns,8.333333333333334,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_c/scenario.json,0,0,0,pass,e1f62edab7a4696d32fe8a858cc3dbd8536ba727b110de17462cdbfc6437e7b5,False,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_c/stage2/algorithm_result/period_0000/csi_metrics/20260910_171739_696316/csi_roi_manifest.csv,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_c/residual_texture/residual_texture_summary.json,1.0,0.0,0.8279786785770369,0.772916634373778,constant_offset_or_random_residual,-1.7667187062112004,3.6883493910451026,0.414424665992369,0.925852799118498,8.28492050873353,0.00383080495521426,-0.0384874902665615,39,0,0.804137,1988,0,0,0.20000000000000004,0.5000000000000001,0,M1+M2+M3,all_ood_c,2
