actual_mechanism,predicted_mechanism,diagnosis,confidence,confidence_bucket,source
M1+M2,M2,phase_drift_like,0.6092467790192411,medium,
M1+M2,M1,delay_like,0.8818534957606659,high,
M1+M2,M2,phase_drift_like,0.7349080124523178,medium,
M1+M3,M3,decorrelation_like,0.540735861598342,medium,
M1+M3,M1,delay_like,0.8734319928046306,high,
M1+M3,unknown_mixed,unknown_mixed,0.7307854964894773,medium,
M2+M3,M2,phase_drift_like,0.8875353012995516,high,
M2+M3,M2,phase_drift_like,0.9502737055149637,high,
M2+M3,M2,phase_drift_like,0.9100012077465226,high,
M1+M2+M3,M2,phase_drift_like,0.6006324568022297,medium,
M1+M2+M3,M2,phase_drift_like,0.7052179895733883,medium,
M1+M2+M3,M1,delay_like,0.8618805096823527,high,
