expert,search_stage,regions,delta_a_saturation_count,delta_phase_saturation_count,gate_saturation_count,delta_a_saturation_fraction,delta_phase_saturation_fraction,gate_saturation_fraction,delta_a_bound,delta_phase_bound_rad
current_p38,initial,24,0,0,24,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,58,0,0,58,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,44,0,0,44,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,30,0,0,30,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,57,0,0,57,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,62,0,0,62,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,21,0,0,21,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,88,0,0,88,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,54,0,0,54,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,32,0,0,32,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,55,0,0,55,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,43,0,0,43,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,21,0,0,21,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,58,0,0,58,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,50,0,0,50,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,3,0,0,3,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,64,0,0,64,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,50,0,0,50,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,31,0,0,31,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,54,0,0,54,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,46,0,0,46,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,23,0,0,23,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,62,0,0,62,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,43,0,0,43,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,29,0,0,29,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,58,0,0,58,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,56,0,0,56,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,8,0,0,8,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,86,0,0,86,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,63,0,0,63,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,8,0,0,8,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,27,0,0,27,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,20,0,0,20,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,4,0,0,4,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,65,0,0,65,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,52,0,0,52,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,3,0,0,3,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,80,0,0,80,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,66,0,0,66,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,6,0,0,6,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,92,0,0,92,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,65,0,0,65,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,7,0,0,7,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,80,0,0,80,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,60,0,0,60,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
current_p38,initial,3,0,0,3,0.0,0.0,1.0,0.5,0.7853981633974483
row_ls,initial,63,0,0,63,0.0,0.0,1.0,0.5,0.7853981633974483
robust_row_ls,initial,53,0,0,53,0.0,0.0,1.0,0.5,0.7853981633974483
overall,initial,0,0,0,0,0.0,0.0,0.0,0.5,0.7853981633974483
