feature,outcome,n,pearson,spearman
p38_slope_rad_per_hz,oracle_gain_over_current_dB,3472,nan,nan
p38_intercept_rad,oracle_gain_over_current_dB,3472,nan,nan
p38_rmse_rad,oracle_gain_over_current_dB,3472,nan,nan
p38_inlier_count,oracle_gain_over_current_dB,3472,nan,nan
coherence_mean,oracle_gain_over_current_dB,3472,nan,nan
F1_F2_energy_ratio_dB,oracle_gain_over_current_dB,3472,nan,nan
phase_residual_mean_rad,oracle_gain_over_current_dB,3472,nan,nan
phase_variance_rad2,oracle_gain_over_current_dB,3472,nan,nan
valid_sample_fraction,oracle_gain_over_current_dB,3472,nan,nan
texture_heterogeneity_cv,oracle_gain_over_current_dB,3472,nan,nan
distance_to_clutter_ridge_hz,oracle_gain_over_current_dB,3472,nan,nan
distance_to_support_edge_rows,oracle_gain_over_current_dB,3472,nan,nan
local_residual_tail_p95_dB,oracle_gain_over_current_dB,3472,nan,nan
robust_lsq_condition_number,oracle_gain_over_current_dB,3472,nan,nan
robust_lsq_confidence,oracle_gain_over_current_dB,3472,nan,nan
p38_slope_rad_per_hz,diagnostic_best_scnr_gain_dB,3472,0.0013978422148984721,-0.014560514726121828
p38_intercept_rad,diagnostic_best_scnr_gain_dB,3472,-0.022614103176443533,0.013794474742781932
p38_rmse_rad,diagnostic_best_scnr_gain_dB,3472,0.0205168879800612,0.05114204313351544
p38_inlier_count,diagnostic_best_scnr_gain_dB,3472,-0.014045251607456427,-0.03924565387053502
coherence_mean,diagnostic_best_scnr_gain_dB,3472,-0.0156664222345725,-0.04102694497730606
F1_F2_energy_ratio_dB,diagnostic_best_scnr_gain_dB,3472,0.005878266232388546,0.003592790710758733
phase_residual_mean_rad,diagnostic_best_scnr_gain_dB,3472,-0.0023763801263144892,-0.015147740739663209
phase_variance_rad2,diagnostic_best_scnr_gain_dB,3472,0.023663948189419057,0.04445837509359455
valid_sample_fraction,diagnostic_best_scnr_gain_dB,3472,-0.016026610389236903,-0.021046877616273392
texture_heterogeneity_cv,diagnostic_best_scnr_gain_dB,3472,-0.0029698226629055963,-0.005558299639690674
distance_to_clutter_ridge_hz,diagnostic_best_scnr_gain_dB,3472,0.018437169443972994,0.024648368463704974
distance_to_support_edge_rows,diagnostic_best_scnr_gain_dB,3472,-0.01843716944397293,-0.024648368463704974
local_residual_tail_p95_dB,diagnostic_best_scnr_gain_dB,3472,0.036915522238217625,0.03813405037240661
robust_lsq_condition_number,diagnostic_best_scnr_gain_dB,3472,-0.0097949538272396,-0.01862214680585568
robust_lsq_confidence,diagnostic_best_scnr_gain_dB,3472,-0.019058740615656346,-0.0380436928883981
