scope,group,region_count,case_count,seed_count,adaptive_worthwhile_count,adaptive_worthwhile_fraction,current_pareto_optimal_fraction,diagnostic_best_scnr_positive_fraction,diagnostic_best_scnr_gt_025db_fraction,primary_expert_mode,oracle_gain_over_current_dB_mean,oracle_gain_over_current_dB_median,oracle_gain_over_current_dB_p95,oracle_gain_over_current_dB_ci95_low,oracle_gain_over_current_dB_ci95_high,oracle_delta_target_preservation_dB_mean,oracle_delta_target_preservation_dB_median,oracle_delta_target_preservation_dB_p95,oracle_delta_target_preservation_dB_ci95_low,oracle_delta_target_preservation_dB_ci95_high,oracle_delta_residual_p95_dB_mean,oracle_delta_residual_p95_dB_median,oracle_delta_residual_p95_dB_p95,oracle_delta_residual_p95_dB_ci95_low,oracle_delta_residual_p95_dB_ci95_high,oracle_delta_residual_p99_dB_mean,oracle_delta_residual_p99_dB_median,oracle_delta_residual_p99_dB_p95,oracle_delta_residual_p99_dB_ci95_low,oracle_delta_residual_p99_dB_ci95_high,oracle_delta_residual_cvar95_dB_mean,oracle_delta_residual_cvar95_dB_median,oracle_delta_residual_cvar95_dB_p95,oracle_delta_residual_cvar95_dB_ci95_low,oracle_delta_residual_cvar95_dB_ci95_high,oracle_delta_background_pfa_mean,oracle_delta_background_pfa_median,oracle_delta_background_pfa_p95,oracle_delta_background_pfa_ci95_low,oracle_delta_background_pfa_ci95_high,oracle_delta_detection_margin_dB_mean,oracle_delta_detection_margin_dB_median,oracle_delta_detection_margin_dB_p95,oracle_delta_detection_margin_dB_ci95_low,oracle_delta_detection_margin_dB_ci95_high,diagnostic_best_scnr_gain_dB_mean,diagnostic_best_scnr_gain_dB_median,diagnostic_best_scnr_gain_dB_p95,diagnostic_best_scnr_gain_dB_ci95_low,diagnostic_best_scnr_gain_dB_ci95_high,diagnostic_best_scnr_target_preservation_dB_mean,diagnostic_best_scnr_target_preservation_dB_median,diagnostic_best_scnr_target_preservation_dB_p95,diagnostic_best_scnr_target_preservation_dB_ci95_low,diagnostic_best_scnr_target_preservation_dB_ci95_high,diagnostic_best_scnr_delta_residual_p95_dB_mean,diagnostic_best_scnr_delta_residual_p95_dB_median,diagnostic_best_scnr_delta_residual_p95_dB_p95,diagnostic_best_scnr_delta_residual_p95_dB_ci95_low,diagnostic_best_scnr_delta_residual_p95_dB_ci95_high,diagnostic_best_scnr_delta_residual_cvar95_dB_mean,diagnostic_best_scnr_delta_residual_cvar95_dB_median,diagnostic_best_scnr_delta_residual_cvar95_dB_p95,diagnostic_best_scnr_delta_residual_cvar95_dB_ci95_low,diagnostic_best_scnr_delta_residual_cvar95_dB_ci95_high,diagnostic_best_scnr_delta_background_pfa_mean,diagnostic_best_scnr_delta_background_pfa_median,diagnostic_best_scnr_delta_background_pfa_p95,diagnostic_best_scnr_delta_background_pfa_ci95_low,diagnostic_best_scnr_delta_background_pfa_ci95_high,diagnostic_best_scnr_delta_detection_margin_dB_mean,diagnostic_best_scnr_delta_detection_margin_dB_median,diagnostic_best_scnr_delta_detection_margin_dB_p95,diagnostic_best_scnr_delta_detection_margin_dB_ci95_low,diagnostic_best_scnr_delta_detection_margin_dB_ci95_high,diagnostic_max_target_preservation_dB_mean,diagnostic_max_target_preservation_dB_median,diagnostic_max_target_preservation_dB_p95,diagnostic_max_target_preservation_dB_ci95_low,diagnostic_max_target_preservation_dB_ci95_high,diagnostic_min_residual_p95_dB_mean,diagnostic_min_residual_p95_dB_median,diagnostic_min_residual_p95_dB_p95,diagnostic_min_residual_p95_dB_ci95_low,diagnostic_min_residual_p95_dB_ci95_high,diagnostic_min_residual_cvar95_dB_mean,diagnostic_min_residual_cvar95_dB_median,diagnostic_min_residual_cvar95_dB_p95,diagnostic_min_residual_cvar95_dB_ci95_low,diagnostic_min_residual_cvar95_dB_ci95_high,diagnostic_min_background_pfa_mean,diagnostic_min_background_pfa_median,diagnostic_min_background_pfa_p95,diagnostic_min_background_pfa_ci95_low,diagnostic_min_background_pfa_ci95_high,diagnostic_max_detection_margin_dB_mean,diagnostic_max_detection_margin_dB_median,diagnostic_max_detection_margin_dB_p95,diagnostic_max_detection_margin_dB_ci95_low,diagnostic_max_detection_margin_dB_ci95_high
factor_family,channel_amp,224,1,1,0,0.0,0.6964285714285714,0.0,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03769975342551141,0.0,0.0,-0.10942661628271491,0.03402710943169209,0.00359803662675046,0.0,0.0,-0.0031789062628501965,0.010374979516351116,-0.1812635521895527,0.0,0.3932334643119793,-0.3517292178633197,-0.010797886515785754,-0.2820941178508806,0.0,0.055045103960301905,-0.47133754686782803,-0.09285068883393321,0.0006466268271549126,0.0,0.0,-0.0008858674326735816,0.0021791210869834066,0.004563156183739243,0.0,0.0,-0.004380465592038139,0.013506777959516625,0.06588749318591391,0.0,0.0,-0.038897892043912585,0.17067287841574041,-0.1812635521895527,0.0,0.3932334643119793,-0.3517292178633197,-0.010797886515785754,-0.3501337136233285,0.0,0.0035363426755854396,-0.5447700249702441,-0.15549740227641298,0.0005594337467977698,0.0,0.0,-0.0009793813409185842,0.002098248834514124,0.07041094687028814,0.0,0.0,-0.05114656551270337,0.19196845925327966
factor_family,channel_phase,224,1,1,0,0.0,0.7901785714285714,0.0,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002103204468427774,0.0,0.0,-0.004970200922718569,0.0007637919858630208,0.00036730896098232816,0.0,0.0,-6.999424988334593e-05,0.0008046121718480023,-0.18219920992115637,0.0,0.4659140583115138,-0.26354199613875084,-0.10085642370356188,-0.25113477127943795,0.0,0.08459939539318154,-0.3412372476867728,-0.16103229487210308,-0.0004040445465698063,0.0,0.0,-0.0006285610507867903,-0.00017952804235282232,0.0,0.0,0.0,0.0,0.0,0.035052365537786005,0.0,0.0,-0.01398660143505625,0.08409133251062825,-0.1826410967482007,0.0,0.461706019461328,-0.26392401169812696,-0.10135818179827447,-0.31894944963484767,0.0,0.0,-0.4167929230443682,-0.22110597622532713,-0.0006671821320561285,0.0,0.0,-0.000945487850450544,-0.000388876413661713,0.034779489343771765,0.0,0.0,-0.014277776894085603,0.08383675558162913
factor_family,geometry,224,1,1,0,0.0,0.7857142857142857,0.0,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002263565460671635,0.0,0.0,-0.005425490833355858,0.0008983599120125883,3.6163608952184082e-06,0.0,0.0,-1.590343876701628e-06,8.823065667138445e-06,-0.1531804264932483,0.0,0.5155169486416482,-0.22676523659249398,-0.07959561639400266,-0.2785067044916641,0.0,0.1108565833946941,-0.37208181410455826,-0.18493159487876992,-0.0005570976391667629,0.0,0.0,-0.0008482605357370309,-0.000265934742596495,0.00025056286999376135,0.0,0.0,-0.00024053133104696663,0.0007416570710344893,0.05261258789130934,0.0,0.0,-0.03363823925871575,0.13886341504133443,-0.15381483464278214,0.0,0.5155169486416482,-0.2272284643948863,-0.08040120489067797,-0.3570571882705212,0.0,0.0,-0.46007082377437525,-0.2540435527666671,-0.0006980046002502468,0.0,0.0,-0.0009962757689429438,-0.0003997334315575496,0.05931542909702519,0.0,0.0,-0.044460090353803584,0.16309094854785397
factor_family,mixed_lhs,1472,7,7,0,0.0,0.688858695652174,0.0020380434782608695,0.001358695652173913,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017926115227957392,0.0,0.0,-0.0010475487507886469,0.004632771796380125,0.004877646758724361,0.0,0.0,-0.0008369207185350549,0.010592214235983777,-0.4433736510162719,0.0,0.0,-0.5037335920874055,-0.3830137099451382,-0.5075070708202275,0.0,0.0,-0.5708722364467061,-0.4441419051937488,3.487802172254164e-05,0.0,0.0,-0.00030526952820350735,0.00037502557164859063,0.006305139686295231,0.0,0.0,-0.0014989537547981024,0.014109233127388564,0.02004158948875061,0.0,0.0,-0.00024579245957674634,0.04032897143707797,-0.47023784525631446,0.0,0.0,-0.5179686402654714,-0.4225070502471575,-0.6423105073715257,0.0,0.0,-0.7006560431105164,-0.583964971632535,-0.00033976830184938257,0.0,0.0,-0.0004138567922224124,-0.00026567981147635275,0.02562889252406781,0.0,0.0,-0.0010528961632312837,0.05231068121136691
factor_family,nominal,224,1,1,0,0.0,0.8303571428571429,0.004464285714285714,0.004464285714285714,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443279022205554e-05,0.0,0.0,-0.003444618911941118,0.003553484492385229,0.0005820698474152437,0.0,0.0,-9.889013904400116e-05,0.0012630298338744887,-0.03782959692126242,0.0,0.5573173501301959,-0.15817843878941468,0.08251924494688985,-0.1395621661392705,0.0,0.1688331793437786,-0.2869137906594803,0.007789458380939307,0.0008417286046732524,0.0,0.0,-0.0012533295968524126,0.0029367868061989173,0.0,0.0,0.0,0.0,0.0,0.0331333695289895,0.0,0.0,-0.014512367260737208,0.08077910631871621,-0.0843206502775107,0.0,0.5482775473651675,-0.15043701161559647,-0.018204288939424954,-0.22923334337351825,0.0,0.03550516644253688,-0.3101995667443538,-0.14826712000268275,-0.00044031981122471874,0.0,0.0,-0.0006487098677858212,-0.00023192975466361632,0.032575955322316975,0.0,0.0,-0.01519765612482156,0.08034956676945551
factor_family,phase_jitter,224,1,1,0,0.0,0.7857142857142857,0.0,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006060452425103875,0.0,0.0,-0.015657606454027174,0.003536701603819423,0.00044233990508558773,0.0,0.0,-0.0002491928198620484,0.001133872630033224,-0.17869430487199553,0.0,0.37080610844166745,-0.2627238626409765,-0.09466474710301455,-0.21281949813178327,0.0,0.0,-0.2922263420173108,-0.13341265424625573,-0.000453564329759981,0.0,0.0,-0.0008841513865007511,-2.2977273019210843e-05,0.0,0.0,0.0,0.0,0.0,0.03382495764164817,0.0,0.0,-0.014493035955633012,0.08214295123892934,-0.17885889100928384,0.0,0.37080610844166745,-0.2628556808656531,-0.09486210115291462,-0.278500188323202,0.0,0.0,-0.36437746075617,-0.192622915890234,-0.0007573315893402204,0.0,0.0,-0.001187200424815482,-0.0003274627538649588,0.02879533105832921,0.0,0.0,-0.011877473914877583,0.06946813603153601
factor_family,target_snr,224,1,1,0,0.0,0.8125,0.004464285714285714,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0204986801388366,0.0,0.0,-0.060359502889109795,0.019362142611436595,0.0013424198287380815,0.0,0.0,-0.0011959781503999617,0.0038808178078761245,-0.06476748948378333,0.0,0.7200879302417011,-0.2079741183485528,0.07843913938098615,-0.1720558223286615,0.0,0.018280014161697403,-0.31486799725653203,-0.029243647400790967,0.0005564773698708207,0.0,0.0,-0.001070564613881031,0.0021835193536226725,0.0024247359257730133,0.0,0.0,-0.0019229264777723414,0.006772398329318368,0.05827760998403152,0.0,0.0,-0.03630860965797893,0.15286382962604195,-0.06952453785216774,0.0,0.6844891450621927,-0.21218507961048455,0.07313600390614906,-0.2401227546435045,0.0,0.0,-0.3867138118013197,-0.09353169748568929,0.00032697929591813833,0.0,0.0,-0.0012964440820502523,0.001950402673886529,0.23301189143309578,0.0,0.0,-0.030193610285113665,0.4962173931513052
factor_family,target_velocity,208,1,1,0,0.0,0.7644230769230769,0.0,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22215866550808566,0.0,0.24426304848646213,-0.3157918534614587,-0.1285254775547126,-0.309223798027547,0.0,0.0,-0.40961927106543694,-0.2088283249896571,-0.0004582490212187602,0.0,0.0,-0.0007047652280017836,-0.0002117328144357368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22215866550808566,0.0,0.24426304848646213,-0.3157918534614587,-0.1285254775547126,-0.37852830248870944,0.0,0.0,-0.48518608980784705,-0.27187051516957184,-0.000628947670973261,0.0,0.0,-0.0008932068754175452,-0.0003646884665289768,0.0,0.0,0.0,0.0,0.0
factor_family,texture,224,1,1,0,0.0,0.8839285714285714,0.013392857142857142,0.004464285714285714,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032275327489160732,0.0,0.0,-0.0014215068184391692,0.007876572316271317,0.0017235949857700042,0.0,0.0,-0.0002316194192681306,0.0036788093908081392,0.0036742685656086832,0.0,1.1888677055453423,-0.17231145638483722,0.17965999351605458,-0.22147685915187418,0.0,1.242541301814064,-0.4724100015223106,0.029456283218562224,0.0013251745095257332,0.0,0.004219409282700422,4.547438902739579e-05,0.0026048746300240703,0.0011526194291882857,0.0,0.0,-0.0011064731398557023,0.0034117119982322737,0.05482861074120788,0.0,0.0,-0.03556053882003806,0.1452177603024538,-0.07016727805802334,0.0,0.9402616209095599,-0.19910675631331032,0.058772200197263647,-0.45647012005506804,0.0,0.7148530063516838,-0.717619316418204,-0.1953209236919321,0.0003296150490394111,0.0,0.00390625,-0.0005253666711954629,0.0011845967692742851,0.11470270988841905,0.0,0.0,-0.04464298635837488,0.274048406135213
factor_family,valid_fraction,224,1,1,0,0.0,0.7142857142857143,0.0,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007176887758382322,0.0,0.0,-0.01577016356498629,0.0014163880482216482,0.0021590317747621607,0.0,0.0,-0.000967821785281632,0.0052858853348059535,-0.7140220041272534,0.0,0.0,-0.8907795413945891,-0.5372644668599176,-0.7835014659635906,0.0,0.0,-0.9703491413177787,-0.5966537906094025,-0.0004375237462006079,0.0,0.0,-0.0007368961038087586,-0.0001381513885924572,0.0,0.0,0.0,0.0,0.0,0.04876806894230799,0.0,0.0,-0.019210527399504226,0.11674666528412021,-0.7141141775134975,0.0,0.0,-0.8908439315775765,-0.5373844234494185,-0.8841341517819113,0.0,0.0,-1.090123084922195,-0.6781452186416276,-0.0004724009783434651,0.0,0.0,-0.000774765021919644,-0.00017003693476728613,0.03550582251907516,0.0,0.0,-0.030183833320908453,0.10119547835905876
