case_id,run_id,result_id,period_id,beam_id,roi_name,valid_cells,before_mean_power,after_mean_power,before_median_power,after_median_power,before_rms,after_rms,before_p95,after_p95,before_max,after_max,CA_ROI_dB,phase_model_valid_cells,phase_model_weighted_coherence,phase_model_weighted_circular_rmse_rad,phase_model_median_abs_residual_rad,phase_model_p95_abs_residual_rad,status
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,14,active_support_unmasked,237829,11782451453.9086,140446441.709768,838378368,19003206,108547.001128122,11851.0101556689,51515252736,589282496,4087933829120,48665636864,19.237249184739,237829,0.994103196673682,0.109710123488086,0.153778787932783,1.09820861216848,diagnostic_noise_and_clutter_mixed
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,14,clutter_band_strong_power_top10pct,23784,97305512675.1537,923087443.679021,51515240448,410120816,311938.315497077,30382.3541497202,317580738560,3423360512,4087933829120,48665636864,20.228946016611,237829,0.994103196673682,0.109710123488086,0.153778787932783,1.09820861216848,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,14,clutter_band_strong_power_top1pct,2380,412687482990.145,2653267590.98337,317468753920,1223456256,642407.567662574,51509.8785766708,906029432832,9447623680,4087933829120,48665636864,21.9184024446254,237829,0.994103196673682,0.109710123488086,0.153778787932783,1.09820861216848,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,14,clutter_band_strong_power_top0p1pct,239,1070838579474.21,4965209253.4593,906029432832,2187944448,1034813.3065796,70464.2409556741,1908042366976,20687159296,4087933829120,48665636864,23.3378645317942,237829,0.994103196673682,0.109710123488086,0.153778787932783,1.09820861216848,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,15,active_support_unmasked,237829,11645609669.593,157170908.243387,403511456,15116267,107914.825995286,12536.7822124893,47771959296,568448256,17302116368384,1321883402240,18.697900667677,237829,0.993259823546822,0.116806590586831,0.183024613157774,1.36493148590809,diagnostic_noise_and_clutter_mixed
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,15,clutter_band_strong_power_top10pct,23784,104300714354.739,1200691926.46387,47768995840,456057136,322956.211203221,34651.0018103931,372941848576,4354368512,17302116368384,1321883402240,19.3885569249885,237829,0.993259823546822,0.116806590586831,0.183024613157774,1.36493148590809,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,15,clutter_band_strong_power_top1pct,2380,493356450996.706,4404989103.63464,372893417472,1763874880,702393.373400337,66370.091936313,1144079777792,13331917824,17302116368384,1321883402240,20.492159728333,237829,0.993259823546822,0.116806590586831,0.183024613157774,1.36493148590809,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,15,clutter_band_strong_power_top0p1pct,239,1383641503838.26,15021618107.3662,1144079777792,3563536640,1176282.9182804,122562.710917172,2438594297856,35306835968,17302116368384,1321883402240,19.6430686390239,237829,0.993259823546822,0.116806590586831,0.183024613157774,1.36493148590809,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,16,active_support_unmasked,350697,7864656538.41909,373560861.630444,85697456,11819809,88682.8987935052,19327.7226188303,26657896448,1231038976,5889092747264,176256466944,13.2331839262327,350697,0.976257265401849,0.219570877598806,0.330321523039392,2.08857884667111,diagnostic_noise_and_clutter_mixed
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,16,clutter_band_strong_power_top10pct,35071,73680166351.6483,3322754658.22997,26656493568,1140006144,271440.90766067,57643.3401029986,286526144512,13950729216,5889092747264,176256466944,13.4585232219804,350697,0.976257265401849,0.219570877598806,0.330321523039392,2.08857884667111,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,16,clutter_band_strong_power_top1pct,3508,388083943636.506,11946459063.9676,286473584640,5777677824,622963.838145126,109299.858481005,912747659264,43167588352,5889092747264,176256466944,15.1168647558909,350697,0.976257265401849,0.219570877598806,0.330321523039392,2.08857884667111,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260909_230325_912139,GMTI01,0,16,clutter_band_strong_power_top0p1pct,352,1080727788823.27,23642477199.6032,912713449472,11500885504,1039580.58313114,153761.104313162,1984395214848,85827362816,5889092747264,176256466944,16.6002333977099,350697,0.976257265401849,0.219570877598806,0.330321523039392,2.08857884667111,formal_clutter_band_strong_roi_before_power_selected
