method,metric,scene_count,mean,median,bootstrap_ci95,bootstrap_unit
J0_Current,pfa,128,0.00815962240305643,0.00793866339990138,"[0.007722289557522805, 0.008560136272121932]",scene
J1_D3_delay_only,pfa,128,0.008165942611543854,0.008024859005177513,"[0.007730967053294888, 0.008563174674731975]",scene
J2_P1_phase_only,pfa,128,0.008160028702173479,0.007950220352564102,"[0.007722268678262625, 0.008560727851160415]",scene
J3_D3_P1_joint,pfa,128,0.008166401579064966,0.008024859005177513,"[0.007731122236985428, 0.008563950969387557]",scene
J4_D3_P2_joint,pfa,128,0.008166868070643799,0.008024859005177513,"[0.0077319888203336885, 0.008564160890598032]",scene
J5_Selective_Physics_Calibration,pfa,128,0.00816728189381857,0.008031600560897436,"[0.007730117963380832, 0.008564869092531222]",scene
J6_Joint_Phase_Surface,pfa,128,0.008161420652852256,0.007975741956360947,"[0.007723808476675662, 0.008561101984930698]",scene
J0_Current,false_clusters,128,44.09375,48.0,"[39.9056640625, 48.67626953125]",scene
J1_D3_delay_only,false_clusters,128,45.2734375,53.0,"[40.95576171875, 49.770410156249994]",scene
J2_P1_phase_only,false_clusters,128,44.140625,48.0,"[39.9453125, 48.74658203125]",scene
J3_D3_P1_joint,false_clusters,128,45.31640625,53.0,"[40.9916015625, 49.786523437499994]",scene
J4_D3_P2_joint,false_clusters,128,45.28515625,52.5,"[40.9908203125, 49.786523437499994]",scene
J5_Selective_Physics_Calibration,false_clusters,128,45.4296875,53.0,"[41.06630859375, 49.9220703125]",scene
J6_Joint_Phase_Surface,false_clusters,128,45.75390625,52.5,"[41.47646484375, 50.242578124999994]",scene
