split,scene_id,family,status,look_angle_deg,true_radial_velocity_mps,true_clutter_ridge_doppler_hz,distance_to_clutter_ridge_hz,distance_to_clutter_ridge_mps
calibration,calibration_000,zero,pass,-80.0,0.9375,103.02197802197801,103.02197802197801,0.9375
calibration,calibration_001,zero,pass,-70.0,-8.437499999999998,-927.1978021978019,927.1978021978019,8.437499999999998
calibration,calibration_002,zero,pass,-60.0,-23.4375,-2575.5494505494503,2575.5494505494503,23.4375
calibration,calibration_003,zero,pass,-50.0,30.937500000000004,3399.725274725275,3399.725274725275,30.937500000000004
calibration,calibration_004,zero,pass,-40.0,19.687499999999996,2163.461538461538,2163.461538461538,19.687499999999996
calibration,calibration_005,zero,pass,-80.0,-12.1875,-1339.2857142857142,1339.2857142857142,12.1875
calibration,calibration_006,zero,pass,-70.0,-6.5625,-721.1538461538461,721.1538461538461,6.5625
calibration,calibration_007,zero,pass,-60.0,32.8125,3605.7692307692305,3605.7692307692305,32.8125
calibration,calibration_008,zero,pass,-50.0,12.1875,1339.2857142857142,1339.2857142857142,12.1875
calibration,calibration_009,zero,pass,-40.0,-14.0625,-1545.3296703296703,1545.3296703296703,14.0625
calibration,calibration_010,zero,pass,-80.0,25.3125,2781.5934065934066,2781.5934065934066,25.3125
calibration,calibration_011,zero,pass,-70.0,-40.3125,-4429.945054945055,4429.945054945055,40.3125
calibration,calibration_012,zero,pass,-60.0,-15.9375,-1751.3736263736264,1751.3736263736264,15.9375
calibration,calibration_013,zero,pass,-50.0,8.4375,927.1978021978022,927.1978021978022,8.4375
calibration,calibration_014,zero,pass,-40.0,-0.9374999999999998,-103.02197802197799,103.02197802197799,0.9374999999999998
calibration,calibration_015,zero,pass,-80.0,38.4375,4223.9010989010985,4223.9010989010985,38.4375
calibration,calibration_016,zero,pass,-70.0,44.06249999999999,4842.032967032966,4842.032967032966,44.06249999999999
calibration,calibration_017,zero,pass,-60.0,-44.0625,-4842.032967032967,4842.032967032967,44.0625
calibration,calibration_018,zero,pass,-50.0,-19.6875,-2163.4615384615386,2163.4615384615386,19.6875
calibration,calibration_019,zero,pass,-40.0,-10.312499999999998,-1133.241758241758,1133.241758241758,10.312499999999998
calibration,calibration_020,zero,pass,-80.0,21.5625,2369.5054945054944,2369.5054945054944,21.5625
calibration,calibration_021,zero,pass,-70.0,-21.5625,-2369.5054945054944,2369.5054945054944,21.5625
calibration,calibration_022,zero,pass,-60.0,-4.6875,-515.1098901098901,515.1098901098901,4.6875
