method,metric,scene_count,mean,median,bootstrap_ci95,bootstrap_unit
J0_Current,pfa,24,0.008544721233460716,0.00879580405571992,"[0.007585954634787455, 0.009519127840121116]",scene
J1_D3_delay_only,pfa,24,0.008535250952806541,0.00879580405571992,"[0.007579406698152941, 0.009505410981288008]",scene
J2_P1_phase_only,pfa,24,0.00854660726392998,0.00879580405571992,"[0.007588774651622083, 0.009519460905076329]",scene
J3_D3_P1_joint,pfa,24,0.008537698779585799,0.00879580405571992,"[0.007580471101518839, 0.00950711844078731]",scene
J4_D3_P2_joint,pfa,24,0.008541350455600755,0.00879580405571992,"[0.007595599473580805, 0.00951496954421947]",scene
J5_Selective_Physics_Calibration,pfa,24,0.00854203263683432,0.008797248674802761,"[0.007595894416643554, 0.009516091130424063]",scene
J6_Joint_Phase_Surface,pfa,24,0.008541791866987178,0.00879580405571992,"[0.007588000175280449, 0.009515535353360248]",scene
J0_Current,false_clusters,24,39.25,40.0,"[28.478645833333335, 48.91874999999999]",scene
J1_D3_delay_only,false_clusters,24,39.458333333333336,40.0,"[28.5203125, 49.085937499999986]",scene
J2_P1_phase_only,false_clusters,24,39.354166666666664,40.5,"[28.479166666666668, 49.083333333333336]",scene
J3_D3_P1_joint,false_clusters,24,39.5625,40.5,"[28.623958333333334, 49.31302083333333]",scene
J4_D3_P2_joint,false_clusters,24,39.895833333333336,40.5,"[28.8953125, 49.52395833333332]",scene
J5_Selective_Physics_Calibration,false_clusters,24,39.833333333333336,40.5,"[28.8953125, 49.504687499999974]",scene
J6_Joint_Phase_Surface,false_clusters,24,39.9375,40.0,"[28.998958333333334, 49.52135416666667]",scene
