split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode
screen,screen_000,target_off,J0_Current,measured,0.00683401134122288,3548,62,62,519168,1e-06,dynamic
screen,screen_000,target_on,J0_Current,measured,0.006812823594674556,3537,62,62,519168,1e-06,dynamic
screen,screen_000,target_off,J1_D3_delay_only,measured,0.00683401134122288,3548,62,62,519168,1e-06,dynamic
screen,screen_000,target_on,J1_D3_delay_only,measured,0.006812823594674556,3537,62,62,519168,1e-06,dynamic
screen,screen_000,target_off,J2_P1_phase_only,measured,0.00683401134122288,3548,62,62,519168,1e-06,dynamic
screen,screen_000,target_on,J2_P1_phase_only,measured,0.006812823594674556,3537,62,62,519168,1e-06,dynamic
screen,screen_000,target_off,J3_D3_P1_joint,measured,0.00683401134122288,3548,62,62,519168,1e-06,dynamic
screen,screen_000,target_on,J3_D3_P1_joint,measured,0.006812823594674556,3537,62,62,519168,1e-06,dynamic
screen,screen_000,target_off,J4_D3_P2_joint,measured,0.00683401134122288,3548,62,62,519168,1e-06,dynamic
screen,screen_000,target_on,J4_D3_P2_joint,measured,0.006812823594674556,3537,62,62,519168,1e-06,dynamic
screen,screen_000,target_off,J5_Selective_Physics_Calibration,measured,0.00683401134122288,3548,62,62,519168,1e-06,dynamic
screen,screen_000,target_on,J5_Selective_Physics_Calibration,measured,0.006812823594674556,3537,62,62,519168,1e-06,dynamic
screen,screen_000,target_off,J6_Joint_Phase_Surface,measured,0.00683401134122288,3548,62,62,519168,1e-06,dynamic
screen,screen_000,target_on,J6_Joint_Phase_Surface,measured,0.006812823594674556,3537,62,62,519168,1e-06,dynamic
screen,screen_001,target_off,J0_Current,measured,0.010538014669625246,5471,64,64,519168,1e-06,dynamic
screen,screen_001,target_on,J0_Current,measured,0.010530310034516766,5467,64,64,519168,1e-06,dynamic
screen,screen_001,target_off,J1_D3_delay_only,measured,0.010538014669625246,5471,64,64,519168,1e-06,dynamic
screen,screen_001,target_on,J1_D3_delay_only,measured,0.010530310034516766,5467,64,64,519168,1e-06,dynamic
screen,screen_001,target_off,J2_P1_phase_only,measured,0.010538014669625246,5471,64,64,519168,1e-06,dynamic
screen,screen_001,target_on,J2_P1_phase_only,measured,0.010530310034516766,5467,64,64,519168,1e-06,dynamic
screen,screen_001,target_off,J3_D3_P1_joint,measured,0.010538014669625246,5471,64,64,519168,1e-06,dynamic
screen,screen_001,target_on,J3_D3_P1_joint,measured,0.010530310034516766,5467,64,64,519168,1e-06,dynamic
screen,screen_001,target_off,J4_D3_P2_joint,measured,0.010538014669625246,5471,64,64,519168,1e-06,dynamic
screen,screen_001,target_on,J4_D3_P2_joint,measured,0.010530310034516766,5467,64,64,519168,1e-06,dynamic
screen,screen_001,target_off,J5_Selective_Physics_Calibration,measured,0.010538014669625246,5471,64,64,519168,1e-06,dynamic
screen,screen_001,target_on,J5_Selective_Physics_Calibration,measured,0.010530310034516766,5467,64,64,519168,1e-06,dynamic
screen,screen_001,target_off,J6_Joint_Phase_Surface,measured,0.010538014669625246,5471,64,64,519168,1e-06,dynamic
screen,screen_001,target_on,J6_Joint_Phase_Surface,measured,0.010530310034516766,5467,64,64,519168,1e-06,dynamic
screen,screen_002,target_off,J0_Current,measured,0.0041181274654832345,2138,5,5,519168,1e-06,dynamic
screen,screen_002,target_on,J0_Current,measured,0.004120053624260355,2139,5,5,519168,1e-06,dynamic
screen,screen_002,target_off,J1_D3_delay_only,measured,0.0041181274654832345,2138,5,5,519168,1e-06,dynamic
screen,screen_002,target_on,J1_D3_delay_only,measured,0.004120053624260355,2139,5,5,519168,1e-06,dynamic
screen,screen_002,target_off,J2_P1_phase_only,measured,0.0041181274654832345,2138,5,5,519168,1e-06,dynamic
screen,screen_002,target_on,J2_P1_phase_only,measured,0.004120053624260355,2139,5,5,519168,1e-06,dynamic
screen,screen_002,target_off,J3_D3_P1_joint,measured,0.0041181274654832345,2138,5,5,519168,1e-06,dynamic
screen,screen_002,target_on,J3_D3_P1_joint,measured,0.004120053624260355,2139,5,5,519168,1e-06,dynamic
screen,screen_002,target_off,J4_D3_P2_joint,measured,0.0041181274654832345,2138,5,5,519168,1e-06,dynamic
screen,screen_002,target_on,J4_D3_P2_joint,measured,0.004120053624260355,2139,5,5,519168,1e-06,dynamic
screen,screen_002,target_off,J5_Selective_Physics_Calibration,measured,0.0041181274654832345,2138,5,5,519168,1e-06,dynamic
screen,screen_002,target_on,J5_Selective_Physics_Calibration,measured,0.004120053624260355,2139,5,5,519168,1e-06,dynamic
screen,screen_002,target_off,J6_Joint_Phase_Surface,measured,0.0041181274654832345,2138,5,5,519168,1e-06,dynamic
screen,screen_002,target_on,J6_Joint_Phase_Surface,measured,0.004120053624260355,2139,5,5,519168,1e-06,dynamic
screen,screen_003,target_off,J0_Current,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_on,J0_Current,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_off,J1_D3_delay_only,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_on,J1_D3_delay_only,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_off,J2_P1_phase_only,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
