split,scene_id,family,status,look_angle_deg,true_radial_velocity_mps,true_clutter_ridge_doppler_hz,distance_to_clutter_ridge_hz,distance_to_clutter_ridge_mps
screen,screen_000,zero,pass,-80.0,24.375000000000004,2678.571428571429,2678.571428571429,24.375000000000004
screen,screen_001,zero,pass,-70.0,35.625,3914.8351648351645,3914.8351648351645,35.625
screen,screen_002,zero,pass,-60.0,39.375,4326.923076923077,4326.923076923077,39.375
screen,screen_003,M1,pass,-50.0,-24.375,-2678.5714285714284,2678.5714285714284,24.375
screen,screen_004,M1,pass,-40.0,-43.12499999999999,-4739.010989010988,4739.010989010988,43.12499999999999
screen,screen_005,M1,pass,-80.0,-16.874999999999996,-1854.3956043956039,1854.3956043956039,16.874999999999996
screen,screen_006,M2,pass,-70.0,-5.625,-618.1318681318681,618.1318681318681,5.625
screen,screen_007,M2,pass,-60.0,13.125,1442.3076923076922,1442.3076923076922,13.125
screen,screen_008,M2,pass,-50.0,-31.875,-3502.747252747253,3502.747252747253,31.875
screen,screen_009,M3,pass,-40.0,-28.124999999999996,-3090.65934065934,3090.65934065934,28.124999999999996
screen,screen_010,M3,pass,-80.0,31.875,3502.747252747253,3502.747252747253,31.875
screen,screen_011,M3,pass,-70.0,-1.875,-206.04395604395603,206.04395604395603,1.875
screen,screen_012,M1+M2,pass,-60.0,-20.625000000000004,-2266.4835164835167,2266.4835164835167,20.625000000000004
screen,screen_013,M1+M2,pass,-50.0,16.875000000000004,1854.3956043956048,1854.3956043956048,16.875000000000004
screen,screen_014,M1+M2,pass,-40.0,-13.125,-1442.3076923076922,1442.3076923076922,13.125
screen,screen_015,M1+M3,pass,-80.0,43.12499999999999,4739.010989010988,4739.010989010988,43.12499999999999
screen,screen_016,M1+M3,pass,-70.0,1.8750000000000009,206.04395604395614,206.04395604395614,1.8750000000000009
screen,screen_017,M1+M3,pass,-60.0,9.375,1030.2197802197802,1030.2197802197802,9.375
screen,screen_018,M2+M3,pass,-50.0,28.125,3090.6593406593406,3090.6593406593406,28.125
screen,screen_019,M2+M3,pass,-40.0,-39.37499999999999,-4326.923076923076,4326.923076923076,39.37499999999999
screen,screen_020,M2+M3,pass,-80.0,5.624999999999999,618.131868131868,618.131868131868,5.624999999999999
screen,screen_021,M1+M2+M3,pass,-70.0,-9.375,-1030.2197802197802,1030.2197802197802,9.375
screen,screen_022,M1+M2+M3,pass,-60.0,-35.625,-3914.8351648351645,3914.8351648351645,35.625
screen,screen_023,M1+M2+M3,pass,-50.0,20.625,2266.4835164835163,2266.4835164835163,20.625
