scene_id,method,pfa_delta_vs_current,false_clusters_delta_vs_current
test_v3_000,J5_Selective_Physics_Calibration,0.0,0.0
test_v3_001,J5_Selective_Physics_Calibration,7.704635108481302e-05,6.0
test_v3_002,J5_Selective_Physics_Calibration,-1.3483111439842495e-05,-1.0
test_v3_003,J5_Selective_Physics_Calibration,0.0,0.0
test_v3_004,J5_Selective_Physics_Calibration,0.00042568108974358997,5.0
test_v3_005,J5_Selective_Physics_Calibration,-0.00020995130670611525,5.0
test_v3_006,J5_Selective_Physics_Calibration,-1.926158777120976e-06,0.0
test_v3_007,J5_Selective_Physics_Calibration,-3.274469921104618e-05,-1.0
test_v3_008,J5_Selective_Physics_Calibration,0.0,0.0
test_v3_009,J5_Selective_Physics_Calibration,-0.00012712647928994104,-3.0
test_v3_010,J5_Selective_Physics_Calibration,1.7335428994082712e-05,-2.0
test_v3_011,J5_Selective_Physics_Calibration,0.0,0.0
test_v3_012,J5_Selective_Physics_Calibration,0.0002677360700197246,7.0
test_v3_013,J5_Selective_Physics_Calibration,-0.00013483111439842148,-4.0
test_v3_014,J5_Selective_Physics_Calibration,-5.778476331361193e-06,-1.0
test_v3_015,J5_Selective_Physics_Calibration,-6.934171597633085e-05,0.0
test_v3_016,J5_Selective_Physics_Calibration,0.0,0.0
test_v3_017,J5_Selective_Physics_Calibration,0.0001521665433925042,15.0
test_v3_018,J5_Selective_Physics_Calibration,3.852317554240217e-06,0.0
test_v3_019,J5_Selective_Physics_Calibration,0.0,0.0
test_v3_020,J5_Selective_Physics_Calibration,0.0002638837524654835,10.0
test_v3_021,J5_Selective_Physics_Calibration,-0.00020417283037475406,-4.0
test_v3_022,J5_Selective_Physics_Calibration,0.0,0.0
test_v3_023,J5_Selective_Physics_Calibration,-0.00017720660749506907,-4.0
test_v3_024,J5_Selective_Physics_Calibration,0.0,0.0
test_v3_025,J5_Selective_Physics_Calibration,7.126787475345182e-05,23.0
test_v3_026,J5_Selective_Physics_Calibration,2.5040064102564014e-05,0.0
test_v3_027,J5_Selective_Physics_Calibration,0.0,0.0
