split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,oracle_lambda
test_v3,test_v3_000,target_off,J0_Current,measured,0.003609621548323471,1874,46,46,519168,1e-06,dynamic,
test_v3,test_v3_000,target_on,J0_Current,measured,0.0036346616124260356,1887,47,47,519168,1e-06,dynamic,
test_v3,test_v3_000,target_off,J5_Selective_Physics_Calibration,measured,0.003609621548323471,1874,46,46,519168,1e-06,dynamic,
test_v3,test_v3_000,target_on,J5_Selective_Physics_Calibration,measured,0.0036346616124260356,1887,47,47,519168,1e-06,dynamic,
test_v3,test_v3_000,target_off,J6_Joint_Phase_Surface,measured,0.003609621548323471,1874,46,46,519168,1e-06,dynamic,
test_v3,test_v3_000,target_on,J6_Joint_Phase_Surface,measured,0.0036346616124260356,1887,47,47,519168,1e-06,dynamic,
test_v3,test_v3_000,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.003609621548323471,1874,46,46,519168,1e-06,dynamic,
test_v3,test_v3_000,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.0036346616124260356,1887,47,47,519168,1e-06,dynamic,
test_v3,test_v3_000,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.003609621548323471,1874,46,46,519168,1e-06,dynamic,0.0
test_v3,test_v3_000,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.0036346616124260356,1887,47,47,519168,1e-06,dynamic,0.0
test_v3,test_v3_001,target_off,J0_Current,measured,0.0062465329142011835,3243,86,86,519168,1e-06,dynamic,
test_v3,test_v3_001,target_on,J0_Current,measured,0.006256163708086785,3248,86,86,519168,1e-06,dynamic,
test_v3,test_v3_001,target_off,J5_Selective_Physics_Calibration,measured,0.0063235792652859965,3283,92,92,519168,1e-06,dynamic,
test_v3,test_v3_001,target_on,J5_Selective_Physics_Calibration,measured,0.006337062376725838,3290,93,93,519168,1e-06,dynamic,
test_v3,test_v3_001,target_off,J6_Joint_Phase_Surface,measured,0.0063736593934911245,3309,92,92,519168,1e-06,dynamic,
test_v3,test_v3_001,target_on,J6_Joint_Phase_Surface,measured,0.006390994822485207,3318,92,92,519168,1e-06,dynamic,
test_v3,test_v3_001,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.0062465329142011835,3243,86,86,519168,1e-06,dynamic,
test_v3,test_v3_001,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.006256163708086785,3248,86,86,519168,1e-06,dynamic,
test_v3,test_v3_001,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.0062465329142011835,3243,86,86,519168,1e-06,dynamic,0.0
test_v3,test_v3_001,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.006256163708086785,3248,86,86,519168,1e-06,dynamic,0.0
test_v3,test_v3_002,target_off,J0_Current,measured,0.007171089127218935,3723,110,110,519168,1e-06,dynamic,
test_v3,test_v3_002,target_on,J0_Current,measured,0.0069592116617357,3613,107,107,519168,1e-06,dynamic,
test_v3,test_v3_002,target_off,J5_Selective_Physics_Calibration,measured,0.007157606015779093,3716,109,109,519168,1e-06,dynamic,
test_v3,test_v3_002,target_on,J5_Selective_Physics_Calibration,measured,0.00695535934418146,3611,107,107,519168,1e-06,dynamic,
test_v3,test_v3_002,target_off,J6_Joint_Phase_Surface,measured,0.007171089127218935,3723,110,110,519168,1e-06,dynamic,
test_v3,test_v3_002,target_on,J6_Joint_Phase_Surface,measured,0.0069592116617357,3613,107,107,519168,1e-06,dynamic,
test_v3,test_v3_002,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.007171089127218935,3723,110,110,519168,1e-06,dynamic,
test_v3,test_v3_002,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.0069592116617357,3613,107,107,519168,1e-06,dynamic,
test_v3,test_v3_002,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.007171089127218935,3723,110,110,519168,1e-06,dynamic,0.0
test_v3,test_v3_002,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.0069592116617357,3613,107,107,519168,1e-06,dynamic,0.0
test_v3,test_v3_003,target_off,J0_Current,measured,0.012520032051282052,6500,15,15,519168,1e-06,dynamic,
test_v3,test_v3_003,target_on,J0_Current,measured,0.01251617973372781,6498,15,15,519168,1e-06,dynamic,
test_v3,test_v3_003,target_off,J5_Selective_Physics_Calibration,measured,0.012520032051282052,6500,15,15,519168,1e-06,dynamic,
test_v3,test_v3_003,target_on,J5_Selective_Physics_Calibration,measured,0.01251617973372781,6498,15,15,519168,1e-06,dynamic,
test_v3,test_v3_003,target_off,J6_Joint_Phase_Surface,measured,0.012520032051282052,6500,15,15,519168,1e-06,dynamic,
test_v3,test_v3_003,target_on,J6_Joint_Phase_Surface,measured,0.01251617973372781,6498,15,15,519168,1e-06,dynamic,
test_v3,test_v3_003,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.012520032051282052,6500,15,15,519168,1e-06,dynamic,
test_v3,test_v3_003,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.01251617973372781,6498,15,15,519168,1e-06,dynamic,
test_v3,test_v3_003,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012520032051282052,6500,15,15,519168,1e-06,dynamic,0.0
test_v3,test_v3_003,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.01251617973372781,6498,15,15,519168,1e-06,dynamic,0.0
test_v3,test_v3_004,target_off,J0_Current,measured,0.00488473865877712,2536,53,53,519168,1e-06,dynamic,
test_v3,test_v3_004,target_on,J0_Current,measured,0.0051967763806706115,2698,55,55,519168,1e-06,dynamic,
test_v3,test_v3_004,target_off,J5_Selective_Physics_Calibration,measured,0.00531041974852071,2757,58,58,519168,1e-06,dynamic,
test_v3,test_v3_004,target_on,J5_Selective_Physics_Calibration,measured,0.005533854166666667,2873,60,60,519168,1e-06,dynamic,
test_v3,test_v3_004,target_off,J6_Joint_Phase_Surface,measured,0.0049714158037475345,2581,66,66,519168,1e-06,dynamic,
test_v3,test_v3_004,target_on,J6_Joint_Phase_Surface,measured,0.005389392258382643,2798,68,68,519168,1e-06,dynamic,
test_v3,test_v3_004,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.00488473865877712,2536,53,53,519168,1e-06,dynamic,
test_v3,test_v3_004,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.0051967763806706115,2698,55,55,519168,1e-06,dynamic,
test_v3,test_v3_004,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.00488473865877712,2536,53,53,519168,1e-06,dynamic,0.0
test_v3,test_v3_004,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.0051967763806706115,2698,55,55,519168,1e-06,dynamic,0.0
test_v3,test_v3_005,target_off,J0_Current,measured,0.012614413831360947,6549,24,24,519168,1e-06,dynamic,
test_v3,test_v3_005,target_on,J0_Current,measured,0.012610561513806707,6547,24,24,519168,1e-06,dynamic,
test_v3,test_v3_005,target_off,J5_Selective_Physics_Calibration,measured,0.012404462524654832,6440,29,29,519168,1e-06,dynamic,
test_v3,test_v3_005,target_on,J5_Selective_Physics_Calibration,measured,0.012400610207100591,6438,29,29,519168,1e-06,dynamic,
test_v3,test_v3_005,target_off,J6_Joint_Phase_Surface,measured,0.012494991987179488,6487,28,28,519168,1e-06,dynamic,
test_v3,test_v3_005,target_on,J6_Joint_Phase_Surface,measured,0.012493065828402367,6486,28,28,519168,1e-06,dynamic,
test_v3,test_v3_005,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.012614413831360947,6549,24,24,519168,1e-06,dynamic,
test_v3,test_v3_005,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.012610561513806707,6547,24,24,519168,1e-06,dynamic,
test_v3,test_v3_005,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012614413831360947,6549,24,24,519168,1e-06,dynamic,0.0
test_v3,test_v3_005,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012610561513806707,6547,24,24,519168,1e-06,dynamic,0.0
