split,scene_id,family,snr_db,method,target_id,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,paired_hit_definition
test_v3,test_v3_000,zero,10.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_000,zero,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_000,zero,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_000,zero,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_000,zero,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_001,M1,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_001,M1,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_001,M1,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_001,M1,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_001,M1,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_002,M2,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_002,M2,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_002,M2,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_002,M2,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_002,M2,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_003,M3,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_003,M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_003,M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_003,M3,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_003,M3,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_004,M1+M2,10.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_004,M1+M2,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_004,M1+M2,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_004,M1+M2,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_004,M1+M2,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_005,M1+M3,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_005,M1+M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_005,M1+M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_005,M1+M3,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
test_v3,test_v3_005,M1+M3,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
