split,scene_id,family,snr_db,seed,status,j5_branch,j6_branch,j7_selected_method,j7_selection_reason,oracle_lambda
test_v3,test_v3_000,zero,10.0,2026120000,pass,D0P0,D0P0,J0_Current,zero_or_weak_signal,0.0
test_v3,test_v3_001,M1,10.0,2026120001,pass,D1P0,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_002,M2,10.0,2026120002,pass,D0P1,D0P0,J6_Joint_Phase_Surface,high_confidence_phase_or_mixed,0.0
test_v3,test_v3_003,M3,10.0,2026120003,pass,D0P0,D0P0,J0_Current,zero_or_weak_signal,0.0
test_v3,test_v3_004,M1+M2,10.0,2026120004,pass,D1P1,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_005,M1+M3,10.0,2026120005,pass,D1P0,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_006,M2+M3,10.0,2026120006,pass,D0P1,D0P0,J6_Joint_Phase_Surface,high_confidence_phase_or_mixed,0.0
test_v3,test_v3_007,M1+M2+M3,10.0,2026120007,pass,D1P1,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_008,zero,12.0,2026120008,pass,D0P0,D0P0,J0_Current,zero_or_weak_signal,0.0
test_v3,test_v3_009,M1,12.0,2026120009,pass,D1P0,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_010,M2,12.0,2026120010,pass,D0P1,D0P1,J6_Joint_Phase_Surface,high_confidence_phase_or_mixed,0.0
test_v3,test_v3_011,M3,12.0,2026120011,pass,D0P0,D0P0,J0_Current,zero_or_weak_signal,0.0
test_v3,test_v3_012,M1+M2,12.0,2026120012,pass,D1P1,D1P1,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_013,M1+M3,12.0,2026120013,pass,D1P0,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_014,M2+M3,12.0,2026120014,pass,D0P1,D0P1,J6_Joint_Phase_Surface,high_confidence_phase_or_mixed,0.0
test_v3,test_v3_015,M1+M2+M3,12.0,2026120015,pass,D1P1,D1P1,J0_Current,joint_confidence_veto,0.0
test_v3,test_v3_016,zero,14.0,2026120016,pass,D0P0,D0P0,J0_Current,zero_or_weak_signal,0.0
test_v3,test_v3_017,M1,14.0,2026120017,pass,D1P0,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_018,M2,14.0,2026120018,pass,D0P1,D0P1,J6_Joint_Phase_Surface,high_confidence_phase_or_mixed,0.0
test_v3,test_v3_019,M3,14.0,2026120019,pass,D0P0,D0P0,J0_Current,decorrelation_veto_residual_coherence,0.0
test_v3,test_v3_020,M1+M2,14.0,2026120020,pass,D1P1,D1P1,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_021,M1+M3,14.0,2026120021,pass,D1P0,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_022,M2+M3,14.0,2026120022,pass,D0P1,D0P1,J6_Joint_Phase_Surface,high_confidence_phase_or_mixed,0.0
test_v3,test_v3_023,M1+M2+M3,14.0,2026120023,pass,D1P1,D1P1,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_024,zero,16.0,2026120024,pass,D0P0,D0P0,J0_Current,zero_or_weak_signal,0.0
test_v3,test_v3_025,M1,16.0,2026120025,pass,D1P0,D1P0,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_026,M2,16.0,2026120026,pass,D0P1,D0P1,J0_Current,decorrelation_veto_raw_coherence,0.0
test_v3,test_v3_027,M3,16.0,2026120027,pass,D0P0,D0P0,J0_Current,decorrelation_veto_residual_coherence,0.0
test_v3,test_v3_028,M1+M2,16.0,2026120028,pass,D0P0,D0P0,J0_Current,decorrelation_veto_raw_coherence,0.0
test_v3,test_v3_029,M1+M3,16.0,2026120029,pass,D0P0,D0P0,J0_Current,decorrelation_veto_raw_coherence,0.0
test_v3,test_v3_030,M2+M3,16.0,2026120030,pass,D0P1,D0P0,J0_Current,decorrelation_veto_raw_coherence,0.0
test_v3,test_v3_031,M1+M2+M3,16.0,2026120031,pass,D1P1,D1P1,J0_Current,delay_disagreement_veto,0.0
test_v3,test_v3_032,zero,18.0,2026120032,pass,D0P0,D0P0,J0_Current,zero_or_weak_signal,0.0
