method,dimension,level,count,mean,median,p05,p10,p90,min,cvar5,fraction_lt_neg_0_1,fraction_lt_neg_0_5,fraction_lt_neg_1_0
J5_Selective_Physics_Calibration,overall,all,48,0.061114838039900005,0.00038345836300468505,-0.03439609934915753,-0.012585523378954197,0.2624919305421259,-0.6324271506811998,-0.24795347182301639,0.020833333333333332,0.020833333333333332,0.0
J5_Selective_Physics_Calibration,family,M1,8,0.09033229504662765,0.0,-0.005300944146641173,-0.0024465896061420796,0.24721094902267263,-0.008155298687140267,-0.008155298687140267,0.0,0.0,0.0
J5_Selective_Physics_Calibration,family,M1+M2,8,0.13733934748666626,0.06289552576840496,-0.04670616170792643,-0.02155669001904296,0.342296721317664,-0.07185563339680989,-0.07185563339680989,0.0,0.0,0.0
J5_Selective_Physics_Calibration,family,M1+M2+M3,8,0.019240576715152558,0.0227963909173603,-0.4197482868877618,-0.20706942309432372,0.24570311960194316,-0.6324271506811998,-0.6324271506811998,0.125,0.125,0.0
J5_Selective_Physics_Calibration,family,M1+M3,8,0.11415545305941999,0.0,-0.014899764312238028,-0.006876814297956012,0.3209472094846761,-0.022922714326520044,-0.022922714326520044,0.0,0.0,0.0
J5_Selective_Physics_Calibration,family,M2,8,0.0017411994748799398,0.0058965164459947594,-0.025725460404175626,-0.011873289417311824,0.014251685457130313,-0.039577631391039425,-0.039577631391039425,0.0,0.0,0.0
J5_Selective_Physics_Calibration,family,M2+M3,8,0.0038801564566536273,0.0028814618865600217,-0.000982523719437145,-0.0005246708112042419,0.008783856987417592,-0.001440376627670048,-0.001440376627670048,0.0,0.0,0.0
J5_Selective_Physics_Calibration,branch,D0P0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,branch,D0P1,14,0.0032122033894477525,0.004982835510530137,-0.01478841579484933,-0.001047931277756131,0.014564766980232681,-0.039577631391039425,-0.039577631391039425,0.0,0.0,0.0
J5_Selective_Physics_Calibration,branch,D1P0,6,0.2726503308080635,0.08508019893592067,-0.0192308604166751,-0.015539006506830155,0.7484097999951,-0.022922714326520044,-0.022922714326520044,0.0,0.0,0.0
J5_Selective_Physics_Calibration,branch,D1P1,12,0.10438661613454588,0.07815883679059477,-0.3241128161747853,-0.06714739546998087,0.49201655251081244,-0.6324271506811998,-0.6324271506811998,0.08333333333333333,0.08333333333333333,0.0
J5_Selective_Physics_Calibration,angle,-40,9,0.09692946246270687,0.006019813256769702,-0.3952873429651357,-0.1581475352490715,0.5457551923274565,-0.6324271506811998,-0.6324271506811998,0.1111111111111111,0.1111111111111111,0.0
J5_Selective_Physics_Calibration,angle,-50,11,0.013199586704897454,0.004367846667689967,-0.035927816698404946,0.0,0.06991712826156071,-0.07185563339680989,-0.07185563339680989,0.0,0.0,0.0
J5_Selective_Physics_Calibration,angle,-60,10,0.17182295570817185,0.006088284530164856,0.0,0.0,0.6105712886484735,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,angle,-70,9,0.014464262026047534,0.0007669167260093701,-0.014863952477111829,-0.004954650825703942,0.05551665281710552,-0.024773254128519717,-0.024773254128519717,0.0,0.0,0.0
J5_Selective_Physics_Calibration,angle,-80,9,0.007504854964535568,0.0,-0.01701574807076813,-0.011108781815016221,0.020012416864430112,-0.022922714326520044,-0.022922714326520044,0.0,0.0,0.0
J5_Selective_Physics_Calibration,range,0,12,0.00016444894717326797,0.0,-0.3241128161747853,-0.0669623414897809,0.04599352480329958,-0.6324271506811998,-0.6324271506811998,0.08333333333333333,0.08333333333333333,0.0
J5_Selective_Physics_Calibration,range,1000,17,0.058556448370123027,0.0,-0.007915526278207883,0.0,0.16429504109519635,-0.039577631391039425,-0.039577631391039425,0.0,0.0,0.0
J5_Selective_Physics_Calibration,range,1500,4,-0.004826913809109934,-6.611273064516254e-05,-0.02107709982843531,-0.0173809455283509,0.003918477047359216,-0.024773254128519717,-0.024773254128519717,0.0,0.0,0.0
J5_Selective_Physics_Calibration,range,500,15,0.1303591247662313,0.013004874429940472,-0.00043211298830101434,0.0,0.45829404344131164,-0.001440376627670048,-0.001440376627670048,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-0.226562,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-0.632812,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-0.835938,1,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-1.03906,1,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,-0.00013222546129032509,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-1.24219,1,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-1.64844,1,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,1.0,1.0,0.0
J5_Selective_Physics_Calibration,snr,-1.85156,1,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-2.05469,1,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,-0.008155298687140267,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-2.25781,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-2.66406,1,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.013004874429940472,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-2.86719,1,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-3.07031,1,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0455927818347206,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-3.27344,1,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-3.47656,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-3.67969,1,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0021909084748195085,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-4.08594,1,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,-0.039577631391039425,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-4.28906,1,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-4.49219,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-4.69531,1,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.004367846667689967,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,-4.89844,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,0.382812,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,0.585938,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,0.789062,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,0.992188,1,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,1.19531,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,snr,1.80469,1,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0007669167260093701,0.0,0.0,0.0
