method,lambda,target_count,L_causal_mean_dB,L_causal_median_dB,L_causal_p05_dB,L_causal_min_dB,L_target_only_mean_dB,L_target_only_p05_dB,paired_hit_count,paired_causal_pd,on_hit_count,off_hit_count,off_pfa_mean,off_false_clusters_mean
J0_Current,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,3,0.25,3,0,0.008386334802350426,29.166666666666668
J5_Selective_Physics_Calibration,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,3,0.25,3,0,0.008386334802350426,29.166666666666668
J5_Selective_Physics_Calibration,0.25,12,-0.9855688792324527,2.113314042722194e-05,-6.020314389008462,-10.632828150709706,-2.3084778350328303,-11.809454237285367,3,0.25,3,0,0.008418918988330045,30.916666666666668
J5_Selective_Physics_Calibration,0.5,12,-1.0252994933997153,0.0,-8.023159668038723,-10.898533649649462,0.20287713428662735,-10.845105492626885,3,0.25,3,0,0.008404151771038789,31.166666666666668
J5_Selective_Physics_Calibration,0.75,12,-1.1416119617680582,0.0,-9.377948878501972,-10.167289894633228,0.6967306071689586,-8.111828289587153,3,0.25,3,0,0.00840270715195595,30.916666666666668
J5_Selective_Physics_Calibration,1.0,12,-0.17095731875823753,0.0010260184980961818,-4.169136271057884,-9.263287347317227,-1.3205169918288648,-7.242365020125549,3,0.25,3,0,0.008410411787064432,31.25
J6_Joint_Phase_Surface,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,3,0.25,3,0,0.008386334802350426,29.166666666666668
J6_Joint_Phase_Surface,0.25,12,-0.9031827669473759,0.0,-5.772429696243456,-10.812438871491315,-2.1084244742450373,-10.788293511439788,3,0.25,3,0,0.008425660544049968,31.0
J6_Joint_Phase_Surface,0.5,12,0.18758032869638028,0.06080589648747539,-2.1643462340036494,-4.809658297785888,0.3953310138231687,-10.225106613601554,3,0.25,3,0,0.008418918988330047,30.5
J6_Joint_Phase_Surface,0.75,12,0.031051716257484114,0.07465737371240297,-3.891890682931242,-8.648645962069427,0.8028036470661641,-8.229656179804952,3,0.25,3,0,0.008402546638724523,31.166666666666668
J6_Joint_Phase_Surface,1.0,12,-0.7492737910647822,0.035086159621784734,-8.362572416164225,-9.47921727065178,1.083912243159989,-6.696978694451889,3,0.25,3,0,0.008422129252958578,31.5
