split,scene_id,selected_method,selected_lambda,safe_oracle_headroom_db,safe_candidate_count,selection_definition
target_safe_oracle,target_safe_oracle_000,J0_Current,0.0,0.0,1,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_001,J6_Joint_Phase_Surface,0.5,0.21334217060394955,3,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_002,J0_Current,0.0,0.0,9,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_003,J0_Current,0.0,0.0,9,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_004,J6_Joint_Phase_Surface,0.75,0.11405221419508926,4,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_005,J6_Joint_Phase_Surface,0.75,0.15115648314788022,2,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_006,J0_Current,0.0,0.0,9,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_007,J5_Selective_Physics_Calibration,0.5,0.014320303255070499,2,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_008,J0_Current,0.0,0.0,1,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_009,J0_Current,0.0,0.0,1,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_010,J6_Joint_Phase_Surface,1.0,0.3056272877722499,7,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
target_safe_oracle,target_safe_oracle_011,J0_Current,0.0,0.0,9,per-scene safe candidate with highest clutter cancellation_db; Current is always a safe identity baseline
