split,scene_id,family,snr_db,method,target_id,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,paired_hit_definition
target_transfer,target_transfer_000,M1,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_000,M1,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_000,M1,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_001,M2,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_001,M2,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_001,M2,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_002,M1+M2,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_002,M1+M2,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_002,M1+M2,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_003,M1+M3,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_003,M1+M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_003,M1+M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_004,M2+M3,10.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_004,M2+M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_004,M2+M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_005,M1+M2+M3,10.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_005,M1+M2+M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_005,M1+M2+M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_006,M1,12.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_006,M1,12.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_006,M1,12.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_007,M2,12.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_007,M2,12.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_007,M2,12.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_008,M1+M2,12.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_008,M1+M2,12.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_008,M1+M2,12.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_009,M1+M3,12.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_009,M1+M3,12.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_009,M1+M3,12.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_010,M2+M3,12.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_010,M2+M3,12.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_010,M2+M3,12.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_011,M1+M2+M3,12.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_011,M1+M2+M3,12.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_011,M1+M2+M3,12.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_012,M1,14.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_012,M1,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_012,M1,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_013,M2,14.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_013,M2,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_013,M2,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_014,M1+M2,14.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_014,M1+M2,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_014,M1+M2,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_015,M1+M3,14.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_015,M1+M3,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_015,M1+M3,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_016,M2+M3,14.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_016,M2+M3,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
