split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode
target_transfer,target_transfer_000,target_off,J0_Current,measured,0.007379114275147929,3831,50,50,519168,1e-06,dynamic
target_transfer,target_transfer_000,target_on,J0_Current,measured,0.007458086785009862,3872,50,50,519168,1e-06,dynamic
target_transfer,target_transfer_000,target_off,J5_Selective_Physics_Calibration,measured,0.007535133136094675,3912,51,51,519168,1e-06,dynamic
target_transfer,target_transfer_000,target_on,J5_Selective_Physics_Calibration,measured,0.007525502342209073,3907,51,51,519168,1e-06,dynamic
target_transfer,target_transfer_000,target_off,J6_Joint_Phase_Surface,measured,0.0075486162475345165,3919,51,51,519168,1e-06,dynamic
target_transfer,target_transfer_000,target_on,J6_Joint_Phase_Surface,measured,0.007552468565088758,3921,51,51,519168,1e-06,dynamic
target_transfer,target_transfer_001,target_off,J0_Current,measured,0.010343472633136095,5370,65,65,519168,1e-06,dynamic
target_transfer,target_transfer_001,target_on,J0_Current,measured,0.010328063362919132,5362,65,65,519168,1e-06,dynamic
target_transfer,target_transfer_001,target_off,J5_Selective_Physics_Calibration,measured,0.010351177268244575,5374,66,66,519168,1e-06,dynamic
target_transfer,target_transfer_001,target_on,J5_Selective_Physics_Calibration,measured,0.010335767998027613,5366,66,66,519168,1e-06,dynamic
target_transfer,target_transfer_001,target_off,J6_Joint_Phase_Surface,measured,0.010358881903353058,5378,65,65,519168,1e-06,dynamic
target_transfer,target_transfer_001,target_on,J6_Joint_Phase_Surface,measured,0.010341546474358974,5369,65,65,519168,1e-06,dynamic
target_transfer,target_transfer_002,target_off,J0_Current,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic
target_transfer,target_transfer_002,target_on,J0_Current,measured,0.004060342702169625,2108,0,0,519168,1e-06,dynamic
target_transfer,target_transfer_002,target_off,J5_Selective_Physics_Calibration,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic
target_transfer,target_transfer_002,target_on,J5_Selective_Physics_Calibration,measured,0.004060342702169625,2108,0,0,519168,1e-06,dynamic
target_transfer,target_transfer_002,target_off,J6_Joint_Phase_Surface,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic
target_transfer,target_transfer_002,target_on,J6_Joint_Phase_Surface,measured,0.004060342702169625,2108,0,0,519168,1e-06,dynamic
target_transfer,target_transfer_003,target_off,J0_Current,measured,0.010424371301775148,5412,34,34,519168,1e-06,dynamic
target_transfer,target_transfer_003,target_on,J0_Current,measured,0.010445559048323472,5423,34,34,519168,1e-06,dynamic
target_transfer,target_transfer_003,target_off,J5_Selective_Physics_Calibration,measured,0.010424371301775148,5412,34,34,519168,1e-06,dynamic
target_transfer,target_transfer_003,target_on,J5_Selective_Physics_Calibration,measured,0.010445559048323472,5423,34,34,519168,1e-06,dynamic
target_transfer,target_transfer_003,target_off,J6_Joint_Phase_Surface,measured,0.010424371301775148,5412,34,34,519168,1e-06,dynamic
target_transfer,target_transfer_003,target_on,J6_Joint_Phase_Surface,measured,0.010445559048323472,5423,34,34,519168,1e-06,dynamic
target_transfer,target_transfer_004,target_off,J0_Current,measured,0.008600298939842209,4465,11,11,519168,1e-06,dynamic
target_transfer,target_transfer_004,target_on,J0_Current,measured,0.008617634368836292,4474,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_004,target_off,J5_Selective_Physics_Calibration,measured,0.00860607741617357,4468,11,11,519168,1e-06,dynamic
target_transfer,target_transfer_004,target_on,J5_Selective_Physics_Calibration,measured,0.008623412845167653,4477,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_004,target_off,J6_Joint_Phase_Surface,measured,0.008710089990138068,4522,11,11,519168,1e-06,dynamic
target_transfer,target_transfer_004,target_on,J6_Joint_Phase_Surface,measured,0.00871972078402367,4527,12,12,519168,1e-06,dynamic
target_transfer,target_transfer_005,target_off,J0_Current,measured,0.008034008259368836,4171,19,19,519168,1e-06,dynamic
