case_id,seed,truth_delta_m,six_fit_status,six_estimate_m,six_abs_error_m,single_fit_status,single_estimate_m,single_abs_error_m,six_minus_single_error_m
baseline_zero_seed_101,101,0.0,fit,0.00016500000000000125,0.00016500000000000125,fit,0.00019500000000000214,0.00019500000000000214,-3.0000000000000892e-05
baseline_zero_seed_202,202,0.0,fit,0.00016500000000000127,0.00016500000000000127,fit,0.00017000000000000142,0.00017000000000000142,-5.000000000000149e-06
baseline_zero_seed_303,303,0.0,fit,0.00014750000000000077,0.00014750000000000077,fit,0.00016000000000000112,0.00016000000000000112,-1.2500000000000358e-05
baseline_p1p000mm_seed_101,101,0.001,fit,0.0011650000000000022,0.00016500000000000217,fit,0.0011949999999999994,0.00019499999999999943,-2.999999999999726e-05
baseline_p1p000mm_seed_202,202,0.001,fit,0.001165000000000002,0.00016500000000000195,fit,0.0011700000000000022,0.00017000000000000218,-5.00000000000023e-06
baseline_p1p000mm_seed_303,303,0.001,fit,0.0011450000000000015,0.00014500000000000146,fit,0.001155000000000002,0.00015500000000000192,-1.000000000000046e-05
baseline_m1p000mm_seed_101,101,-0.001,fit,-0.0008349999999999996,0.00016500000000000043,fit,-0.0008049999999999988,0.00019500000000000127,-3.0000000000000838e-05
baseline_m1p000mm_seed_202,202,-0.001,fit,-0.0008374999999999997,0.00016250000000000032,fit,-0.0008299999999999995,0.00017000000000000055,-7.5000000000002365e-06
baseline_m1p000mm_seed_303,303,-0.001,fit,-0.0008550000000000002,0.00014499999999999984,fit,-0.0008399999999999998,0.0001600000000000002,-1.5000000000000365e-05
baseline_p2p500mm_seed_101,101,0.0025,fit,0.0026675,0.00016750000000000011,fit,0.0026950000000000008,0.00019500000000000073,-2.7500000000000614e-05
baseline_p2p500mm_seed_202,202,0.0025,fit,0.00267,0.00017,fit,0.0026750000000000003,0.00017500000000000024,-5.00000000000023e-06
baseline_p2p500mm_seed_303,303,0.0025,fit,0.0026474999999999997,0.00014749999999999963,fit,0.002655,0.00015499999999999976,-7.500000000000128e-06
baseline_m2p500mm_seed_101,101,-0.0025,fit,-0.0023349999999999977,0.00016500000000000238,fit,-0.0023100000000000004,0.00018999999999999963,-2.4999999999997247e-05
baseline_m2p500mm_seed_202,202,-0.0025,fit,-0.002342499999999998,0.00015750000000000226,fit,-0.0023349999999999977,0.00016500000000000238,-7.500000000000128e-06
baseline_m2p500mm_seed_303,303,-0.0025,fit,-0.002354999999999998,0.0001450000000000019,fit,-0.0023399999999999975,0.0001600000000000026,-1.500000000000069e-05
baseline_p5p000mm_seed_101,101,0.005,fit,0.005167500000000002,0.00016750000000000185,fit,0.0052,0.00019999999999999966,-3.249999999999781e-05
baseline_p5p000mm_seed_202,202,0.005,fit,0.005172500000000001,0.00017250000000000078,fit,0.005174999999999999,0.00017499999999999894,-2.4999999999981634e-06
baseline_p5p000mm_seed_303,303,0.005,fit,0.005147500000000002,0.0001475000000000018,fit,0.005155000000000002,0.0001550000000000015,-7.499999999999694e-06
baseline_m5p000mm_seed_101,101,-0.005,fit,-0.0048375,0.00016250000000000032,fit,-0.004810000000000001,0.0001899999999999992,-2.749999999999888e-05
baseline_m5p000mm_seed_202,202,-0.005,fit,-0.0048425,0.00015750000000000052,fit,-0.004835,0.00016500000000000022,-7.499999999999694e-06
baseline_m5p000mm_seed_303,303,-0.005,fit,-0.004857500000000001,0.0001424999999999994,fit,-0.00484,0.00016000000000000042,-1.750000000000102e-05
baseline_p10p000mm_seed_101,101,0.01,fit,0.01017,0.00017,fit,0.010205,0.00020500000000000032,-3.500000000000031e-05
baseline_p10p000mm_seed_202,202,0.01,fit,0.0101825,0.00018250000000000037,fit,0.01018,0.0001799999999999996,2.5000000000007655e-06
baseline_p10p000mm_seed_303,303,0.01,fit,0.010154999999999999,0.0001549999999999989,fit,0.010154999999999999,0.0001549999999999989,0.0
baseline_m10p000mm_seed_101,101,-0.01,fit,-0.00984,0.00016000000000000042,fit,-0.00982,0.0001799999999999996,-1.9999999999999185e-05
baseline_m10p000mm_seed_202,202,-0.01,fit,-0.0098525,0.00014750000000000006,fit,-0.009845,0.00015500000000000062,-7.500000000000562e-06
baseline_m10p000mm_seed_303,303,-0.01,fit,-0.00986,0.0001399999999999995,fit,-0.009834999999999998,0.00016500000000000195,-2.500000000000245e-05
