beam_index,theta_cmd_deg,pair,effective_sample_count,cross_real,cross_imag,cross_magnitude,phase_rad,right_minus_left_phase_rad,coherence
0,-6.0,C12,32768,-0.12700512070230724,-0.18613282347476562,0.2253347036283934,-2.1695686042101343,2.1695686042101343,0.006879409269150059
0,-6.0,C13,32768,-0.044386423756220164,-0.08342441202587962,0.0944975509509663,-2.0597583330568896,,0.0028986869651695564
0,-6.0,C14,32768,0.07419269785787462,0.10853264125007214,0.13146821148911525,0.9711634352520456,-0.9711634352520456,0.004006226059608063
0,-6.0,C23,32768,-0.24842029950148703,-0.10204358040926158,0.26856198075518795,-2.751836500211538,-2.751836500211538,0.008221060045863857
0,-6.0,C24,32768,-0.19281174208570062,-0.03022247417805835,0.19516599558213552,-2.9861117445456875,,0.005935006076012131
0,-6.0,C34,32768,0.050351920847606965,-0.09377620058458985,0.10643914566138206,-1.078037502123651,1.078037502123651,0.003252057970823514
1,-4.0,C12,32768,0.06462114083431306,0.004723890434633046,0.0647935720852504,0.07297151888918053,-0.07297151888918053,0.0019655864287736998
1,-4.0,C13,32768,0.03415682647037907,-0.03943694360660705,0.05217241910778427,-0.8570222292523445,,0.001589568850281987
1,-4.0,C14,32768,-0.1871398352834182,7.256687488341185e-07,0.18713983528482517,3.1415887759079104,-3.1415887759079104,0.005674214629213697
1,-4.0,C23,32768,0.07428244595761553,-0.2054817005944583,0.21849624952533322,-1.223909986322989,-1.223909986322989,0.0066658664853919275
1,-4.0,C24,32768,0.05340966400913136,-0.16982388992796404,0.17802456515838916,-1.266090161978746,,0.0054049926656780595
1,-4.0,C34,32768,0.07272672689285758,-0.13777787574833564,0.1557944795243789,-1.0851139149380054,1.0851139149380054,0.00475054202727722
2,-2.0,C12,32768,0.13604155975117985,-0.23453107827877387,0.2711312093030572,-1.0451693525468633,1.0451693525468633,0.008249394363851404
2,-2.0,C13,32768,0.09177717016341963,0.028373861368977387,0.09606313013946209,0.29983944734722834,,0.0029270765025196724
2,-2.0,C14,32768,0.3305161732663861,0.05579671152659155,0.3351928009487039,0.167240051560031,-0.167240051560031,0.010218514483990717
2,-2.0,C23,32768,0.16244606897974223,-0.002121294819746048,0.16245991880671198,-0.013057713668876529,-0.013057713668876529,0.004973801466627873
2,-2.0,C24,32768,-0.11132318380295832,-0.03256725925066066,0.11598912719357356,-2.8569874560631274,,0.0035527568401946354
2,-2.0,C34,32768,-0.2012864588632864,0.2651220436310754,0.3328752567266593,2.2201733669703594,-2.2201733669703594,0.010211108747741787
3,0.0,C12,32768,-0.07118445014007883,0.14113550775062242,0.15807105202968497,2.0379334490249725,-2.0379334490249725,0.004830291766369805
3,0.0,C13,32768,0.004392156031388079,-0.33224354419803503,0.3322725743961962,-1.5575774086941412,,0.010208910441417137
3,0.0,C14,32768,-0.090302189445338,-0.08106513794368515,0.12135090444018296,-2.410044435398376,2.410044435398376,0.003706640202077329
3,0.0,C23,32768,-0.05239689759847837,-0.15773903012899593,0.16621382765576911,-1.891503649566867,-1.891503649566867,0.005075279906340778
3,0.0,C24,32768,0.15525477398367088,-0.12650696095042396,0.20026995784099227,-0.6837211994680367,,0.006078539496636571
3,0.0,C34,32768,-0.01662026649585343,0.15009312003570588,0.1510105226149688,1.6810800656243632,-1.6810800656243632,0.004609027766601363
4,2.0,C12,32768,0.3056819930018572,0.0284965218677204,0.3070073820026889,0.0929541182421168,-0.0929541182421168,0.009395280280568475
4,2.0,C13,32768,0.06413559008947123,0.1934859479691987,0.20383862729537833,1.250719969862234,,0.0062023569396485725
4,2.0,C14,32768,-0.046495135166247106,0.07689042194783188,0.08985507543507609,2.114659754635923,-2.114659754635923,0.0027510616833660265
4,2.0,C23,32768,0.02696051114922836,-0.020700070003306634,0.03399061722842734,-0.6547912087397404,-0.6547912087397404,0.0010358492972478814
4,2.0,C24,32768,-0.017569274288715242,0.1828889172045615,0.18373087774048502,1.6665677142822302,,0.005633867681460191
4,2.0,C34,32768,0.10257653586237309,0.10348213054289268,0.14570688745293064,0.7897929741859605,-0.7897929741859605,0.004442484628525194
5,4.0,C12,32768,-0.06111390097340537,-0.027737626994392195,0.06711396906358044,-2.7155269866070033,2.7155269866070033,0.002048083469526144
5,4.0,C13,32768,0.008923933636160328,0.0637849436457816,0.06440617693543166,1.431792005807697,,0.00197193092495136
5,4.0,C14,32768,-0.14115704879163368,-0.16340947332471453,0.21593510227803223,-2.283261473251112,2.283261473251112,0.00662694935223241
5,4.0,C23,32768,0.1252217852792658,0.10292827331824951,0.1620948023744217,0.6879931377142958,0.6879931377142958,0.004932360509543941
5,4.0,C24,32768,0.11880256015013094,0.041120226992230356,0.12571762551893043,0.33321621756253533,,0.003834780523552968
5,4.0,C34,32768,0.03257922109093324,-0.0981648400359618,0.10342988671645097,-1.2503518280868164,1.2503518280868164,0.003165398484747906
6,6.0,C12,32768,0.17343187474971422,0.0309008221005026,0.17616320837702595,0.17632240411803696,-0.17632240411803696,0.0053830813239254625
