beam_index,theta_cmd_deg,pair,phase_error_rad,resultant_length,weight
0,-6.0,C12,1.3127878451547091e-08,0.9999999999999998,484.2233507588157
0,-6.0,C14,1.611091407314004e-08,0.9999999999999987,339.4811149827508
0,-6.0,C23,-1.851754382239219e-08,0.9999999999999998,472.91097034939355
0,-6.0,C34,-8.313482513821174e-09,0.9999999999999994,436.28621967649224
1,-4.0,C12,-4.077581927523037e-09,0.9999999999999991,396.4165725839821
1,-4.0,C14,1.1613207005608884e-08,0.9999999999999968,487.32374611872666
1,-4.0,C23,7.101954350599173e-09,0.9999999999999994,440.499394685565
1,-4.0,C34,-6.778551435420505e-09,0.9999999999999992,431.52195979693806
2,-2.0,C12,1.8077921361043962e-08,0.9999999999999992,369.4696220765141
2,-2.0,C14,-4.440386279648257e-09,0.9999999999999994,633.1758776762014
2,-2.0,C23,9.623173079393958e-09,0.9999999999999994,442.1163983944327
2,-2.0,C34,2.403783708308285e-08,0.9999999999999999,409.7885079464547
3,0.0,C12,0.0,1.0,502.3150583870231
3,0.0,C14,0.0,1.0,413.3599069016279
3,0.0,C23,0.0,1.0,625.4890359119238
3,0.0,C34,0.0,1.0,392.7663123184974
4,2.0,C12,1.0291618751308958e-08,0.9999999999999992,463.8982500427089
4,2.0,C14,-1.0534943404340104e-08,0.9999999999999994,568.3488225844745
4,2.0,C23,-1.4301696576994378e-09,0.9999999999999989,506.8704536774045
4,2.0,C34,6.697872430352497e-10,0.9999999999999993,514.1249956436545
5,4.0,C12,4.964643027925413e-09,0.9999999999999998,520.9291137932488
5,4.0,C14,2.916358794560282e-08,0.9999999999999984,434.90546640498593
5,4.0,C23,-2.4952234081425194e-08,0.999999999999999,446.1080551702807
5,4.0,C34,7.481689992144943e-09,0.9999999999999996,516.5362202185611
6,6.0,C12,-9.176220870324397e-09,0.9999999999999994,376.28002540982277
6,6.0,C14,-1.0018325115704654e-08,0.9999999999999997,465.47785465426455
6,6.0,C23,-4.8889084420912126e-09,0.9999999999999998,522.4350904459804
6,6.0,C34,-2.101210944970395e-08,0.9999999999999997,438.9748910314174
