split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode
test,test_000,target_off,J0_Current,measured,0.0068474944526627215,3555,59,59,519168,1e-06,dynamic
test,test_000,target_off,J1_D3_delay_only,measured,0.0068474944526627215,3555,59,59,519168,1e-06,dynamic
test,test_000,target_off,J2_P1_phase_only,measured,0.0068474944526627215,3555,59,59,519168,1e-06,dynamic
test,test_000,target_off,J3_D3_P1_joint,measured,0.0068474944526627215,3555,59,59,519168,1e-06,dynamic
test,test_000,target_off,J4_D3_P2_joint,measured,0.0068474944526627215,3555,59,59,519168,1e-06,dynamic
test,test_000,target_off,J5_Selective_Physics_Calibration,measured,0.0068474944526627215,3555,59,59,519168,1e-06,dynamic
test,test_000,target_off,J6_Joint_Phase_Surface,measured,0.0068474944526627215,3555,59,59,519168,1e-06,dynamic
test,test_001,target_off,J0_Current,measured,0.010909763313609468,5664,53,53,519168,1e-06,dynamic
test,test_001,target_off,J1_D3_delay_only,measured,0.010909763313609468,5664,53,53,519168,1e-06,dynamic
test,test_001,target_off,J2_P1_phase_only,measured,0.010909763313609468,5664,53,53,519168,1e-06,dynamic
test,test_001,target_off,J3_D3_P1_joint,measured,0.010909763313609468,5664,53,53,519168,1e-06,dynamic
test,test_001,target_off,J4_D3_P2_joint,measured,0.010909763313609468,5664,53,53,519168,1e-06,dynamic
test,test_001,target_off,J5_Selective_Physics_Calibration,measured,0.010909763313609468,5664,53,53,519168,1e-06,dynamic
test,test_001,target_off,J6_Joint_Phase_Surface,measured,0.010909763313609468,5664,53,53,519168,1e-06,dynamic
test,test_002,target_off,J0_Current,measured,0.004098865877712032,2128,6,6,519168,1e-06,dynamic
test,test_002,target_off,J1_D3_delay_only,measured,0.004098865877712032,2128,6,6,519168,1e-06,dynamic
test,test_002,target_off,J2_P1_phase_only,measured,0.004098865877712032,2128,6,6,519168,1e-06,dynamic
test,test_002,target_off,J3_D3_P1_joint,measured,0.004098865877712032,2128,6,6,519168,1e-06,dynamic
test,test_002,target_off,J4_D3_P2_joint,measured,0.004098865877712032,2128,6,6,519168,1e-06,dynamic
test,test_002,target_off,J5_Selective_Physics_Calibration,measured,0.004098865877712032,2128,6,6,519168,1e-06,dynamic
test,test_002,target_off,J6_Joint_Phase_Surface,measured,0.004098865877712032,2128,6,6,519168,1e-06,dynamic
test,test_003,target_off,J0_Current,measured,0.0107421875,5577,80,80,519168,1e-06,dynamic
test,test_003,target_off,J1_D3_delay_only,measured,0.0107421875,5577,80,80,519168,1e-06,dynamic
test,test_003,target_off,J2_P1_phase_only,measured,0.0107421875,5577,80,80,519168,1e-06,dynamic
test,test_003,target_off,J3_D3_P1_joint,measured,0.0107421875,5577,80,80,519168,1e-06,dynamic
test,test_003,target_off,J4_D3_P2_joint,measured,0.0107421875,5577,80,80,519168,1e-06,dynamic
test,test_003,target_off,J5_Selective_Physics_Calibration,measured,0.0107421875,5577,80,80,519168,1e-06,dynamic
test,test_003,target_off,J6_Joint_Phase_Surface,measured,0.0107421875,5577,80,80,519168,1e-06,dynamic
test,test_004,target_off,J0_Current,measured,0.007226947731755424,3752,39,39,519168,1e-06,dynamic
test,test_004,target_off,J1_D3_delay_only,measured,0.007226947731755424,3752,39,39,519168,1e-06,dynamic
test,test_004,target_off,J2_P1_phase_only,measured,0.007226947731755424,3752,39,39,519168,1e-06,dynamic
test,test_004,target_off,J3_D3_P1_joint,measured,0.007226947731755424,3752,39,39,519168,1e-06,dynamic
test,test_004,target_off,J4_D3_P2_joint,measured,0.007226947731755424,3752,39,39,519168,1e-06,dynamic
test,test_004,target_off,J5_Selective_Physics_Calibration,measured,0.007226947731755424,3752,39,39,519168,1e-06,dynamic
test,test_004,target_off,J6_Joint_Phase_Surface,measured,0.007226947731755424,3752,39,39,519168,1e-06,dynamic
test,test_005,target_off,J0_Current,measured,0.00750624075443787,3897,69,69,519168,1e-06,dynamic
test,test_005,target_off,J1_D3_delay_only,measured,0.00750624075443787,3897,69,69,519168,1e-06,dynamic
test,test_005,target_off,J2_P1_phase_only,measured,0.00750624075443787,3897,69,69,519168,1e-06,dynamic
test,test_005,target_off,J3_D3_P1_joint,measured,0.00750624075443787,3897,69,69,519168,1e-06,dynamic
test,test_005,target_off,J4_D3_P2_joint,measured,0.00750624075443787,3897,69,69,519168,1e-06,dynamic
test,test_005,target_off,J5_Selective_Physics_Calibration,measured,0.00750624075443787,3897,69,69,519168,1e-06,dynamic
test,test_005,target_off,J6_Joint_Phase_Surface,measured,0.00750624075443787,3897,69,69,519168,1e-06,dynamic
test,test_006,target_off,J0_Current,measured,0.01037621733234714,5387,64,64,519168,1e-06,dynamic
test,test_006,target_off,J1_D3_delay_only,measured,0.01037621733234714,5387,64,64,519168,1e-06,dynamic
test,test_006,target_off,J2_P1_phase_only,measured,0.01037621733234714,5387,64,64,519168,1e-06,dynamic
test,test_006,target_off,J3_D3_P1_joint,measured,0.01037621733234714,5387,64,64,519168,1e-06,dynamic
test,test_006,target_off,J4_D3_P2_joint,measured,0.01037621733234714,5387,64,64,519168,1e-06,dynamic
test,test_006,target_off,J5_Selective_Physics_Calibration,measured,0.01037621733234714,5387,64,64,519168,1e-06,dynamic
test,test_006,target_off,J6_Joint_Phase_Surface,measured,0.01037621733234714,5387,64,64,519168,1e-06,dynamic
test,test_007,target_off,J0_Current,measured,0.0042934079142011835,2229,16,16,519168,1e-06,dynamic
test,test_007,target_off,J1_D3_delay_only,measured,0.0042934079142011835,2229,16,16,519168,1e-06,dynamic
test,test_007,target_off,J2_P1_phase_only,measured,0.0042934079142011835,2229,16,16,519168,1e-06,dynamic
test,test_007,target_off,J3_D3_P1_joint,measured,0.0042934079142011835,2229,16,16,519168,1e-06,dynamic
test,test_007,target_off,J4_D3_P2_joint,measured,0.0042934079142011835,2229,16,16,519168,1e-06,dynamic
test,test_007,target_off,J5_Selective_Physics_Calibration,measured,0.0042934079142011835,2229,16,16,519168,1e-06,dynamic
test,test_007,target_off,J6_Joint_Phase_Surface,measured,0.0042934079142011835,2229,16,16,519168,1e-06,dynamic
test,test_008,target_off,J0_Current,measured,0.011135123890532544,5781,45,45,519168,1e-06,dynamic
test,test_008,target_off,J1_D3_delay_only,measured,0.011135123890532544,5781,45,45,519168,1e-06,dynamic
test,test_008,target_off,J2_P1_phase_only,measured,0.011135123890532544,5781,45,45,519168,1e-06,dynamic
test,test_008,target_off,J3_D3_P1_joint,measured,0.011135123890532544,5781,45,45,519168,1e-06,dynamic
test,test_008,target_off,J4_D3_P2_joint,measured,0.011135123890532544,5781,45,45,519168,1e-06,dynamic
test,test_008,target_off,J5_Selective_Physics_Calibration,measured,0.011135123890532544,5781,45,45,519168,1e-06,dynamic
test,test_008,target_off,J6_Joint_Phase_Surface,measured,0.011135123890532544,5781,45,45,519168,1e-06,dynamic
test,test_009,target_off,J0_Current,measured,0.007856801651873767,4079,1,1,519168,1e-06,dynamic
test,test_009,target_off,J1_D3_delay_only,measured,0.007856801651873767,4079,1,1,519168,1e-06,dynamic
test,test_009,target_off,J2_P1_phase_only,measured,0.007856801651873767,4079,1,1,519168,1e-06,dynamic
test,test_009,target_off,J3_D3_P1_joint,measured,0.007856801651873767,4079,1,1,519168,1e-06,dynamic
test,test_009,target_off,J4_D3_P2_joint,measured,0.007856801651873767,4079,1,1,519168,1e-06,dynamic
test,test_009,target_off,J5_Selective_Physics_Calibration,measured,0.007856801651873767,4079,1,1,519168,1e-06,dynamic
test,test_009,target_off,J6_Joint_Phase_Surface,measured,0.007856801651873767,4079,1,1,519168,1e-06,dynamic
test,test_010,target_off,J0_Current,measured,0.008407683062130177,4365,8,8,519168,1e-06,dynamic
test,test_010,target_off,J1_D3_delay_only,measured,0.008407683062130177,4365,8,8,519168,1e-06,dynamic
test,test_010,target_off,J2_P1_phase_only,measured,0.008407683062130177,4365,8,8,519168,1e-06,dynamic
test,test_010,target_off,J3_D3_P1_joint,measured,0.008407683062130177,4365,8,8,519168,1e-06,dynamic
test,test_010,target_off,J4_D3_P2_joint,measured,0.008407683062130177,4365,8,8,519168,1e-06,dynamic
